Gene = S
index = 1460
Annotated 5SS: [  981 16582 25250 25485]
Annotated 3SS: [15601 24761 25319 25549]
SMsplice 5SS: [  981 16582 25250 25485]
SMsplice 3SS: [15601 24761 25319 25549]
top_k =  1000
Partition function (log Z): -3.8736977442667317

Sorted 5' Splice Sites (High to Low Probability):
Position 25485: 0.9997461956581852
Position 25250: 0.9994136576051074
Position 981: 0.7953182409052982
Position 16582: 0.6938966993340747
Position 698: 0.18614102952874553
Position 25876: 0.045168984752147257
Position 6617: 0.0427761057391684
Position 5105: 0.041634829176218364
Position 4934: 0.03976050686973783
Position 27453: 0.03891617032256188
Position 26912: 0.03533570986298534
Position 6120: 0.035305815363526234
Position 26922: 0.03195869177620503
Position 25908: 0.020398214035091018
Position 26396: 0.01579061130043496
Position 25843: 0.014961665951650795
Position 25695: 0.010515792200650376
Position 27466: 0.010087345274299109
Position 26371: 0.00874815146783489
Position 25879: 0.004857126342370719
Position 26423: 0.004627764597874757
Position 26948: 0.004576475753136557
Position 540: 0.004377944841528421
Position 25654: 0.003354388575752539
Position 894: 0.00307188031510499
Position 26928: 0.00298849450412393
Position 26666: 0.0024450278161446937
Position 26031: 0.0023247143732572032
Position 26884: 0.002045545299249186
Position 5336: 0.002024374408860944
Position 27734: 0.001820710969123593
Position 26228: 0.0013608232918450338
Position 755: 0.0012978471039016921
Position 164: 0.0012792074554493153
Position 6629: 0.0012545529009969387
Position 753: 0.0012425532559686623
Position 4920: 0.0011132089639912493
Position 751: 0.0011130472963732999
Position 244: 0.001112516022046449
Position 26893: 0.001049771009185583
Position 396: 0.0008408602733984533
Position 5696: 0.0008184539978437732
Position 134: 0.0007566268761208565
Position 455: 0.0007476888534966626
Position 25855: 0.00071454017577565
Position 320: 0.0006842062359608561
Position 352: 0.0006732089871247836
Position 4905: 0.0006680607258173789
Position 5981: 0.0006018782451653976
Position 25998: 0.000560570922215042
Position 4945: 0.0005512909898742682
Position 316: 0.0005109798712598563
Position 749: 0.00047508787170218983
Position 27458: 0.00046368283611094414
Position 27447: 0.0004473989850696559
Position 25819: 0.00034384990521298293
Position 26054: 0.00028508179297611757
Position 27153: 0.0002758836344502094
Position 74: 0.00023861468061885186
Position 664: 0.00022088471988659122
Position 5431: 0.00018423255875216898
Position 1854: 0.00014043753869491242
Position 26478: 0.00014015538220325127
Position 3034: 9.892714350431346e-05
Position 523: 9.579905501891844e-05
Position 348: 9.397059172066035e-05
Position 25429: 9.002461052739813e-05
Position 702: 8.676973444645597e-05
Position 1134: 8.381977557448878e-05
Position 3555: 8.329373905075343e-05
Position 27694: 8.325198198418542e-05
Position 1184: 7.964534788741626e-05
Position 4432: 7.873723518055452e-05
Position 26439: 7.834316952017247e-05
Position 26315: 5.824919133997823e-05
Position 26155: 5.7773137072979226e-05
Position 25489: 5.31577210339003e-05
Position 5343: 4.362643722185924e-05
Position 5435: 3.7558729268902836e-05
Position 3950: 3.551301734371554e-05
Position 2184: 2.6149695980748968e-05
Position 4254: 1.9637767794769164e-05
Position 609: 1.949965633313331e-05
Position 25464: 1.4625677211097514e-05
Position 3568: 1.3817265184195346e-05
Position 26625: 1.3350496706957609e-05
Position 5093: 1.0849877861651042e-05
Position 25669: 1.0384154478709419e-05
Position 4157: 1.0269907715641051e-05
Position 26037: 8.830031043577333e-06
Position 26712: 8.55737995772104e-06
Position 4341: 7.358257378454523e-06
Position 26010: 6.817169660444092e-06
Position 328: 4.398226132385877e-06
Position 26345: 3.480604767942994e-06
Position 567: 3.067534260192496e-06
Position 759: 3.060993679898501e-06
Position 26467: 2.8308394640671927e-06
Position 324: 2.7601572807381124e-06
Position 757: 2.5825529021630162e-06
Position 26899: 2.3036144899127036e-06
Position 371: 2.282809167851499e-06
Position 326: 1.9633940535476166e-06
Position 811: 1.6976540782161583e-06
Position 356: 1.6187771069353883e-06
Position 375: 1.5676134282187395e-06
Position 346: 1.502423307921275e-06
Position 358: 1.1233882858757392e-06
Position 63: 9.753321161970095e-07
Position 660: 8.652983834290136e-07
Position 239: 8.469067485443387e-07
Position 26166: 7.999044255761433e-07
Position 781: 7.649827601905078e-07
Position 332: 7.19635472394424e-07
Position 26181: 6.223360464788233e-07
Position 1747: 6.221380694651594e-07
Position 834: 5.894031581176938e-07
Position 79: 4.893291993231845e-07
Position 225: 4.3978364097956365e-07
Position 668: 3.320546453947848e-07
Position 248: 3.30731406822351e-07
Position 1812: 3.0936996629158443e-07
Position 258: 3.082747717687032e-07
Position 1351: 2.8328490373570013e-07
Position 25589: 2.7615815606788507e-07
Position 1808: 2.7283297719576804e-07
Position 1650: 2.634405402936195e-07
Position 795: 2.620837822050318e-07
Position 25952: 2.2385365863063876e-07
Position 96: 2.0900732043572236e-07
Position 330: 1.995899533158817e-07
Position 343: 1.9737888129723337e-07
Position 489: 1.9700301393113358e-07
Position 26147: 1.7877952360817514e-07
Position 666: 1.7653489806907764e-07
Position 25637: 1.747884231376315e-07
Position 185: 1.7145131344868014e-07
Position 898: 1.5501886920223814e-07
Position 1242: 1.337202063634246e-07
Position 1462: 1.190883706820557e-07
Position 1617: 1.1522019193651045e-07
Position 1174: 1.0934909769870403e-07
Position 1763: 9.520769755013347e-08
Position 25577: 9.479084275617126e-08
Position 646: 6.808078073819397e-08
Position 86: 6.311606529835368e-08
Position 26048: 4.292310029858046e-08
Position 190: 4.055547835456933e-08
Position 27511: 3.674469621297071e-08
Position 341: 3.635755275212798e-08
Position 1492: 3.595393617971731e-08
Position 25379: 2.3748405651385177e-08
Position 783: 2.3350184041218803e-08
Position 918: 2.1853217541931617e-08
Position 379: 2.035590785074795e-08
Position 544: 1.9338628262773234e-08
Position 1778: 1.866996123874908e-08
Position 632: 1.8645741960839696e-08
Position 25376: 1.8214107444671966e-08
Position 304: 1.5982595953724206e-08
Position 882: 1.5894094410184946e-08
Position 551: 1.4631774039661868e-08
Position 362: 1.430631020559427e-08
Position 1692: 1.2608992939297983e-08
Position 909: 7.944273650406189e-09
Position 934: 7.606139872682607e-09
Position 360: 7.272536234199257e-09
Position 1238: 4.796343636121237e-09
Position 900: 3.953993426367957e-09
Position 1048: 3.768316184372749e-09
Position 920: 3.7192045805269172e-09
Position 902: 2.6601618660330576e-09
