Gene = CTCF
index = 1047
Annotated 5SS: [ 133  647 2672]
Annotated 3SS: [ 253  707 2733]
SMsplice 5SS: [ 647 2372 2672]
SMsplice 3SS: [ 707 2428 2733]
top_k =  1000
Partition function (log Z): -2.6691414711451475

Sorted 5' Splice Sites (High to Low Probability):
Position 2672: 0.9884270284657138
Position 647: 0.9144250310090961
Position 2372: 0.4182001581749795
Position 1139: 0.11675285941599672
Position 2864: 0.09283298905556522
Position 133: 0.07086101171826466
Position 947: 0.07085639522640459
Position 625: 0.07048519985928363
Position 2115: 0.01761450487976072
Position 2906: 0.013027845149281982
Position 974: 0.011655066693424192
Position 1639: 0.011569479594084532
Position 2883: 0.010034981718526553
Position 1618: 0.00795810319972245
Position 2245: 0.007377281381800669
Position 860: 0.006969433567269156
Position 1412: 0.006898933198738766
Position 1055: 0.0035832626639842203
Position 2570: 0.003142242057244968
Position 137: 0.0024480357722123447
Position 2360: 0.0017192243684850496
Position 2376: 0.0015109347987545894
Position 1303: 0.0012712642305475622
Position 217: 0.0012382952796329652
Position 1595: 0.0010602142133732393
Position 64: 0.0010516285724535134
Position 670: 0.0008032827658014536
Position 352: 0.0007143555459751778
Position 2388: 0.0006986501312880906
Position 1740: 0.0006904680294560254
Position 629: 0.0006561488614237219
Position 355: 0.0006485762371349763
Position 998: 0.0006072244206111389
Position 1112: 0.00047379141582760525
Position 1319: 0.0004167895749637628
Position 2916: 0.0003477663048724092
Position 1216: 0.0003420315445347585
Position 1013: 0.0003261376720820516
Position 507: 0.0003110211703643018
Position 854: 0.00031036378648044156
Position 2001: 0.0002679914678702999
Position 1876: 0.0002447777827487077
Position 2082: 0.00024193502352635278
Position 1456: 0.00015073589217957033
Position 1234: 0.0001419462020076181
Position 2835: 0.00012312863042545974
Position 1268: 0.00011892157319979181
Position 2588: 0.00010957382506267641
Position 1285: 0.00010884936766104897
Position 2198: 0.00010784681421635964
Position 129: 0.00010540679973110988
Position 1369: 8.670548287134525e-05
Position 1195: 8.607425478236871e-05
Position 2664: 7.627326122401717e-05
Position 622: 6.874946105890231e-05
Position 1121: 6.783962083372224e-05
Position 2044: 5.5080685420620056e-05
Position 785: 5.4005599454534475e-05
Position 2606: 5.244674996626429e-05
Position 2776: 5.052373056668251e-05
Position 1542: 4.994543398597801e-05
Position 207: 4.979669227037343e-05
Position 985: 4.630951829067923e-05
Position 851: 4.614747882298568e-05
Position 1260: 4.1537436947964375e-05
Position 2796: 2.9398446644205916e-05
Position 2924: 2.6110350041522277e-05
Position 2953: 1.8222114565540986e-05
Position 166: 1.7751617567055566e-05
Position 2676: 1.5983248159883125e-05
Position 2976: 1.4526070355959117e-05
Position 2608: 1.393311916587942e-05
Position 94: 1.3564047950852354e-05
Position 651: 1.106926439218736e-05
Position 410: 1.0016026872837452e-05
Position 2579: 7.870366330571396e-06
Position 46: 7.438340042511791e-06
Position 1573: 6.043019677032169e-06
Position 221: 4.568259356334736e-06
Position 3018: 4.424735239277167e-06
Position 3037: 4.084405329590875e-06
Position 127: 3.7720266157665667e-06
Position 2612: 2.3773457366849083e-06
Position 2754: 1.712827898486681e-06
Position 2576: 1.143275077716841e-06
Position 39: 9.580696268497766e-07
Position 2646: 8.306700457385645e-07
Position 422: 7.924336116812236e-07
Position 169: 6.756098636721193e-07
Position 682: 5.641352008042454e-07
Position 2999: 3.7274549665056135e-07
Position 1481: 1.8063133967385646e-07
Position 2101: 1.2888725394967955e-07
Position 1691: 1.0658459366504431e-07
Position 966: 6.751731899185755e-08
Position 246: 5.97166846595437e-08
Position 896: 5.265890362432099e-08
Position 617: 4.929081012136557e-08
Position 1465: 4.857190283558907e-08
Position 674: 4.345588628364617e-08
Position 1416: 3.9330979815575136e-08
Position 9: 1.5443286704577014e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2733: 0.9917284583183942
Position 707: 0.7559999664415098
Position 2428: 0.7485568571043167
Position 2975: 0.09715130580800219
Position 253: 0.06670955477808668
Position 2455: 0.037142728713178044
Position 767: 0.028640916687646213
Position 1001: 0.024513961529077113
Position 2953: 0.01758616016140661
Position 1714: 0.014959181395855723
Position 1669: 0.014273416921509064
Position 1567: 0.01417226391772175
Position 2484: 0.011180065046331008
Position 1689: 0.009316952128808217
Position 2209: 0.006191620478614469
Position 1987: 0.006041482249349882
Position 2452: 0.0035524296895016894
Position 725: 0.002482083326757353
Position 324: 0.001582988541326426
Position 2957: 0.001339504286409838
Position 2170: 0.0012252368082548801
Position 3092: 0.001036522603826851
Position 1401: 0.0009060947934548382
Position 2433: 0.0007192479684243703
Position 2392: 0.0005955917403564122
Position 327: 0.00043573756819713936
Position 3034: 0.0003666533084884998
Position 2981: 0.0003472672691025396
Position 2515: 0.00034166068480328605
Position 2372: 0.00024695718002866273
Position 380: 0.00023923372024278565
Position 187: 0.0002295246615489442
Position 127: 0.0002259758114147697
Position 757: 0.00019952091491580714
Position 558: 0.00015672083505913217
Position 980: 0.0001383157080519724
Position 266: 0.00013120987538149534
Position 794: 0.00012274228479783566
Position 783: 0.00012075463557368696
Position 588: 0.0001146838465179805
Position 543: 0.00011299221253376045
Position 1858: 0.00010499782517288621
Position 517: 0.00010253296970917562
Position 1678: 9.813282960768516e-05
Position 1846: 9.651240662101201e-05
Position 1054: 9.515951574919742e-05
Position 1960: 8.284256120095286e-05
Position 300: 8.139821422997716e-05
Position 372: 7.998835557196157e-05
Position 3037: 7.257813069341107e-05
Position 1978: 6.924901146517317e-05
Position 803: 6.730831353951626e-05
Position 136: 6.566376112631116e-05
Position 1899: 6.129066076496186e-05
Position 1999: 6.116466786189422e-05
Position 2754: 5.845843279023975e-05
Position 1479: 5.822796807549179e-05
Position 1167: 5.746074624724024e-05
Position 1432: 5.1045007866819904e-05
Position 1884: 4.914324828976854e-05
Position 743: 4.536772823004943e-05
Position 2641: 4.385832565252003e-05
Position 775: 3.292896281695511e-05
Position 1285: 2.9455132036315565e-05
Position 1615: 2.8610699546937147e-05
Position 1456: 2.7903980322254713e-05
Position 1195: 2.7850096538043008e-05
Position 800: 2.6383027161266913e-05
Position 2894: 2.60198392609304e-05
Position 1360: 2.361916542792587e-05
Position 263: 2.173652490627611e-05
Position 1007: 2.0486549000402654e-05
Position 2239: 1.7163502107163337e-05
Position 1016: 1.7149193979372995e-05
Position 928: 1.6892376861272746e-05
Position 2113: 1.603930073911249e-05
Position 564: 1.2921551434411475e-05
Position 276: 1.2780156815717592e-05
Position 555: 1.2599088298283166e-05
Position 2793: 9.834045634386531e-06
Position 579: 9.780532967852144e-06
Position 1260: 9.06362146213916e-06
Position 1028: 8.923170184585455e-06
Position 907: 7.777684919447166e-06
Position 351: 6.2053165948078665e-06
Position 334: 4.837002996369688e-06
Position 2691: 3.5180194950816007e-06
Position 809: 3.334909240802911e-06
Position 873: 3.278260916324902e-06
Position 966: 3.218351718750468e-06
Position 151: 3.096925362867254e-06
Position 2796: 1.9990428271608137e-06
Position 480: 1.0637618500262824e-06
Position 2826: 9.520397874846804e-07
Position 417: 7.123579371749281e-07
Position 341: 6.17511238074062e-07
Position 629: 4.799182240339726e-07
Position 851: 4.6750003750256937e-07
Position 441: 4.5056393557945885e-07
Position 860: 3.36162247908586e-07
Position 1085: 2.754328284668116e-07
Position 348: 2.0753875053200817e-07
Position 1108: 2.0378737838286955e-07
Position 444: 1.727935042820626e-07
Position 475: 1.5463643347208367e-07
Position 879: 1.51549715874932e-07
Position 1022: 1.4939739200615503e-07
Position 885: 1.258565263152697e-07
Position 940: 1.2364672713405285e-07
Position 634: 1.1444382307606321e-07
Position 450: 8.20292852980638e-08
Position 489: 6.705577676547714e-08
Position 600: 5.337895937048447e-08
Position 576: 5.0603023881897185e-08
Position 176: 4.1063444222589245e-08
Position 1069: 3.340830753141798e-08
Position 486: 3.0344585068068185e-08
Position 567: 2.5496283380271487e-08
Position 471: 2.0619532763375055e-08
Position 282: 1.6021683704984507e-08
Position 610: 9.623785287424712e-09
Position 387: 9.153543617684341e-09
Position 492: 8.283936184503573e-09
Position 483: 4.212374368535723e-09
Position 67: 4.015530193778244e-09
Position 814: 3.4202507535290985e-09
Position 525: 3.1168127107051268e-09
Position 291: 2.775639194090292e-09
Position 507: 2.66760998953476e-09
Position 1048: 3.148500035980908e-10
