Gene = Arv1
index = 29
Annotated 5SS: [188 368 564]
Annotated 3SS: [247 424 628]
SMsplice 5SS: [188 564]
SMsplice 3SS: [247 628]
top_k =  1000
Partition function (log Z): -2.9148811410958615

Sorted 5' Splice Sites (High to Low Probability):
Position 564: 0.9616995319628292
Position 188: 0.9067290459735529
Position 376: 0.325846342697749
Position 368: 0.07547443490607861
Position 19: 0.008023114239281154
Position 137: 0.007691528121149865
Position 115: 0.00709702545831455
Position 583: 0.0030921230633302104
Position 577: 0.0010773010053495736
Position 10: 0.00026786422907591414
Position 906: 0.00024879082657081427
Position 225: 0.0002475641696262168
Position 395: 0.00016838065043506075
Position 119: 0.00014933865535487602
Position 677: 0.00011801786286343418
Position 1010: 9.322615633117678e-05
Position 877: 6.8819399230751e-05
Position 48: 5.5396102705323314e-05
Position 148: 3.195502148978905e-05
Position 113: 3.164503445344272e-05
Position 437: 3.144501513297162e-05
Position 328: 3.0895329266532166e-05
Position 859: 2.038684558430515e-05
Position 94: 1.6787304151220428e-05
Position 960: 1.0204971147718421e-05
Position 419: 1.0064869634199263e-05
Position 46: 8.867761974330702e-06
Position 922: 8.220447423595683e-06
Position 446: 8.079214403973666e-06
Position 393: 7.442456081080106e-06
Position 126: 6.370507282797106e-06
Position 976: 5.537790395675866e-06
Position 964: 5.4110374864706735e-06
Position 781: 5.205885692623312e-06
Position 283: 5.161514889801388e-06
Position 973: 3.989658360107567e-06
Position 733: 3.4248451428391474e-06
Position 449: 2.525438777787138e-06
Position 292: 2.4139330162016817e-06
Position 223: 2.098921225114868e-06
Position 636: 1.8962184450359826e-06
Position 5: 1.2046384125081531e-06
Position 832: 1.1580265063782127e-06
Position 802: 1.037280907031113e-06
Position 518: 9.56143379383668e-07
Position 759: 6.575099027525767e-07
Position 736: 5.097570951020219e-07
Position 52: 3.604849589096888e-07
Position 475: 3.1585886571048825e-07
Position 384: 1.120313496721171e-07
Position 925: 9.021789902885324e-08
Position 255: 1.8929461065244716e-08
Position 753: 2.512648560835269e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 628: 0.9807213576892757
Position 247: 0.9232949510094688
Position 424: 0.3486468883265743
Position 436: 0.03932722151740494
Position 308: 0.0028608404044652507
Position 64: 0.0010827746775655233
Position 323: 0.0005837884595638162
Position 733: 0.0003366846086902701
Position 1055: 0.00023737269719665841
Position 367: 0.00023007895432630495
Position 759: 0.00022205598132226
Position 931: 0.00020423792554241757
Position 135: 0.0001204811071082747
Position 693: 0.00010627064403371371
Position 529: 8.056126513858552e-05
Position 103: 7.533828041206334e-05
Position 1101: 6.156752934991357e-05
Position 106: 6.023559056908833e-05
Position 1097: 3.6405658639679134e-05
Position 1051: 3.579146938078748e-05
Position 700: 2.7448983043981364e-05
Position 873: 2.425277084293119e-05
Position 999: 6.376674876227231e-06
Position 973: 5.328473690612432e-06
Position 289: 4.8948006356684835e-06
Position 192: 4.499969359467092e-06
Position 945: 4.002058486193331e-06
Position 996: 3.7847703445981515e-06
Position 162: 2.9673816882737532e-06
Position 292: 2.218762867657788e-06
Position 137: 1.2365567934657917e-06
Position 154: 7.426211431832942e-07
Position 204: 5.244298573648026e-07
Position 960: 5.02457290611795e-07
Position 1105: 4.0241012089043865e-07
Position 1010: 7.644541795421878e-08
Position 587: 5.479338222079026e-08
Position 143: 4.21457963914081e-08
Position 877: 2.5161596094828913e-08
Position 375: 9.2931370208552e-09
Position 283: 1.3965442919066264e-09
Position 208: 1.055456692260086e-10
Position 563: 9.79393615913439e-11
Position 380: 1.8393100912438438e-11
Position 596: 4.492355028804599e-12
Position 206: 9.599350737966859e-13
