Gene = Pvf3
index = 1396
Annotated 5SS: [ 2209 38811 50277 50555 57418]
Annotated 3SS: [38771 50143 50342 57139 57487]
SMsplice 5SS: [  315 50277 50555 57418]
SMsplice 3SS: [50143 50342 57139 57487]
top_k =  1000
Partition function (log Z): -58.46053509104349

Sorted 5' Splice Sites (High to Low Probability):
Position 315: 0.9999989137262716
Position 11435: 1.29037968902807e-06
Position 2209: 1.0326759847420716e-06
Position 12454: 7.038245245665407e-07
Position 10917: 6.450618243956068e-07
Position 240: 3.1880028602160315e-07
Position 15051: 1.990810717905426e-07
Position 228: 1.632277478509929e-07
Position 3437: 9.9057404846989e-08
Position 519: 9.14358525538228e-08
Position 11314: 8.765691307805499e-08
Position 12385: 7.169619903586913e-08
Position 806: 3.7819064434164846e-08
Position 11417: 2.8631517331885362e-08
Position 244: 2.8594836483096738e-08
Position 12464: 2.852159225112854e-08
Position 7504: 2.012272897304002e-08
Position 322: 1.804845990239449e-08
Position 5346: 1.8026597421538943e-08
Position 653: 1.724685588143138e-08
Position 358: 1.5538539509288747e-08
Position 8408: 1.290117911726953e-08
Position 224: 1.2529626154636641e-08
Position 1957: 1.2475896899643621e-08
Position 9233: 1.1999468896677848e-08
Position 9098: 7.30942612422717e-09
Position 2583: 4.3090141494741334e-09
Position 675: 4.201056419518403e-09
Position 1626: 2.568212087846631e-09
Position 1369: 2.3146299896701585e-09
Position 432: 1.7907165915865776e-09
Position 3232: 1.7630186763792924e-09
Position 92: 1.080795883626071e-09
Position 2484: 1.0800277329811224e-09
Position 3931: 9.53615074221688e-10
Position 10322: 9.434637721114761e-10
Position 710: 3.0238464352374116e-10
Position 279: 2.381890567893721e-10
Position 2587: 2.2291916355897958e-10
Position 2548: 1.1472087456246138e-10
Position 2459: 9.942738000620091e-11
Position 360: 8.908981581079306e-11
Position 1008: 7.551923815337543e-11
Position 2864: 7.146979611072798e-11
Position 935: 6.894650914817706e-11
Position 3185: 4.436034303002105e-11
Position 447: 3.694393116362648e-11
Position 3085: 3.481278398101398e-11
Position 7183: 2.395988598292719e-11
Position 1657: 2.307875173068075e-11
Position 272: 2.2136234351729757e-11
Position 2508: 1.8486004688920355e-11
Position 513: 1.7100422241658182e-11
Position 2389: 1.5605796356735402e-11
Position 962: 1.559393483014049e-11
Position 2437: 1.4514861947533999e-11
Position 362: 1.1989066484000149e-11
Position 429: 8.212533774358928e-12
Position 2504: 7.763141270548527e-12
Position 3965: 7.2677936677621185e-12
Position 583: 6.6980086406605695e-12
Position 605: 5.018790780094486e-12
Position 1111: 4.838408942247589e-12
Position 1806: 4.385853711475646e-12
Position 441: 4.305911514919269e-12
Position 45: 3.453247537123804e-12
Position 6632: 3.3106082721657593e-12
Position 851: 3.2782889743537203e-12
Position 3927: 3.155001948215164e-12
Position 15: 2.5553735116824106e-12
Position 4094: 2.4996333755065163e-12
Position 5056: 2.4050079029394732e-12
Position 3979: 2.020426654805328e-12
Position 4736: 5.514960555401093e-13
Position 3736: 4.789980506731026e-13
Position 3428: 4.2435178980676093e-13
Position 3738: 2.1724680809943023e-13
Position 3742: 1.0675918509304937e-13
Position 3569: 4.204894257719762e-14
Position 25: 2.1722269608312653e-14
Position 33: 7.416989220449764e-15
Position 1567: 6.6137253315862024e-15
Position 2786: 3.598718548969211e-15
Position 1836: 2.78007345046402e-15
Position 1547: 2.6638166949039567e-15
Position 873: 1.8796904909435217e-15
Position 1331: 1.6337783844455594e-15
Position 919: 1.5689020672491104e-15
Position 1136: 1.4818745933336381e-15
Position 1487: 8.274708371676247e-16
Position 1079: 7.513346467063172e-16
Position 232: 7.435008580571083e-16
Position 1099: 7.260885995650079e-16
Position 439: 4.493911670667922e-16
Position 838: 1.5004500437139612e-16
Position 4: 1.3548915665148522e-16
Position 246: 1.2764238023307347e-16
Position 248: 4.389804161333899e-17
Position 890: 1.6914114503786659e-21
Position 836: 1.59248533003279e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 27236: 0.9983163007790885
