Gene = Dhpr
index = 1134
Annotated 5SS: [331]
Annotated 3SS: [426]
SMsplice 5SS: [331]
SMsplice 3SS: [426]
top_k =  1000
Partition function (log Z): -9.123151999923156

Sorted 5' Splice Sites (High to Low Probability):
Position 331: 0.9863786620033835
Position 755: 0.014412705795282805
Position 596: 0.010118202588532495
Position 599: 0.007537737452954082
Position 113: 0.0053476628927468465
Position 130: 0.0032722788829950226
Position 293: 0.0010757480736394676
Position 827: 0.0008414128599708548
Position 865: 0.0006554132143880915
Position 890: 0.0004148990293860752
Position 122: 0.0003313412400355886
Position 148: 0.0003021401948985252
Position 39: 0.00025391137173706924
Position 186: 0.00018779486960766853
Position 532: 0.00017443640914170024
Position 469: 0.00016251952298992138
Position 29: 0.00014290012015704968
Position 940: 0.00013288339874060855
Position 265: 0.00013024800359894793
Position 839: 0.00011968033487858299
Position 520: 0.00011289895161478009
Position 275: 0.00010717006519832758
Position 426: 7.210944802387262e-05
Position 257: 7.17790537281641e-05
Position 478: 5.193368605977274e-05
Position 335: 4.863952664395256e-05
Position 194: 4.448849495164902e-05
Position 481: 4.346385485352782e-05
Position 497: 3.6962770772466186e-05
Position 639: 2.8398570835955932e-05
Position 304: 2.305341059757374e-05
Position 852: 2.0020261684359157e-05
Position 17: 1.3903286641961964e-05
Position 262: 1.3275589847326272e-05
Position 212: 1.3124185292842901e-05
Position 502: 1.2627670209348657e-05
Position 188: 1.2326925504868627e-05
Position 302: 9.832629470688766e-06
Position 196: 9.423231428111657e-06
Position 652: 7.509483576393474e-06
Position 523: 6.097910370715741e-06
Position 430: 6.0434814728090795e-06
Position 525: 3.714004128627736e-06
Position 850: 3.1635285239791672e-06
Position 1209: 9.268599683727014e-07
Position 960: 5.535684755613022e-07
Position 1186: 4.824048732998822e-07
Position 249: 4.0277579423458466e-07
Position 1135: 1.761984197543397e-07
Position 577: 4.962650005663131e-09
Position 381: 4.036533560629998e-09
Position 568: 1.0289835450914846e-09
Position 393: 7.06186317439149e-10
Position 679: 1.0305973074636946e-10
Position 787: 6.952640057962181e-11
Position 654: 3.904849345691209e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.7762153402748235
Position 437: 0.07192565827342759
Position 910: 0.07163219461947963
Position 874: 0.07015653105158241
Position 1005: 0.013562536517159694
Position 212: 0.007548432635905205
Position 676: 0.007182944966286491
Position 960: 0.004769053794658293
Position 648: 0.0025397330253262382
Position 510: 0.0014729087441851508
Position 1032: 0.000925385864993966
Position 238: 0.0007654925455363935
Position 1283: 0.0006162467085628319
Position 256: 0.0005614680419624308
Position 459: 0.0004338072201069144
Position 699: 0.0003551939388606392
Position 116: 0.00030077407253970993
Position 970: 0.0002845794951476202
Position 1050: 0.0002527774521952612
Position 497: 0.00018699111258234648
Position 835: 0.00016077882544248155
Position 532: 0.00013596801345463718
Position 732: 0.0001196317758150192
Position 727: 0.00010023409798503959
Position 462: 8.8389476640236e-05
Position 595: 7.762724127115307e-05
Position 645: 7.056111569503935e-05
Position 1274: 5.467221006666985e-05
Position 453: 4.2795705831271414e-05
Position 784: 3.925018280330512e-05
Position 795: 3.763027693951508e-05
Position 473: 2.481005392942002e-05
Position 975: 2.4594843960495766e-05
Position 1260: 1.6401942540119877e-05
Position 143: 1.4691566423597921e-05
Position 624: 1.1209006510438361e-05
Position 780: 1.1062367951487338e-05
Position 612: 9.322876082332239e-06
Position 319: 8.597479549188326e-06
Position 690: 7.438940598640994e-06
Position 1251: 7.346404147451142e-06
Position 513: 4.970004958905485e-06
Position 819: 3.11059667242381e-06
Position 155: 1.9200305311736067e-06
Position 609: 1.6154554727953475e-06
Position 1064: 1.4171030279916016e-06
Position 1056: 9.811528954589431e-07
Position 939: 7.90166768526593e-07
Position 72: 5.761832229268322e-07
Position 744: 3.197443841934961e-07
Position 283: 1.9088218530782968e-07
Position 262: 1.3486357019914182e-07
Position 335: 8.21262731005438e-11
Position 286: 9.20595084287131e-12
Position 555: 3.387648588686643e-14
