Gene = YL-1
index = 1603
Annotated 5SS: [245 438 815]
Annotated 3SS: [304 513 873]
SMsplice 5SS: [245 438 815]
SMsplice 3SS: [304 513 873]
top_k =  1000
Partition function (log Z): 3.066462034732481

Sorted 5' Splice Sites (High to Low Probability):
Position 438: 0.9966840437383886
Position 245: 0.9813231891574066
Position 815: 0.9672173298853061
Position 1416: 0.06206749917155563
Position 1080: 0.03462931212308251
Position 819: 0.015131679250117928
Position 1034: 0.009284178612893386
Position 730: 0.0044253201467284245
Position 1516: 0.004199688034875555
Position 208: 0.003158543621702443
Position 1397: 0.002193773765492958
Position 1528: 0.0019710396754586967
Position 1381: 0.0012295131527295879
Position 4: 0.0010993111866500485
Position 51: 0.0007032587511165771
Position 1305: 0.00042662957350511925
Position 1519: 0.00040481785250584974
Position 586: 0.00037627598944363214
Position 17: 0.00024755542671537733
Position 1050: 0.0002136672002606006
Position 1159: 0.00017917224845590964
Position 619: 0.00016924187588641915
Position 1008: 0.00015107123347607044
Position 1318: 0.0001374286873751321
Position 581: 5.986036678779246e-05
Position 1556: 5.874288257494716e-05
Position 1542: 5.281351756386766e-05
Position 412: 4.470966180702658e-05
Position 34: 4.391793317161642e-05
Position 200: 3.014967288947099e-05
Position 417: 2.4395993065969585e-05
Position 471: 1.4410669474283882e-05
Position 578: 9.564277325833202e-06
Position 414: 9.084050600411388e-06
Position 1576: 6.693341887748392e-06
Position 1082: 6.297727177870043e-06
Position 736: 4.022524488175606e-06
Position 696: 3.5337363349976316e-06
Position 913: 3.2047777863922024e-06
Position 88: 2.4893733279892283e-06
Position 929: 2.3663692108269784e-06
Position 1467: 1.6101618168012165e-06
Position 605: 1.3244928413105938e-06
Position 1135: 1.2828195430423752e-06
Position 495: 9.455779635802956e-07
Position 369: 1.5461988276186705e-07
Position 327: 1.4662866039987138e-07
Position 1580: 1.4096723153068481e-07
Position 1453: 1.0870587621006283e-07
Position 346: 8.692773318902408e-08
Position 330: 6.19844599277161e-08
Position 484: 3.9672532268380626e-08
Position 486: 1.150203973535857e-09
Position 529: 2.8089495026137974e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 513: 0.9962153356510189
Position 304: 0.9837873669161802
Position 873: 0.9772078836572323
Position 1463: 0.06834281326001793
Position 1147: 0.034004348152548436
Position 884: 0.007028348187222814
Position 1576: 0.005320716486459441
Position 1106: 0.00469822902219704
Position 1181: 0.001910703311786792
Position 72: 0.0012766579708602748
Position 1599: 0.0011798808319587908
Position 1602: 0.0010612059791670616
Position 875: 0.0007861220460487477
Position 346: 0.0006233723276763466
Position 1184: 0.000576580453499516
Position 1238: 0.00040921027111051833
Position 1224: 0.0003914548115826032
Position 694: 0.00035854770188872636
Position 1467: 0.0003553281119655565
Position 312: 0.00028080260462387205
Position 156: 0.00025874535209369524
Position 1090: 0.00022552800522716848
Position 1415: 0.00020111301703591513
Position 1381: 0.0001990833595145574
Position 1556: 0.00015872758894195095
Position 1079: 0.00015698136914927118
Position 1623: 0.0001348603506292085
Position 522: 0.00011581496491689546
Position 88: 0.00010172618584604661
Position 972: 8.247912701736736e-05
Position 1638: 6.755923508374088e-05
Position 546: 6.608263629122321e-05
Position 529: 6.34003246095167e-05
Position 1119: 5.6405196779357104e-05
Position 1247: 5.379933897767148e-05
Position 1626: 4.824476484675983e-05
Position 1019: 4.3788473952110266e-05
Position 672: 2.565893109278655e-05
Position 282: 2.1421714603471964e-05
Position 173: 1.1439946820848494e-05
Position 1195: 1.0178727054333508e-05
Position 567: 8.768171831670894e-06
Position 1123: 7.98181484643299e-06
Position 1061: 7.699309722061705e-06
Position 666: 7.312545307963636e-06
Position 1155: 7.198063390526023e-06
Position 923: 6.368763765970054e-06
Position 714: 5.992377230028806e-06
Position 537: 5.355817980676018e-06
Position 324: 5.220479950591854e-06
Position 759: 3.308637537673301e-06
Position 726: 3.0673072025284176e-06
Position 1526: 2.677157558857713e-06
Position 893: 2.5358895701937433e-06
Position 318: 2.3775971044711375e-06
Position 905: 1.994400999809796e-06
Position 380: 1.8380659737463169e-06
Position 723: 1.8255245237954186e-06
Position 762: 9.202411604959439e-07
Position 1390: 7.753558333073324e-07
Position 729: 6.45555870335645e-07
Position 899: 5.814392020707123e-07
Position 177: 4.985735399750102e-07
Position 218: 4.945378781692858e-07
Position 1034: 4.1280537186128183e-07
Position 983: 3.6442767262843684e-07
Position 696: 3.6109659346397167e-07
Position 902: 3.193877747824226e-07
Position 179: 2.822341433314654e-07
Position 1251: 1.402627993543994e-07
Position 356: 1.1056797966435482e-07
Position 796: 7.97192640074414e-08
Position 1202: 7.480231276097689e-08
Position 765: 4.9744417089623295e-08
Position 221: 4.320834417861071e-08
Position 1261: 4.128046973400248e-08
Position 428: 1.6157702931655852e-08
Position 384: 7.69403144031451e-09
Position 182: 4.5565782330493655e-09
Position 828: 3.0409945460002704e-09
Position 437: 2.0896044159842554e-09
Position 843: 1.5214325376555294e-09
Position 386: 1.1474340058743014e-09
Position 401: 7.501082685133934e-10
Position 741: 2.735420536316222e-10
Position 792: 2.460664012158399e-10
Position 320: 6.948598592969893e-11
Position 365: 6.202481591931462e-11
Position 774: 6.117809557487735e-11
Position 395: 1.3240732832243047e-11
Position 230: 5.073640272464076e-12
Position 236: 4.017493016398016e-12
Position 228: 1.177015841411595e-12
Position 840: 8.82843157890297e-13
Position 836: 7.88742426612625e-13
Position 245: 2.278479162057281e-13
Position 249: 4.418531671687791e-16
