Gene = Tdrd3
index = 1549
Annotated 5SS: [  91  228 2423]
Annotated 3SS: [ 142  301 2527]
SMsplice 5SS: [  91  228 2423 2807]
SMsplice 3SS: [ 142  301 2527 2868]
top_k =  1000
Partition function (log Z): 7.280115679068757

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.9938448209007359
Position 91: 0.9882647451038613
Position 2423: 0.9816743356370454
Position 2807: 0.8519939611497962
Position 1218: 0.053489185603818455
Position 366: 0.04990757678099789
Position 1622: 0.012843713546195273
Position 1922: 0.009960366025988949
Position 724: 0.008678362254692705
Position 2448: 0.006419271546711673
Position 2606: 0.004707552286798235
Position 383: 0.0046218627160183245
Position 1890: 0.004135804973557141
Position 2462: 0.00356697592401139
Position 235: 0.0026462688151553684
Position 2456: 0.001990409232512456
Position 1064: 0.0012582596440970837
Position 1381: 0.0012093870130842196
Position 1430: 0.0010173330777918492
Position 2465: 0.0009329783239858473
Position 1953: 0.0008667945351557862
Position 926: 0.0007112832320293518
Position 2826: 0.0006030548800082246
Position 1046: 0.000498574195580794
Position 2404: 0.00045878972877419954
Position 2433: 0.0004247292056793053
Position 687: 0.0004018935963509242
Position 88: 0.0003112761226947488
Position 2817: 0.00028669218224723674
Position 1434: 0.0002721164421656152
Position 465: 0.0002455639763339273
Position 2427: 0.00022468881547860794
Position 210: 0.00021452462662358232
Position 1110: 0.00020520769388966922
Position 1599: 0.00020141031567692263
Position 1133: 0.0001902147609253338
Position 2026: 0.00016764684633456455
Position 95: 0.00015496631617168265
Position 2615: 0.00014509770118322694
Position 1168: 0.00014341350138823448
Position 232: 0.00014016410165655445
Position 390: 0.000135221247799667
Position 392: 0.0001345955016238285
Position 1655: 0.00011027378833060768
Position 2765: 0.00010888545278868613
Position 2475: 9.999439306255025e-05
Position 83: 9.282064429691593e-05
Position 598: 7.470214229045571e-05
Position 527: 7.276276391604811e-05
Position 1050: 6.605750222762804e-05
Position 900: 5.192234565911841e-05
Position 454: 5.175929613615737e-05
