Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  1000
Partition function (log Z): 16.286290769267573

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997150857757179
Position 690: 0.9979948332625691
Position 554: 0.9768862289528697
Position 158: 0.9116143656880455
Position 33: 0.4082519249524248
Position 532: 0.022629141060096555
Position 37: 0.0025771483725533085
Position 4: 0.0010110455351307025
Position 529: 0.00014700167703047534
Position 558: 0.00010333172792304568
Position 317: 5.74102597642808e-05
Position 643: 4.631289008184437e-05
Position 418: 3.0267038385942594e-05
Position 813: 2.8654882087949833e-05
Position 649: 2.3976533907839867e-05
Position 151: 1.9339686604080858e-05
Position 105: 1.6591975077649917e-05
Position 295: 1.5664677003562078e-05
Position 850: 1.4831006904355501e-05
Position 714: 1.2093869873840855e-05
Position 887: 9.209344976256486e-06
Position 781: 8.435587955133691e-06
Position 145: 5.29109439615944e-06
Position 162: 4.006557861267997e-06
Position 92: 2.535315064099543e-06
Position 430: 2.5301047614706877e-06
Position 816: 1.8337125856057494e-06
Position 404: 1.8030475418619978e-06
Position 491: 1.6746038078903773e-06
Position 52: 1.3531425222985991e-06
Position 445: 9.334402230331143e-07
Position 478: 8.797672207051984e-07
Position 266: 4.2902991970317625e-07
Position 818: 3.263868404641973e-07
Position 187: 5.708626772571595e-09
Position 204: 4.441670839386908e-09
Position 583: 2.6635941188168985e-09
Position 226: 1.276267734795248e-09
Position 256: 1.7280177887280908e-10
Position 905: 7.923441058634864e-12
Position 574: 1.719934496672784e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.9997624727235424
Position 375: 0.9996540044348697
Position 745: 0.9981028288208664
Position 216: 0.9141943016096602
Position 92: 0.23982226904700316
Position 101: 0.1678634075212004
Position 71: 0.0005175480212786929
Position 158: 0.0004573833246831459
Position 135: 0.00033832664301891655
Position 226: 0.00015346950609150303
Position 391: 0.0001384465225766213
Position 262: 0.00010520981076796877
Position 923: 3.907740200896053e-05
Position 934: 2.313797524153417e-05
Position 850: 2.0019521669093813e-05
Position 781: 1.6767073652780117e-05
Position 253: 7.476291329157913e-06
Position 430: 6.546318898337161e-06
Position 944: 3.120054897523933e-06
Position 714: 3.0832867801923287e-06
Position 643: 2.7566357824161625e-06
Position 688: 1.1747817782053264e-06
Position 418: 1.1280944615959035e-06
Position 747: 6.019826726591336e-07
Position 168: 5.461975958163615e-07
Position 666: 3.129718604963532e-07
Position 887: 1.4567294387781163e-07
Position 949: 1.1393614340664171e-07
Position 275: 1.1241214481855842e-07
Position 281: 9.880166026605974e-08
Position 304: 8.658937966067209e-08
Position 439: 7.82880433778871e-08
Position 801: 7.704288946453679e-08
Position 786: 7.669771514951269e-08
Position 529: 7.386073835552107e-08
Position 718: 6.752592861605181e-08
Position 649: 3.5240156293898496e-08
Position 873: 3.1899550061280925e-08
Position 334: 2.1141270471535156e-08
Position 656: 2.0108827056641592e-08
Position 810: 1.2081982096189713e-08
Position 813: 1.0918968105883201e-08
Position 478: 7.006108618384888e-09
Position 312: 5.168627223900818e-09
Position 807: 4.6713927789759114e-09
Position 954: 4.471355806201809e-09
Position 826: 1.1985794262669425e-09
Position 553: 1.1138326906405267e-09
Position 816: 9.232806521678207e-10
Position 293: 9.195382187092777e-10
Position 289: 4.97205200124986e-10
Position 670: 2.0817428522946934e-10
Position 563: 1.8683639461689036e-10
Position 162: 7.321944690451618e-11
Position 317: 1.052618663741407e-13
