Gene = gnu
index = 1717
Annotated 5SS: [129]
Annotated 3SS: [186]
SMsplice 5SS: [129]
SMsplice 3SS: [186]
top_k =  1000
Partition function (log Z): -5.393766986498195

Sorted 5' Splice Sites (High to Low Probability):
Position 129: 0.991586109827724
Position 330: 0.020796842920242326
Position 359: 0.012179313292665537
Position 14: 0.006193264571609567
Position 280: 0.003927972369148009
Position 132: 0.0012536623886969167
Position 592: 0.0007238306071073279
Position 340: 0.0004065461801798672
Position 119: 0.00017888299732707013
Position 609: 0.00014621804177635884
Position 149: 0.000139149616525349
Position 353: 0.00011787217297319645
Position 88: 7.319537584289418e-05
Position 448: 6.109294678119109e-05
Position 157: 5.4455640964732936e-05
Position 4: 4.81719811940777e-05
Position 584: 3.922215778660502e-05
Position 672: 2.3010633152415752e-05
Position 625: 1.60166105123946e-05
Position 426: 1.4181747134488568e-05
Position 774: 8.920449347330792e-06
Position 893: 7.03992461806033e-06
Position 816: 6.013208540760828e-06
Position 691: 5.566141956909658e-06
Position 442: 5.229311875606698e-06
Position 637: 4.6326120201888455e-06
Position 699: 3.740555760904733e-06
Position 267: 3.6801187517618473e-06
Position 18: 2.868547438807113e-06
Position 391: 2.635636103870791e-06
Position 44: 1.284757105802408e-06
Position 72: 3.6922993549209454e-07
Position 421: 3.376416752533128e-07
Position 66: 2.62525528406656e-07
Position 57: 1.1571445762784483e-07
Position 249: 1.382353848725605e-08
Position 54: 1.1523253371739389e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 186: 0.9920957526582401
Position 404: 0.03410013178000761
Position 231: 0.004596310625458184
Position 442: 0.0017761621834198123
Position 340: 0.0017027554121416281
Position 741: 0.0015651090509141597
Position 246: 0.0013785905850653595
Position 659: 0.00046704139077524795
Position 472: 0.00010368215896856544
Position 896: 4.9055212224330886e-05
Position 554: 3.203501616504838e-05
Position 522: 2.7530234644940728e-05
Position 551: 2.484117126707066e-05
Position 758: 1.8910392981367564e-05
Position 264: 1.7459278373038e-05
Position 637: 1.2476064454727238e-05
Position 126: 1.150151489146247e-05
Position 448: 1.0376668148312583e-05
Position 515: 9.835986352404392e-06
Position 274: 8.60102021426087e-06
Position 952: 7.09648650766483e-06
Position 157: 5.772004166016676e-06
Position 743: 3.541946703222415e-06
Position 314: 2.7243850474706985e-06
Position 797: 2.2024071423306018e-06
Position 106: 3.8873346580324964e-07
Position 602: 3.7237483312580504e-07
Position 691: 2.573520384232738e-07
Position 508: 2.461284917414102e-07
Position 492: 1.7245185200100464e-07
Position 761: 1.5057960856089836e-07
Position 132: 1.4751313882906918e-07
Position 572: 1.2316221963864836e-07
Position 592: 8.269853642094144e-08
Position 526: 7.503928099609817e-08
Position 128: 7.382574329740896e-08
Position 609: 3.072349219579862e-08
Position 869: 3.0146870600493873e-08
Position 278: 2.8046751815724075e-08
Position 677: 2.5844407437554454e-08
Position 622: 2.1703585286716805e-08
Position 533: 1.183431986924461e-08
Position 467: 8.206832748519867e-12
Position 289: 1.0169247909914151e-13
Position 519: 3.3746521400394377e-14
