Gene = tai
index = 1906
Annotated 5SS: [  661 25036 67880 68486 72985 74492 74772 76401 76768 77123 77809 78935]
Annotated 3SS: [24836 67209 68323 72179 73043 74597 74827 76456 76833 77484 78607 78998]
SMsplice 5SS: [  661  2514  2869 25036 60962 67880 68486 72985 74492 74772 76152 76401
 76768 77123 77809 78935]
SMsplice 3SS: [ 1755  2652 24836 60750 67209 68323 72179 73043 74597 74827 76214 76470
 76833 77484 78607 78998]
top_k =  1000
Partition function (log Z): -71.6634603171389

Sorted 5' Splice Sites (High to Low Probability):
Position 2869: 0.9999999999999528
Position 25036: 0.9999997038345138
Position 2514: 0.8385063597293294
Position 661: 0.4729744562223632
Position 1186: 0.19495603631410222
Position 1376: 0.1223210980955697
Position 9: 0.11892560200944433
Position 1164: 0.1113185610631288
Position 35762: 0.04823094802779107
Position 2599: 0.0418858325106569
Position 605: 0.031101331046566347
Position 710: 0.027196584512800378
Position 714: 0.02633775691183017
Position 2386: 0.013821609649097703
Position 419: 0.012751218628289934
Position 1432: 0.008007808342546585
Position 1677: 0.007848843892538539
Position 1132: 0.006951248452565884
Position 1608: 0.005877506646627592
Position 2474: 0.005579497005884051
Position 609: 0.005336855956622948
Position 252: 0.005253385864784981
Position 242: 0.0040010124851503175
Position 840: 0.003538628455536219
Position 2108: 0.0034296830350511536
Position 1260: 0.003355806255762154
Position 1681: 0.0032797607245878516
Position 736: 0.002797925830431942
Position 2242: 0.0025946771165094177
Position 5: 0.0024601400888967827
Position 718: 0.0022576920298192408
Position 1654: 0.0017216883017186666
Position 216: 0.0016248245748569817
Position 1938: 0.0015894159929234878
Position 278: 0.0015315068863075527
Position 256: 0.001508846042067412
Position 280: 0.0014805608229742182
Position 276: 0.0014220988970706245
Position 274: 0.0013789010516595242
Position 1923: 0.0013484170826338065
Position 1913: 0.0011685975023031767
Position 310: 0.0011437873819600463
Position 2469: 0.0009796731349031027
Position 1663: 0.0009126059508498587
Position 270: 0.0006701492052769863
Position 262: 0.0006540864595668885
Position 272: 0.0006209846569717385
Position 613: 0.0005215385127524643
Position 2218: 0.000498078503909035
Position 694: 0.0004770279595011681
Position 247: 0.00047620687098556385
Position 295: 0.0004743166000196974
Position 299: 0.00036971054617969027
Position 1144: 0.0003609538205904379
Position 569: 0.0003250721285394161
Position 2454: 0.0003099042568368203
Position 301: 0.0003014804423375324
Position 776: 0.0002788110763218143
Position 2666: 0.00025692402372220205
Position 1417: 0.0002530674916378715
Position 161: 0.00022796114288276077
Position 881: 0.00022788026542676593
Position 183: 0.00021770305610383889
Position 31: 0.0001984305742668549
Position 2657: 0.00017638160203936574
Position 1289: 0.0001629345309447092
Position 2014: 0.00016112726857897786
Position 650: 0.00015979905670375326
Position 1253: 0.0001407137395819505
Position 1180: 0.0001309092401006622
Position 404: 0.0001280655526495423
Position 1575: 0.00011084733996540045
Position 166: 9.200700331374017e-05
Position 1822: 8.718148585292222e-05
Position 2112: 8.52105354035322e-05
