Gene = Sws1
index = 1535
Annotated 5SS: [177 777]
Annotated 3SS: [236 849]
SMsplice 5SS: [177 777]
SMsplice 3SS: [236 849]
top_k =  1000
Partition function (log Z): -0.6179012981674079

Sorted 5' Splice Sites (High to Low Probability):
Position 777: 0.9839297786895796
Position 177: 0.935235336892498
Position 413: 0.12753055314636413
Position 429: 0.026181862740153335
Position 980: 0.020282186210544093
Position 368: 0.012216720687785617
Position 361: 0.010695671652326152
Position 1108: 0.003589498842889925
Position 758: 0.0017209278163827846
Position 1498: 0.0015531489592636523
Position 147: 0.001276386777592709
Position 938: 0.0010488145159316276
Position 1333: 0.0006643485039503429
Position 365: 0.0005970079863266236
Position 1306: 0.0004343862477270726
Position 982: 0.00037076486947717097
Position 956: 0.00035741255223369544
Position 427: 0.0003067838040435876
Position 1050: 0.0002725506379043242
Position 1324: 0.00027103272224761386
Position 1225: 0.000249851717977718
Position 1201: 0.0002426414542093277
Position 359: 0.00021195900515417194
Position 391: 0.00019898071563014414
Position 18: 0.00017191307000758303
Position 1192: 0.0001640192483266594
Position 1263: 0.00016153370949993358
Position 972: 0.00013802643060747876
Position 999: 0.00012320608494840223
Position 1326: 0.00010307790123244478
Position 208: 0.00010245557967248564
Position 994: 9.579585863842708e-05
Position 1453: 7.50297112482571e-05
Position 119: 6.967567349804359e-05
Position 205: 6.78676153134873e-05
Position 1119: 6.139666518055447e-05
Position 1245: 5.385967058003105e-05
Position 958: 5.276645399488905e-05
Position 951: 5.247585503503705e-05
Position 723: 4.456331190621923e-05
Position 157: 3.3997875326770336e-05
Position 1013: 3.2668006280863165e-05
Position 417: 2.672110218182326e-05
Position 1007: 2.6193063658162575e-05
Position 1257: 1.4031997457524849e-05
Position 76: 1.0280952679656646e-05
Position 1005: 7.038597953958617e-06
Position 1086: 6.133904674126839e-06
Position 128: 5.36085536153886e-06
Position 538: 5.211258200695026e-06
Position 82: 4.686397328463056e-06
Position 290: 3.912703762627013e-06
Position 878: 3.861856647783374e-06
Position 906: 3.6742433733405555e-06
Position 1339: 3.5836288066482e-06
Position 806: 2.980897196447738e-06
Position 536: 2.0173031339425062e-06
Position 23: 1.6941571651553649e-06
Position 1227: 1.6456163449370263e-06
Position 449: 1.5499848462080464e-06
Position 892: 6.061080463001529e-07
Position 681: 5.523490535584554e-07
Position 1474: 4.749672630165455e-07
Position 1267: 3.9579553550681813e-07
Position 1440: 3.73722306209932e-07
Position 433: 2.9937157258782784e-07
Position 107: 2.860304378549714e-07
Position 250: 2.7548143230823125e-07
Position 1387: 1.8109349133887308e-07
Position 442: 1.0971182449874284e-07
Position 1536: 1.0068387913471232e-07
Position 1390: 8.808720305771158e-08
Position 457: 7.396617257257072e-08
Position 64: 9.276916164492618e-09
Position 824: 6.64233400821081e-09
Position 859: 3.791739147480981e-09
Position 656: 2.8779346058879725e-09
Position 714: 2.5196829965105033e-09
Position 492: 8.657461312401708e-10
Position 865: 1.832538182682494e-10
Position 849: 1.61627243180342e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 849: 0.9981290323995963
Position 236: 0.9179812773008232
Position 481: 0.1189889546473374
Position 1037: 0.020738987966663045
Position 442: 0.015125326142428371
Position 238: 0.011245297321113241
Position 492: 0.009925812135515362
Position 457: 0.009730361450811999
Position 512: 0.008229621829599517
Position 1383: 0.004735920545650436
Position 284: 0.003317057410300606
Position 589: 0.0020394193831539246
Position 1583: 0.0015581181492297438
Position 1296: 0.0014508215444394318
Position 346: 0.0013915575214011728
Position 417: 0.0011477349521053918
Position 670: 0.001046497927133659
Position 1167: 0.0010214259424447076
Position 1077: 0.0006482140668467823
Position 1055: 0.0005280462570978354
Position 250: 0.0003434313381331457
Position 616: 0.00028693647195652557
Position 640: 0.00022052531826904017
Position 553: 0.00017555886468481838
Position 427: 0.00016190420922598678
Position 514: 0.00014847047452107436
Position 371: 0.00012719033127728672
Position 625: 0.00010026140290282662
Position 1506: 7.58559112505826e-05
Position 631: 7.138606964163297e-05
Position 1224: 7.015543840282886e-05
Position 208: 4.225887354588974e-05
Position 86: 3.5811398795474027e-05
Position 1176: 3.36502822851207e-05
Position 1599: 3.1474431984353166e-05
Position 1013: 3.0321031323349178e-05
Position 874: 2.974146030731278e-05
Position 749: 2.75126604756623e-05
Position 963: 2.4412732749646376e-05
Position 643: 2.0893678932899387e-05
Position 1306: 2.025641327890936e-05
Position 1587: 1.9231170368180717e-05
Position 900: 1.775687247611872e-05
Position 433: 1.7553008839086807e-05
Position 1320: 1.3776983526578087e-05
Position 1245: 9.878903602051728e-06
Position 128: 7.79685258272219e-06
Position 1005: 7.092700795887599e-06
Position 865: 3.3535853895945813e-06
Position 897: 2.938055498766069e-06
Position 382: 2.6140339215955336e-06
Position 629: 2.369639140627684e-06
Position 972: 2.3446065727957566e-06
Position 1486: 2.1236411874878024e-06
Position 152: 1.7471328513893328e-06
Position 199: 1.5226254787869753e-06
Position 195: 1.142709028852621e-06
Position 467: 1.1333277522990993e-06
Position 1431: 8.116201017156387e-07
Position 723: 7.464711186880729e-07
Position 155: 5.442118252016389e-07
Position 1242: 5.327365139594083e-07
Position 613: 5.224941838839995e-07
Position 165: 3.4344571473934254e-07
Position 176: 3.404713523273623e-07
Position 1440: 3.3951426795335927e-07
Position 758: 3.3824428721323306e-07
Position 1062: 2.9635345940158174e-07
Position 529: 2.922230773898992e-07
Position 737: 1.3040921937707658e-07
Position 522: 6.921707306163528e-08
Position 526: 5.901024056467853e-08
Position 82: 4.056502592504578e-08
Position 686: 3.1878083570364755e-08
Position 728: 2.9715274020341953e-08
Position 391: 7.93166011260172e-09
Position 147: 6.731519233269404e-09
Position 1404: 2.798155920435681e-09
Position 915: 2.1502596440029326e-09
Position 157: 1.2253113008583613e-10
Position 183: 8.065459332215222e-11
