Gene = comm3
index = 1654
Annotated 5SS: [13581 15865]
Annotated 3SS: [14957 33739]
SMsplice 5SS: [563]
SMsplice 3SS: [33739]
top_k =  1000
Partition function (log Z): -13.973256731587872

Sorted 5' Splice Sites (High to Low Probability):
Position 563: 0.9989058200666324
Position 8835: 0.1856527914659063
Position 57: 0.0010905502030857691
Position 128: 3.629773943816298e-06
Position 15865: 9.849823642249443e-10
Position 792: 4.735207266972201e-10
Position 8981: 3.7981761824157484e-10
Position 16436: 3.600799916895809e-10
Position 1868: 3.4809986642790945e-10
Position 5193: 2.202784846929068e-10
Position 2720: 1.9238147172770252e-10
Position 768: 1.4022593134364428e-10
Position 1330: 1.1805658765130429e-10
Position 8110: 4.873738919356696e-11
Position 4793: 2.959748984448413e-11
Position 1872: 2.232020411304687e-11
Position 6423: 1.5327814807754775e-11
Position 95: 1.4840498802340227e-11
Position 7099: 1.2542034986222481e-11
Position 8135: 7.76497683974079e-12
Position 163: 7.559797931098466e-12
Position 8614: 6.340378635940848e-12
Position 8245: 5.772323625448168e-12
Position 80: 5.7197024532411806e-12
Position 7101: 5.3218795142784654e-12
Position 100: 4.649330062732835e-12
Position 7110: 4.471556633971425e-12
Position 2423: 3.460349053979541e-12
Position 7618: 1.918485532396334e-12
Position 2277: 1.2139715859206723e-12
Position 1622: 7.690291426510685e-13
Position 992: 6.421949717253336e-13
Position 4845: 6.250500761419304e-13
Position 9699: 5.528087327532116e-13
Position 132: 4.868131612789162e-13
Position 2104: 3.7098937457551545e-13
Position 1646: 2.7202360006829753e-13
Position 2281: 2.3726249583814437e-13
Position 4828: 2.2085710711149185e-13
Position 2372: 1.9106866801110042e-13
Position 2065: 1.8460431414593632e-13
Position 854: 1.754177934269469e-13
Position 2836: 1.572731567816779e-13
Position 322: 1.5491093872288685e-13
Position 9479: 1.357765497786797e-13
Position 1632: 1.3372571210177337e-13
Position 6431: 1.269654887846813e-13
Position 6549: 1.1578976282825254e-13
Position 9061: 1.1264751333953813e-13
Position 710: 1.0894503125795602e-13
Position 1337: 1.0891946112599937e-13
Position 2137: 1.0672976484402901e-13
Position 518: 1.0626957653794405e-13
Position 973: 9.684425176237503e-14
Position 985: 8.346000812976049e-14
Position 920: 7.947783215738819e-14
Position 1857: 7.108382068916178e-14
Position 1889: 6.68148405032806e-14
Position 4690: 5.925995983716627e-14
Position 2207: 5.844674951743188e-14
Position 2017: 5.741918482041974e-14
Position 448: 5.537072758056476e-14
Position 1070: 5.319545300499945e-14
Position 30: 4.7763890397341435e-14
Position 1811: 4.6396151371882374e-14
Position 178: 4.5768827431005856e-14
Position 1634: 4.316339694721478e-14
Position 5168: 4.244167435654555e-14
Position 4493: 4.214281278394671e-14
Position 1215: 4.00786921488916e-14
Position 5588: 3.581604973789663e-14
Position 5597: 3.571651090917258e-14
Position 49: 3.5260737800698015e-14
Position 3: 3.3462110845970404e-14
Position 1636: 3.1936969792949165e-14
Position 1076: 3.119265169356417e-14
Position 2045: 3.0623687015474035e-14
Position 1638: 2.6323563555014138e-14
Position 61: 2.5188893509605683e-14
Position 6195: 2.5035370241386057e-14
Position 576: 2.489742946196479e-14
Position 1640: 2.4457802576043117e-14
Position 770: 2.4392656205059696e-14
Position 6492: 2.371984357260014e-14
Position 9475: 2.2105882083551922e-14
Position 1642: 2.1779305212260326e-14
Position 1276: 2.1695024896833012e-14
