Gene = corn
index = 1655
Annotated 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
Annotated 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
SMsplice 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
SMsplice 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
top_k =  1000
Partition function (log Z): 20.201597651516362

Sorted 5' Splice Sites (High to Low Probability):
Position 13014: 0.9945586189964399
Position 12111: 0.9901150795826315
Position 11843: 0.9883029268608354
Position 11107: 0.9798873436099734
Position 11483: 0.9334197125771349
Position 1138: 0.875741955504964
Position 12337: 0.8455240426183805
Position 696: 0.25290596646226016
Position 12664: 0.1707493239659445
Position 8990: 0.1623959668745606
Position 180: 0.12292437248213561
Position 356: 0.11432854238878219
Position 12342: 0.06209547518514688
Position 11488: 0.05961679491965944
Position 700: 0.05018453089414462
Position 6861: 0.04036397541326906
Position 495: 0.04001536868616672
Position 1651: 0.031111549631310745
Position 9077: 0.02352293154460574
Position 515: 0.021351555303756965
Position 3586: 0.01855372359844154
Position 1640: 0.01724771239719073
Position 501: 0.014694147578520495
Position 732: 0.014486075975900365
Position 702: 0.013728919711168922
Position 13313: 0.012061047278206036
Position 1776: 0.011402080832046243
Position 704: 0.010412036055513689
Position 11847: 0.00941240452880736
Position 206: 0.008601273953393267
Position 505: 0.0078830588916794
Position 12103: 0.007586595266594549
Position 5945: 0.005957423760528331
Position 191: 0.004841290361898822
Position 13303: 0.004837298369566068
Position 12978: 0.004591350163951818
Position 1134: 0.0044914458329862435
Position 11625: 0.004238422060389714
Position 7942: 0.0042346148765598215
Position 6857: 0.003572609397580208
Position 13316: 0.0034634959583348624
Position 3193: 0.003443471525310851
Position 1988: 0.0031475091712507364
Position 1697: 0.003067088421775419
Position 2063: 0.002931946186429965
Position 12684: 0.002766424398979504
Position 6003: 0.002504209518324058
Position 555: 0.0025033696581599407
Position 12692: 0.0021230010614171116
Position 12735: 0.0016318051908799267
Position 12013: 0.0013663429058193915
Position 3276: 0.001364307508896918
Position 13656: 0.0012268188932246288
Position 694: 0.0011826244070967293
Position 13367: 0.000932432807030946
Position 939: 0.0009081185584266253
Position 13211: 0.000874446940892004
Position 13627: 0.0008322977989393657
Position 11459: 0.0008174404456303255
Position 5950: 0.0007859785657992062
Position 13694: 0.000723041955958153
Position 13301: 0.0006698361856562384
Position 5935: 0.0006286871231632002
Position 11345: 0.0005464908197333195
Position 13214: 0.0005389641515622913
Position 13006: 0.0005316849761926263
