Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  1000
Partition function (log Z): 4.9043502359639595

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9920690866769951
Position 747: 0.9874516312698223
Position 268: 0.9870185225718136
Position 559: 0.001772566684781197
Position 952: 0.0012393396050532606
Position 415: 0.0010419089953688939
Position 449: 0.0010402274250929263
Position 1002: 0.0008085572758684815
Position 294: 0.0006324851333463255
Position 101: 0.0005773240388020937
Position 610: 0.0003185203331663772
Position 109: 0.00018351762328351504
Position 974: 0.0001674686754943
Position 424: 0.00013862797143533595
Position 90: 0.00010273218685260849
Position 1004: 7.705829755580772e-05
Position 186: 7.677475138883412e-05
Position 990: 6.710194399306931e-05
Position 156: 5.596646010288811e-05
Position 257: 4.2849476459442615e-05
Position 887: 2.059247632405506e-05
Position 190: 1.216842505504316e-05
Position 103: 1.0679262314736334e-05
Position 221: 1.02568992425995e-05
Position 20: 9.551127540217925e-06
Position 782: 8.644594764356688e-06
Position 116: 4.838778219761129e-06
Position 822: 4.204488956326002e-06
Position 461: 1.4796209998515714e-06
Position 503: 6.993136014126352e-07
Position 199: 3.6176971711054227e-07
Position 879: 3.4442406947406364e-07
Position 482: 1.9671850863409066e-07
Position 436: 1.799217113171524e-07
Position 143: 1.333780335991974e-07
Position 769: 6.20820174046627e-08
Position 240: 4.8531236142809797e-08
Position 62: 3.1677493798760667e-08
Position 470: 3.063388119040558e-08
Position 985: 2.9276986155029522e-08
Position 836: 1.9963214452004137e-08
Position 826: 1.0768925736331134e-08
Position 206: 2.2982547948735055e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.998070459602981
Position 639: 0.977157426876427
Position 338: 0.8783664598310736
Position 352: 0.09639380158154892
Position 415: 0.010407827385906634
Position 687: 0.006543398886631101
Position 470: 0.00245126072143707
Position 517: 0.0014079881925262085
Position 1061: 0.001215623897646968
Position 179: 0.0007585457712269537
Position 1081: 0.0006736188260936744
Position 360: 0.0006488267607094543
Position 1064: 0.00038519153492460174
Position 400: 0.00017174493462685208
Position 1002: 0.00010409503228270808
Position 143: 8.399221351929528e-05
Position 857: 5.019915395514095e-05
Position 620: 3.683921919768042e-05
Position 815: 1.0059022895492275e-05
Position 82: 9.472046688032607e-06
Position 978: 7.778522234168118e-06
Position 723: 5.497792545741359e-06
Position 424: 1.544222732088478e-06
Position 221: 1.085916000940868e-06
Position 895: 8.351502006210698e-07
Position 196: 4.1911399333518944e-07
Position 249: 3.9102469935624783e-07
Position 606: 3.6590035717598813e-07
Position 887: 2.924164639978187e-07
Position 160: 2.590260960008859e-07
Position 741: 2.3203130760270573e-07
Position 769: 2.3072591561329974e-07
Position 368: 2.0701636839297325e-07
Position 430: 2.0267216080158574e-07
Position 229: 1.7355667788767715e-07
Position 726: 1.2561819598153686e-07
Position 822: 7.195075830072252e-08
Position 736: 5.458141059388578e-08
Position 535: 4.872457457647832e-08
Position 833: 3.7201406776566186e-08
Position 944: 3.709486925649607e-08
Position 842: 2.920191531079468e-08
Position 550: 1.9678593635102772e-08
Position 101: 1.2631051350745174e-08
Position 587: 1.0388912423958408e-08
Position 559: 9.20417452911019e-09
Position 526: 8.027306276537162e-09
Position 565: 7.95193718020206e-09
Position 699: 6.003292820236951e-09
Position 568: 3.79639048937412e-09
Position 906: 1.9547330011879927e-09
Position 544: 5.806119931391037e-10
Position 908: 3.8543884208516414e-10
Position 251: 2.036894019899499e-10
Position 272: 1.348825947791818e-18
