Gene = Cp18
index = 1089
Annotated 5SS: [59]
Annotated 3SS: [232]
SMsplice 5SS: [59]
SMsplice 3SS: [232]
top_k =  1000
Partition function (log Z): -2.241032103076327

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9075935649842516
Position 109: 0.09191910665809802
Position 332: 0.001760441659788843
Position 464: 0.00038137774006658773
Position 575: 0.0002074346447205415
Position 52: 0.00017883676415638886
Position 81: 0.0001546790439155019
Position 411: 0.00012080476963722977
Position 70: 0.00011985530598785502
Position 375: 0.00011960302229872985
Position 378: 0.00010586243276249028
Position 456: 7.005085240059052e-05
Position 311: 6.524827862156128e-05
Position 315: 5.056097365222188e-05
Position 300: 3.619769108313273e-05
Position 425: 3.549726541881212e-05
Position 421: 3.300802955363405e-05
Position 303: 2.817491697573794e-05
Position 104: 2.693528466486455e-05
Position 755: 2.2258824675883025e-05
Position 498: 1.1980136098811124e-05
Position 291: 7.600406794873469e-06
Position 659: 6.5411820337290706e-06
Position 4: 4.613881438720761e-06
Position 350: 3.342719312573036e-06
Position 747: 3.1002959024181077e-06
Position 483: 2.5999469323095756e-06
Position 509: 2.236418163755442e-06
Position 475: 1.264097645498382e-06
Position 362: 9.861881792294614e-07
Position 288: 7.64449378514099e-07
Position 737: 6.400067204603205e-07
Position 439: 6.226181570784041e-07
Position 437: 3.236540968941765e-07
Position 282: 2.1184184737586438e-07
Position 640: 1.5536138897687525e-07
Position 431: 1.0309633296839902e-07
Position 629: 2.008292360677098e-08
Position 260: 3.086243019518162e-09
Position 695: 1.5229168895959195e-09
Position 608: 2.8992240222493015e-10
Position 191: 5.684681677452439e-13
Position 232: 3.908751615443869e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9985296422041978
Position 624: 0.001427791184347637
Position 453: 0.0013393080699943638
Position 191: 0.0011893547722323628
Position 520: 0.00020172538836182407
Position 509: 9.206033848018959e-05
Position 331: 8.712860024587813e-05
Position 475: 5.939836525687376e-05
Position 818: 3.7998615318510944e-05
Position 401: 2.6948746549326675e-05
Position 355: 2.43479187144709e-05
Position 538: 2.2519898537958518e-05
Position 558: 1.673689192468474e-05
Position 109: 5.958436305313268e-06
Position 311: 3.1281001417688185e-06
Position 604: 2.6119998979988654e-06
Position 782: 2.5850564624619136e-06
Position 337: 2.1272092215824364e-06
Position 583: 1.4429215834634922e-06
Position 651: 1.420545304737748e-06
Position 637: 6.939167404611716e-07
Position 805: 5.494075061002312e-07
Position 640: 2.403352266871987e-07
Position 789: 2.2581518405451265e-07
Position 712: 2.2192448057834493e-07
Position 586: 1.1193772981872937e-07
Position 709: 1.0092100548508956e-07
Position 690: 8.895278803683783e-08
Position 755: 6.71691496488429e-08
Position 677: 4.233096853694137e-08
Position 658: 1.11459888067623e-08
Position 664: 1.1027164533228508e-08
Position 721: 6.994632928033042e-09
Position 655: 1.108077048675698e-09
Position 421: 1.0334478830069434e-09
Position 63: 7.375655151407717e-10
Position 70: 3.125801345808693e-10
Position 104: 8.978148300250678e-11
Position 52: 2.6707410425898283e-12
