Gene = Glut1
index = 1191
Annotated 5SS: [45897 53464 58329 59869 60227 65864 66118 67134 67347 67692 68030 68224
 69985 70203]
Annotated 3SS: [53173 58169 59748 60063 65697 65979 66876 67221 67412 67751 68100 69780
 70062 71287]
SMsplice 5SS: [  145  1736 37060 37319 37850 65864 66118 67134 67347 67692 68030 68224
 69985 70203]
SMsplice 3SS: [  479 36872 37129 37414 65697 65979 66876 67221 67412 67751 68100 69759
 70062 78785]
top_k =  1000
Partition function (log Z): -79.47870795877384

Sorted 5' Splice Sites (High to Low Probability):
Position 1736: 0.9999976490162641
Position 145: 0.8760011370888099
Position 430: 0.036943100089477585
Position 26440: 0.03141470544496094
Position 362: 0.02181210925155227
Position 270: 0.017002656207159638
Position 102: 0.010051424697357498
Position 189: 0.005943850385175172
Position 1387: 0.005095603843661809
Position 127: 0.004043199923468683
Position 152: 0.00396024536651572
Position 187: 0.0035012425520666874
Position 95: 0.003343424876304244
Position 84: 0.002691525684466194
Position 1484: 0.0020353644111420115
Position 108: 0.0012970589934146706
Position 165: 0.0011863926639643116
Position 66: 0.0008760109728889309
Position 262: 0.0007971208322706748
Position 536: 0.0006042605145864222
Position 228: 0.00041999033128345956
Position 395: 0.00034623356800018323
Position 55: 0.0002774048244095609
Position 399: 0.0002463538219480616
Position 1482: 0.0001830539356367128
Position 88: 0.00015749185344037387
Position 983: 0.00012758070012672037
Position 975: 0.00011761334043288802
Position 736: 0.00011433904596656987
Position 274: 0.00011295327093081252
Position 877: 9.02355687828335e-05
Position 713: 8.672654722015372e-05
Position 1457: 7.686698920047101e-05
Position 48: 6.040086316030809e-05
Position 259: 5.353936371167336e-05
Position 249: 4.1079518110894544e-05
Position 193: 4.077610180183815e-05
Position 1077: 2.6126408592692277e-05
Position 297: 2.3175387936264846e-05
Position 1135: 2.1171005188036938e-05
Position 938: 1.9697034406808567e-05
Position 19: 1.6236038479222197e-05
Position 120: 1.3669173699180967e-05
Position 1099: 1.3056877529778113e-05
Position 176: 1.119664394534605e-05
Position 971: 1.1076260324373139e-05
Position 987: 1.0270354437501362e-05
Position 775: 9.140541909392902e-06
Position 969: 8.248525895259687e-06
Position 1027: 8.218757903031289e-06
Position 38: 8.16951453753426e-06
Position 1112: 7.456160631286617e-06
Position 277: 6.535269213330162e-06
Position 651: 5.514934832307264e-06
Position 940: 5.327486251638283e-06
Position 967: 5.089895487066791e-06
Position 348: 4.963362023375563e-06
Position 942: 4.840364615872809e-06
Position 239: 4.357054281347344e-06
Position 944: 4.328199882814439e-06
Position 979: 4.0539145503018375e-06
Position 549: 3.3456981896319303e-06
Position 122: 2.772367536944841e-06
Position 493: 1.7505421950581474e-06
Position 232: 9.445270204175484e-07
Position 6: 8.810226858839262e-07
Position 9533: 3.593485246050129e-08
Position 9212: 2.9524832855520858e-09
Position 9064: 1.1509138806446244e-09
Position 1829: 8.389954275512963e-10
Position 10921: 4.009144545375953e-10
Position 10302: 1.6917019958428013e-10
Position 1564: 1.2426803692038e-10
Position 2106: 1.0807959031190192e-10
Position 748: 1.0275543565645067e-10
Position 8331: 9.095834401079832e-11
Position 771: 8.588866365854663e-11
Position 4888: 7.219399793284652e-11
Position 1516: 6.797193383222578e-11
Position 887: 6.752840633089264e-11
Position 2605: 5.702171461390322e-11
Position 946: 5.126810781894366e-11
Position 7883: 5.122482799892055e-11
Position 4645: 3.4612717317207236e-11
Position 881: 3.452779487926649e-11
Position 707: 2.9514542548065474e-11
Position 10052: 2.737199432517852e-11
Position 635: 2.4355406139760883e-11
Position 1325: 1.9827217259351848e-11
Position 1269: 1.1047656910653352e-11
Position 2273: 9.24982993082269e-12
Position 2513: 8.43591221610253e-12
Position 879: 6.0790046961165055e-12
Position 1040: 5.9060742910100744e-12
Position 3923: 5.750446291989261e-12
Position 696: 5.424883955032447e-12
Position 644: 4.644137338562103e-12
Position 6751: 4.274815234168656e-12
Position 1082: 2.9014092163203112e-12
Position 715: 2.8816866786062022e-12
Position 973: 1.897488817432419e-12
Position 2827: 4.999246470245618e-13
Position 6971: 4.625073433786405e-13
Position 2077: 2.289170860793436e-13
Position 4941: 1.3124336141270572e-13
Position 1888: 1.149532331028612e-13
Position 3435: 4.361497596067535e-14
Position 1751: 3.728726236181732e-14
Position 4428: 3.305944791529344e-14
Position 4945: 3.2575157055339924e-14
Position 4981: 3.2237965464712996e-14
Position 2075: 2.4614026702967606e-14
Position 1818: 1.5288128142075215e-14
Position 2666: 9.021806348772492e-15
Position 2097: 6.1703075008868204e-15
Position 1666: 3.870272011813087e-15
Position 2446: 2.5300576532924616e-15
Position 292: 1.4500082241455063e-15
Position 8: 8.138652150523669e-16
Position 1833: 6.255742816950042e-16
Position 484: 5.825400718361198e-16
Position 3766: 4.485299363777064e-16
Position 1948: 2.0008860694062928e-16
Position 473: 1.253955365743924e-16
Position 458: 6.478583769314459e-17
Position 740: 4.7804873132252047e-17
Position 2441: 4.6094507417466577e-17
Position 2461: 4.568677353777319e-17
Position 2396: 2.662288738073227e-17
Position 2382: 2.5576465307033132e-17
Position 701: 5.423162415327142e-18
Position 932: 5.311885824816877e-18
Position 698: 4.483910919162106e-18
Position 2283: 4.187597716762413e-19
Position 742: 8.768024026128207e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 479: 0.7778381851675074
Position 29353: 0.6315058661709821
Position 28603: 0.2645642280003184
Position 1564: 0.11406654236422924
Position 27625: 0.06442652721807175
Position 25977: 0.039496731474469825
Position 26510: 0.03141470544496094
Position 1616: 0.02235363048344407
Position 1196: 0.02217805391439681
Position 458: 0.014842630257239826
Position 1590: 0.010508769744998009
Position 1343: 0.008104692416610965
Position 1636: 0.005403837895394206
Position 214: 0.003835493124732099
Position 1653: 0.003620277205457069
Position 1282: 0.0027675651430915968
Position 219: 0.002647456920821759
Position 1364: 0.002383356701646657
Position 1034: 0.0015323966872280762
Position 619: 0.0013163352546925278
Position 1622: 0.0010189916131830494
Position 1638: 0.0009817232208483892
Position 442: 0.000696041548774724
Position 239: 0.0005707464642430381
Position 560: 0.0005102211498038791
Position 1457: 0.00040530057958364343
Position 1369: 0.000387718660739745
Position 575: 0.0003404472945837285
Position 517: 0.0003031878973718849
Position 860: 0.0002651199447959476
Position 960: 0.00022328468164448342
Position 165: 0.00018433419822252244
Position 245: 0.00018076602550105795
Position 797: 0.00015949616621471866
Position 1076: 0.00014922419586119339
Position 1482: 0.00014330177062207676
Position 581: 7.850306516716552e-05
Position 18336: 4.333317590353636e-06
Position 15969: 1.118342637144477e-06
Position 16593: 5.291951376146632e-07
Position 17235: 2.2286431172182482e-07
Position 16609: 1.6536958100381236e-07
Position 15153: 9.035683903428775e-08
Position 15495: 7.37063969445373e-08
Position 14649: 3.063118757266236e-08
Position 15790: 2.334173780003468e-08
Position 9339: 1.8312786599471016e-08
Position 14298: 1.7411439553813736e-08
Position 8733: 1.3998706918319069e-08
Position 14717: 6.6654326605279605e-09
Position 11409: 6.375475897472057e-09
Position 9432: 5.848406995067019e-09
Position 14332: 5.2961586692570286e-09
Position 14496: 4.8745981379245626e-09
Position 13190: 3.430311547992225e-09
Position 14036: 2.81884678239525e-09
Position 9140: 1.9759801798192896e-09
Position 13609: 1.9007219483457478e-09
Position 13342: 1.4825037895738987e-09
Position 9371: 1.3451147372305231e-09
Position 10804: 1.3201775521423044e-09
Position 10202: 1.2642371466041654e-09
Position 10167: 1.1431727255400606e-09
Position 7707: 9.331578693280882e-10
Position 11979: 8.172411041699971e-10
Position 9374: 7.406094549953555e-10
Position 11995: 7.019190084214556e-10
Position 11336: 6.071532129242718e-10
Position 11283: 4.0987226034810277e-10
Position 9826: 2.1244802464430256e-10
Position 10784: 2.0395383843435363e-10
Position 7946: 1.681748600515504e-10
Position 4553: 1.204485170809936e-10
Position 1965: 1.0933577324662894e-10
Position 10212: 1.0837503780347943e-10
Position 11351: 1.0581967034049228e-10
Position 2193: 6.80275414365616e-11
Position 9795: 6.14321555464407e-11
Position 221: 3.912140575435548e-11
Position 9568: 3.450299122885713e-11
Position 152: 2.6299061652033467e-11
Position 7049: 2.398047007765638e-11
Position 9267: 2.3563332801439093e-11
Position 7073: 2.222409344680936e-11
Position 8739: 2.2178521474784088e-11
Position 8755: 1.6629220644007787e-11
Position 8787: 1.2508129606646568e-11
Position 6595: 1.2294904117290394e-11
Position 8833: 1.0114530145854834e-11
Position 7580: 9.561034472890157e-12
Position 310: 7.162409177594711e-12
Position 8059: 6.1343557600885885e-12
Position 1887: 5.261994498402423e-12
Position 6475: 4.216131412090514e-12
Position 7385: 4.21407921169116e-12
Position 865: 3.2393298259698357e-12
Position 1924: 3.0718775453365074e-12
Position 2147: 3.008734389353924e-12
Position 7197: 2.8102733584584244e-12
Position 303: 2.6977462091815777e-12
Position 6570: 2.6847740976622725e-12
Position 4359: 2.0785127663965734e-12
Position 2053: 1.9954634961731358e-12
Position 6542: 1.84788475431528e-12
Position 7910: 1.7391022380534e-12
Position 3841: 1.6727735202472585e-12
Position 6177: 1.6289624175292898e-12
Position 6812: 1.4471901384189311e-12
Position 133: 1.4089311339408977e-12
Position 5834: 1.0898476304553491e-12
Position 2725: 1.0699224971680316e-12
Position 2034: 9.748308240073633e-13
Position 6687: 9.111565199422237e-13
Position 496: 7.215554579021399e-13
Position 5053: 6.332944742079372e-13
Position 5326: 6.223892302144174e-13
Position 255: 5.98684938731641e-13
Position 2075: 5.157706910492842e-13
Position 6863: 4.96065080286198e-13
Position 1977: 4.215506810802436e-13
Position 5007: 4.0064131076540377e-13
Position 3800: 3.897874897802861e-13
Position 5901: 3.8037226073401697e-13
Position 6737: 3.356247398279874e-13
Position 6617: 3.235339365379077e-13
Position 6722: 3.0926974430822656e-13
Position 2513: 3.0627428442428663e-13
Position 5855: 2.9682117958069173e-13
Position 193: 2.9006059177104305e-13
Position 3530: 2.8933497690035505e-13
Position 2361: 2.814643030109005e-13
Position 1992: 2.343693791558904e-13
Position 3781: 2.275521074586455e-13
Position 2253: 2.244700947975483e-13
Position 6347: 2.166697893911873e-13
Position 5529: 2.1518248274925387e-13
Position 6450: 2.0070171944639315e-13
Position 2698: 1.411000072272004e-13
Position 5101: 1.2427754744162046e-13
Position 4003: 1.1687326168656046e-13
Position 5939: 1.1640361229233082e-13
Position 4029: 1.0935651745487602e-13
Position 5791: 1.0214383963267068e-13
Position 3968: 8.691870308329894e-14
Position 4634: 7.522863121269043e-14
Position 4372: 7.173200660258462e-14
Position 5497: 6.603817525130996e-14
Position 3065: 6.248492236508417e-14
Position 5436: 5.661731895995025e-14
Position 176: 5.128804320410966e-14
Position 5226: 5.1263869037062356e-14
Position 3627: 4.501861544243616e-14
Position 1366: 4.0417627780061444e-14
Position 186: 3.415735290879422e-14
Position 3315: 2.8563140068346135e-14
Position 3498: 2.590969221322118e-14
Position 3234: 2.5642181460935832e-14
Position 1818: 2.4623233490191734e-14
Position 3376: 2.354493774987355e-14
Position 181: 1.7995962057686596e-14
Position 4334: 1.6193554311877534e-14
Position 2326: 1.3611733726659807e-14
Position 2161: 1.2211710851271538e-14
Position 1793: 7.637637697971314e-15
Position 2121: 7.221178862504629e-15
Position 2461: 6.909375950866501e-15
Position 2877: 6.3162055070708665e-15
Position 2135: 5.806744292956551e-15
Position 65: 5.102287897753177e-15
Position 1894: 4.305021561889252e-15
Position 3325: 3.755594731131646e-15
Position 389: 3.604561921101769e-15
Position 2085: 3.273000108578606e-15
Position 2605: 2.551219204430324e-15
Position 493: 2.441540869340873e-15
Position 1488: 2.2052075999992835e-15
Position 1766: 2.201581228719357e-15
Position 1735: 2.1766245067356256e-15
Position 73: 1.5116176207619274e-15
Position 76: 1.4631534489963134e-15
Position 666: 1.4124857244479064e-15
Position 305: 1.344961675924538e-15
Position 890: 1.3388080712433555e-15
Position 499: 1.2585022552784614e-15
Position 2172: 1.0826985301259642e-15
Position 713: 7.699330806945353e-16
Position 877: 2.7223774622368865e-16
Position 55: 1.8390534128642522e-16
Position 307: 9.964079771544433e-17
Position 48: 1.8514622987918892e-17
Position 60: 5.739405460062341e-19
Position 328: 3.660646220957977e-21
