Gene = Top2
index = 1564
Annotated 5SS: [ 240  952 1763 2244 5348]
Annotated 3SS: [ 696 1174 1819 2309 5428]
SMsplice 5SS: [ 240 1763 2244 5348]
SMsplice 3SS: [1174 1819 2309 5428]
top_k =  1000
Partition function (log Z): 10.412069660714552

Sorted 5' Splice Sites (High to Low Probability):
Position 2244: 0.9989917382708484
Position 5348: 0.9960099538079774
Position 240: 0.9916111074660321
Position 1763: 0.9849878525088357
Position 2730: 0.4217382384137375
Position 3967: 0.3876309249295468
Position 952: 0.31667136474101193
Position 1327: 0.2679246825330023
Position 3254: 0.103558005779399
Position 5681: 0.06948562849067279
Position 4710: 0.059196028171417725
Position 3551: 0.04960714360823979
Position 1021: 0.03550889206828225
Position 4115: 0.033682705639461304
Position 933: 0.029932116327982594
Position 1552: 0.0271849111254884
Position 5865: 0.021714323971344283
Position 5499: 0.01773262774018818
Position 1333: 0.016830053207195796
Position 2350: 0.016561024896794018
Position 4122: 0.01573436038313571
Position 3815: 0.012852697411497284
Position 3593: 0.012307802852858993
Position 3281: 0.010638718426487436
Position 817: 0.010356620679985693
Position 1358: 0.010035410769036817
Position 1619: 0.008518287376588794
Position 3940: 0.008372903170298205
Position 3491: 0.00824765903726844
Position 2336: 0.007863481391069549
Position 3876: 0.007450876552548788
Position 3303: 0.007412033925376879
Position 2099: 0.007142830288294418
Position 4221: 0.007079440075138031
Position 821: 0.004967147180917444
Position 618: 0.004451157765860803
Position 3809: 0.004286504253411902
Position 640: 0.0041665415414520336
Position 1961: 0.0037011613039375515
Position 3924: 0.0036455998593143673
Position 3639: 0.003532540697492609
Position 1994: 0.0034526679268177068
Position 3452: 0.0032924223513332612
Position 3572: 0.00322348059289763
Position 608: 0.003009188464497455
Position 5869: 0.0025164372814275825
Position 2682: 0.0023843248449020946
Position 1331: 0.002072827666625539
Position 905: 0.0019846708526901893
Position 66: 0.0017993393894861483
Position 3184: 0.001761995237514106
Position 446: 0.0016163218493961985
Position 3787: 0.0014671255010748887
Position 3100: 0.0014303360335505826
Position 1095: 0.0013667921155557496
Position 1085: 0.001101657381792381
Position 2744: 0.0010931948721963436
Position 3497: 0.0010767279681780065
Position 826: 0.0010496362599754605
Position 1025: 0.0009617171874664171
Position 5890: 0.0008743942427722347
Position 1123: 0.0008645434813358723
Position 1967: 0.0008277326509758017
Position 2675: 0.0008060188457611177
Position 5360: 0.0007659792280955383
Position 3937: 0.0007534736349584358
Position 3117: 0.0007458146374120584
Position 977: 0.0007422116241176226
Position 3486: 0.0007347106595824905
Position 645: 0.000709236688162005
Position 2497: 0.0006975756387873732
Position 379: 0.000618290249037834
Position 5908: 0.000505794843757267
Position 3373: 0.0004193738492131348
Position 1291: 0.00036460805922195535
Position 1030: 0.0003377188188125992
