Gene = GramD1B
index = 1200
Annotated 5SS: [ 2467  5469  6128  7946  9546  9863 10066 10374 10957 12377]
Annotated 3SS: [ 5177  5652  7695  8431  9609  9934 10176 10653 11928 12443]
SMsplice 5SS: [  594  5469  6128  7946  9546  9863 10066 10374 12377 12565 13352]
SMsplice 3SS: [ 5177  5652  7698  8431  9609  9934 10176 11928 12443 13201 13526]
top_k =  1000
Partition function (log Z): 21.948768285214705

Sorted 5' Splice Sites (High to Low Probability):
Position 12377: 0.9998307845200461
Position 9546: 0.9939277529823424
Position 10066: 0.9896697132535699
Position 9863: 0.9877897423630049
Position 6128: 0.9770932671927093
Position 10374: 0.9646340793968605
Position 594: 0.9625978046119475
Position 5469: 0.9220497489184928
Position 7946: 0.9032672776666854
Position 12565: 0.8232256801820296
Position 13352: 0.6445359307975553
Position 10930: 0.3152290729171255
Position 10957: 0.3091042166818268
Position 1187: 0.2812602451569774
Position 1379: 0.07028149494562058
Position 8086: 0.06740876608780567
Position 12242: 0.06538796591468828
Position 13795: 0.06084205004056096
Position 8039: 0.06024382440532662
Position 6519: 0.05186894626623286
Position 8536: 0.043919865836082726
Position 11661: 0.043783172120449715
Position 7942: 0.035596593939111736
Position 3155: 0.031687591296112774
Position 5522: 0.031643456986750314
Position 5473: 0.031102409122665896
Position 11012: 0.024650121234404476
Position 4836: 0.02432443836260991
Position 11402: 0.021094726196464585
Position 12181: 0.01947669641468409
Position 12725: 0.018394200571044943
Position 10705: 0.01828848952496053
Position 13091: 0.017291210750170753
Position 12245: 0.017138031547121218
Position 10828: 0.016527472733237028
Position 964: 0.016108581433057448
Position 9331: 0.014941615332878353
Position 14173: 0.014577801269476685
Position 12249: 0.014496155400182582
Position 7615: 0.014295188314204569
Position 8354: 0.013954883276998882
Position 13356: 0.012316673929624244
Position 1273: 0.011547997408887024
Position 12670: 0.011321061781687894
Position 948: 0.010829009140474534
Position 12239: 0.010596114778093616
Position 2778: 0.010544777179517512
Position 708: 0.009563449342031497
Position 13124: 0.008322521318202958
Position 8631: 0.007901295920291805
Position 211: 0.00785795704163225
Position 102: 0.006967340257490373
Position 1191: 0.006479513018721956
Position 11037: 0.005776280014615893
Position 755: 0.005236174599690869
Position 12532: 0.005134284844854884
Position 6269: 0.004621230622273908
Position 3681: 0.004591837736885352
Position 10968: 0.0043087692577484776
Position 3306: 0.004079543109832082
Position 14053: 0.003976216481078772
Position 2467: 0.0032184434927302304
Position 3209: 0.003216544071630384
Position 11746: 0.0031749173390323415
Position 8478: 0.0029954136809499906
Position 5814: 0.002643049191293072
Position 5841: 0.0026013780631693006
Position 7093: 0.0025281262233154992
Position 11313: 0.0023707108303844117
Position 3204: 0.002337169151822917
Position 13454: 0.0021578378856938582
Position 6523: 0.0020895996911849644
Position 724: 0.0020881064264690868
Position 4220: 0.0018979587826682433
Position 459: 0.0018269881096288352
Position 10117: 0.0018069579571417637
Position 1089: 0.0017653798411402092
