Gene = Cp19
index = 1090
Annotated 5SS: [58]
Annotated 3SS: [146]
SMsplice 5SS: [58]
SMsplice 3SS: [146]
top_k =  1000
Partition function (log Z): -3.6577563876594112

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.9957807514708406
Position 611: 0.01342573629988743
Position 83: 0.003748132200279429
Position 397: 0.0028656493826381057
Position 615: 0.0014523437460393215
Position 292: 0.0007068150887408345
Position 378: 0.0006800280884706334
Position 540: 0.00032972308343006844
Position 51: 0.0002940514312523468
Position 599: 0.0001885379166569411
Position 235: 5.178293216683186e-05
Position 62: 4.721522557321809e-05
Position 530: 3.191058916896496e-05
Position 472: 2.2455927425496227e-05
Position 385: 2.084415794635344e-05
Position 418: 1.3711233651827308e-05
Position 64: 7.872165389632816e-06
Position 623: 7.540283730584035e-06
Position 334: 6.5739902564407785e-06
Position 315: 5.29887113442345e-06
Position 301: 3.8026323750734535e-06
Position 18: 3.1303275317207805e-06
Position 430: 3.082537785598185e-06
Position 485: 2.5573295606525336e-06
Position 202: 2.3819770276100285e-06
Position 451: 2.1126275637548593e-06
Position 367: 1.8367891128076824e-06
Position 433: 1.5049746069599877e-06
Position 516: 1.408333743458971e-06
Position 406: 3.4839759780014066e-07
Position 177: 3.302646963300639e-07
Position 570: 1.2715006312676696e-07
Position 459: 3.4007191688976e-08
Position 585: 2.447233991094358e-08
Position 129: 2.2282090530741027e-08
Position 156: 1.0059379318525894e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 146: 0.9969132021559224
Position 675: 0.016460761907674686
Position 156: 0.0019073098984629757
Position 497: 0.0009659688013919659
Position 464: 0.0008701870980728102
Position 377: 0.0007313532241691679
Position 129: 0.0006546268525285428
Position 530: 0.00033456192860234566
Position 184: 0.00014599988919835274
Position 591: 0.00011964639109873186
Position 640: 0.00010537810796424336
Position 643: 9.260227861777057e-05
Position 593: 8.295907977235107e-05
Position 570: 8.133009877076348e-05
Position 212: 6.042516363102169e-05
Position 265: 4.221149780306233e-05
Position 701: 2.7560952971755724e-05
Position 535: 2.398999909392778e-05
Position 346: 2.1774768450898084e-05
Position 611: 1.5453514542556416e-05
Position 239: 1.1634524323821818e-05
Position 729: 1.1533143049031894e-05
Position 599: 8.631183319000617e-06
Position 209: 6.194653836193679e-06
Position 509: 4.26198559344849e-06
Position 619: 3.5812249932622973e-06
Position 539: 1.2881070754872622e-06
Position 244: 1.171944523715811e-06
Position 270: 7.909902311926453e-07
Position 382: 7.453872104371709e-07
Position 623: 6.967712324825735e-07
Position 299: 6.865431136021351e-07
Position 578: 5.397195169319299e-07
Position 273: 4.5176826659007543e-07
Position 296: 5.894331058320803e-08
Position 359: 4.223580990427134e-08
Position 224: 3.329121315032372e-08
Position 285: 3.0926047661138425e-08
Position 320: 1.1294437384435565e-08
Position 290: 1.013843764204176e-12
Position 214: 3.0127617929182e-13
Position 72: 1.5927602926937775e-13
Position 62: 2.563888574921122e-14
Position 308: 2.110086025909563e-15
Position 401: 3.8743530797729336e-20
