Gene = amd
index = 1608
Annotated 5SS: [2162]
Annotated 3SS: [2639]
SMsplice 5SS: [197 493]
SMsplice 3SS: [ 257 2639]
top_k =  1000
Partition function (log Z): 1.5142648658525455

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9678829970972563
Position 197: 0.8595414155688514
Position 2162: 0.17363507688673677
Position 2253: 0.1727129842469122
Position 190: 0.1261826057222337
Position 1328: 0.0943855935221196
Position 1421: 0.09114828275450097
Position 3340: 0.039101003006241974
Position 1198: 0.02377620454203931
Position 2547: 0.021191328240992062
Position 1082: 0.015667419407899952
Position 1746: 0.014482458739569427
Position 449: 0.014227987638124816
Position 2859: 0.013591030944047804
Position 661: 0.012540623615947764
Position 2263: 0.006307764887140791
Position 199: 0.004933500615696971
Position 2355: 0.004803989987285794
Position 3568: 0.00440915846086995
Position 510: 0.0033046530942460574
Position 3549: 0.002211948869819113
Position 1364: 0.0022028101640513414
Position 2257: 0.0017652790861257303
Position 3652: 0.0014651295666868595
Position 1802: 0.0012664700571417132
Position 1047: 0.0010355820657816284
Position 1845: 0.0010340680652857507
Position 36: 0.0009576469080857705
Position 2177: 0.0009176746443182483
Position 2531: 0.0009091424754202133
Position 2137: 0.00083241751165259
Position 2854: 0.0007613601811348935
Position 2314: 0.0006638853424438866
Position 517: 0.0006357902086430169
Position 3120: 0.000633700422278054
Position 81: 0.0005968068109176186
Position 2403: 0.0005709387999694908
Position 28: 0.000537680721607389
Position 488: 0.00048015522171471523
Position 2511: 0.00047309852997729385
Position 2246: 0.00040388193778336217
Position 3672: 0.0003449239835252443
Position 2114: 0.00033488699216882676
Position 1694: 0.0003162460010911013
Position 2166: 0.0003106661050670733
Position 1383: 0.00028288410840138033
Position 2288: 0.0002728083847721314
Position 1548: 0.0002690734501857512
Position 3143: 0.00026054566323924244
Position 2496: 0.0002580907184394723
Position 377: 0.00025638654513991806
Position 1425: 0.0002552970605483658
Position 1024: 0.0002469866689057122
Position 1931: 0.0002427701621341174
Position 2101: 0.0002407479160795157
Position 2751: 0.00023984687270526907
Position 1078: 0.00020681680690434875
Position 1571: 0.0001999642279914248
Position 1428: 0.0001930314034458647
Position 3896: 0.00017734348386885012
Position 3854: 0.000164424027304818
Position 886: 0.00016088751699484545
Position 1686: 0.0001602245438861502
Position 1067: 0.00014755729321076517
Position 1033: 0.00012754300982236705
Position 3175: 0.00012690139119826067
Position 3288: 0.00012008802533131512
Position 571: 0.00010273605193127567
Position 203: 8.527601858395751e-05
Position 2170: 8.346615460835845e-05
Position 343: 8.067732460757949e-05
Position 1438: 7.321874252152008e-05
Position 21: 7.289879790516732e-05
Position 1468: 7.194970112165822e-05
Position 2780: 6.437754710736317e-05
Position 1523: 6.14766163643662e-05
