Gene = Bdp1
index = 46
Annotated 5SS: [1196 1583]
Annotated 3SS: [1253 1636]
SMsplice 5SS: [1196 1583]
SMsplice 3SS: [1253 1636]
top_k =  1000
Partition function (log Z): -3.9418867809119784

Sorted 5' Splice Sites (High to Low Probability):
Position 1583: 0.9932884792436468
Position 1196: 0.8624985981027139
Position 1408: 0.15923339728823102
Position 1153: 0.057776508858556425
Position 816: 0.05102118450655053
Position 1803: 0.030445813669398587
Position 424: 0.028992641076404858
Position 1012: 0.01937194864647057
Position 682: 0.01794072689479599
Position 541: 0.013934944862670828
Position 788: 0.01196556835698812
Position 1208: 0.010325933733989713
Position 1056: 0.004720904640637931
Position 1389: 0.003840304675962871
Position 1170: 0.0034606081780146217
Position 840: 0.0029656351903638934
Position 824: 0.002832718377087849
Position 59: 0.002395376915833585
Position 960: 0.00207107931803383
Position 881: 0.001731107666206415
Position 1138: 0.0017193927899338674
Position 2000: 0.0014788781110533999
Position 2043: 0.001033959274237733
Position 964: 0.0009942785487513342
Position 43: 0.0008691229566834778
Position 2013: 0.0008088212185618203
Position 2366: 0.0007366182943329657
Position 1835: 0.0005274877253149452
Position 1383: 0.0004954907946177867
Position 949: 0.0004302988703920299
Position 1994: 0.00034324917707196766
Position 989: 0.0003417984552827357
Position 307: 0.00033628340184192827
Position 526: 0.0003287399829095906
Position 1788: 0.00030317796143478743
Position 869: 0.0003001522704123451
Position 524: 0.00026761384894064715
Position 650: 0.0002520859086808473
Position 1363: 0.000247570205667023
Position 2066: 0.0002460504166359494
Position 2311: 0.0002452621169648318
Position 587: 0.00022084210558398682
Position 301: 0.00021318190873963164
Position 304: 0.00020448742971592346
Position 518: 0.00018498872117527434
Position 1540: 0.00018332247897317932
Position 324: 0.00016174739200508934
Position 894: 0.000150764088463313
Position 2348: 0.00013709340400937738
Position 883: 0.00012816726177040252
Position 900: 0.00011437470442274855
Position 1372: 0.00010209180463881877
Position 87: 9.09774538661414e-05
Position 2314: 8.416922441628426e-05
Position 568: 6.410291456481637e-05
Position 150: 6.354554056275127e-05
Position 12: 6.040796796352568e-05
Position 334: 4.643388803602516e-05
Position 984: 4.603818735286201e-05
Position 1041: 3.673025880065311e-05
Position 90: 3.466880607775851e-05
Position 174: 3.295964373828094e-05
Position 1313: 3.2806271095264344e-05
Position 451: 3.1611687818448545e-05
Position 2057: 2.907417198642631e-05
Position 137: 2.8922991898216298e-05
Position 110: 2.7906059053012568e-05
Position 104: 2.654049251221322e-05
Position 731: 2.045064669319881e-05
Position 1016: 1.9439577629819574e-05
Position 1982: 1.605425591684889e-05
Position 1864: 1.3874653739724323e-05
Position 702: 1.3593895047969351e-05
Position 1222: 1.3356475844313758e-05
Position 2268: 1.3335299342605721e-05
Position 1604: 7.321544349858252e-06
Position 609: 4.723904430066321e-06
Position 1917: 4.129626455750533e-06
Position 1060: 3.895978928812778e-06
Position 1712: 3.4981146247649408e-06
Position 1594: 2.91119115793372e-06
Position 139: 2.5922345159216687e-06
