Gene = DNApol-epsilon58
index = 1127
Annotated 5SS: [762]
Annotated 3SS: [818]
SMsplice 5SS: [762]
SMsplice 3SS: [818]
top_k =  1000
Partition function (log Z): -5.370167781711856

Sorted 5' Splice Sites (High to Low Probability):
Position 762: 0.9990405519459091
Position 991: 0.009683320756374186
Position 290: 0.006538899544131768
Position 897: 0.0030645609198202
Position 314: 0.0026242939386456974
Position 1340: 0.0014293470499106154
Position 355: 0.0010734648338481272
Position 200: 0.000981034160049257
Position 750: 0.0006629457430704931
Position 1004: 0.00046622234919623846
Position 341: 0.000340046050341664
Position 1030: 0.0002348768765534321
Position 1137: 0.00020705836004661541
Position 1337: 0.00016960737235565152
Position 919: 0.0001361749372294432
Position 403: 9.95431130364961e-05
Position 1366: 8.97656108143484e-05
Position 457: 7.619608239484808e-05
Position 948: 6.915559978419644e-05
Position 766: 6.094368899938366e-05
Position 1436: 3.3056315979408556e-05
Position 1198: 2.9223838020158158e-05
Position 1318: 2.1501875091426903e-05
Position 245: 1.5166200445749468e-05
Position 776: 1.4283239361816241e-05
Position 1034: 1.2962882527710642e-05
Position 667: 1.2668350318140392e-05
Position 986: 1.1560500833451418e-05
Position 1077: 9.8759089911882e-06
Position 1402: 9.323115071308463e-06
Position 138: 7.917257845461752e-06
Position 1190: 7.177352294528265e-06
Position 62: 5.510336687459588e-06
Position 1551: 5.2852806637021936e-06
Position 971: 4.72592680417706e-06
Position 1027: 4.208252005110868e-06
Position 752: 3.686496521256399e-06
Position 1347: 3.2787541930259938e-06
Position 596: 2.3701537451192385e-06
Position 553: 2.1722207770222545e-06
Position 1050: 2.1089670529587625e-06
Position 657: 1.981891854626374e-06
Position 1510: 1.7784779501026725e-06
Position 111: 1.3668492772394832e-06
Position 1067: 1.3543457149164906e-06
Position 1007: 1.0047136687128211e-06
Position 1507: 9.91466278194514e-07
Position 348: 9.737785884175819e-07
Position 577: 6.684050345822678e-07
Position 722: 5.584730065318622e-07
Position 1291: 5.267375641836565e-07
Position 634: 4.764717065928162e-07
Position 1446: 4.1626965185414295e-07
Position 599: 3.7519670559996194e-07
Position 1233: 3.531571270399155e-07
Position 1438: 3.4880855855883546e-07
Position 1306: 2.792394670471961e-07
Position 1454: 2.3216196777074003e-07
Position 500: 1.6047724046668772e-07
Position 861: 1.1951219431450805e-07
Position 687: 8.553338768050924e-08
Position 662: 2.700116182003123e-08
Position 515: 2.112790980181005e-08
Position 641: 1.294507242832058e-09
Position 800: 5.372399732096529e-11
Position 818: 9.384545589659903e-13
Position 809: 3.482990736500123e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 818: 0.9918961687210195
Position 1060: 0.015121914074681213
Position 364: 0.006566194931151698
Position 1397: 0.0021577986594622975
Position 1318: 0.0021421862928122353
Position 1481: 0.0015872139078350316
Position 1259: 0.0015554010867233348
Position 497: 0.0013285331212129273
Position 442: 0.0012196284365978921
Position 466: 0.0011096077437998766
Position 394: 0.000608774730107358
Position 508: 0.0006019772388350363
Position 858: 0.00048651535032314097
Position 1205: 0.00019420531750163076
Position 619: 9.443906827501598e-05
Position 1148: 6.216087399439049e-05
Position 1444: 4.9218480067086895e-05
Position 1092: 4.9009352853327473e-05
Position 667: 4.3063730729375e-05
Position 1291: 3.691685313127383e-05
Position 1417: 3.60744296039194e-05
Position 861: 3.4535025270352035e-05
Position 1333: 3.104354541279818e-05
Position 1428: 2.7960954399036377e-05
Position 373: 2.4358576662414946e-05
Position 1408: 2.3758709494048163e-05
Position 403: 2.188122841410656e-05
Position 1018: 2.1035003031265225e-05
Position 1555: 1.906677478136555e-05
Position 1612: 1.773433500322623e-05
Position 728: 1.4911114097165296e-05
Position 553: 1.0946232745791542e-05
Position 1015: 1.0625186065288716e-05
Position 547: 8.495410019552928e-06
Position 800: 8.405598814232487e-06
Position 1098: 7.4929654881376965e-06
Position 1643: 5.479614213178167e-06
Position 626: 5.103636268271858e-06
Position 671: 4.870140283805011e-06
Position 937: 4.236030128293903e-06
Position 1273: 4.184509652105802e-06
Position 926: 2.9263006582105325e-06
Position 268: 2.6494369956746122e-06
Position 1366: 2.505972906866889e-06
Position 133: 2.049102114771096e-06
Position 1330: 2.0374081258203907e-06
Position 1631: 1.7603223163595491e-06
Position 919: 1.6115897838076926e-06
Position 1618: 1.4027976028302e-06
Position 798: 1.364969412372496e-06
Position 106: 1.2816284523314734e-06
Position 138: 1.0695044184131209e-06
Position 532: 1.0307614198572362e-06
Position 176: 9.416913369879913e-07
Position 1027: 8.952265640569505e-07
Position 1067: 8.015160482887474e-07
Position 910: 5.245646180149587e-07
Position 760: 4.381963306752342e-07
Position 1566: 3.9263556001105663e-07
Position 634: 2.1048924183692594e-07
Position 1162: 2.0525004615947798e-07
Position 1717: 1.9123929607024473e-07
Position 589: 1.3419517334593676e-07
Position 1563: 1.1967041455702184e-07
Position 646: 9.069422902796581e-08
Position 712: 6.730587079277628e-08
Position 683: 6.212906356003106e-08
Position 538: 5.131380560827421e-08
Position 222: 5.1135426493536476e-08
Position 305: 5.042290369694564e-08
Position 265: 3.2485987139937304e-08
Position 157: 2.574267460369595e-08
Position 229: 2.2409723649747937e-08
Position 526: 1.839914042072702e-08
Position 310: 1.2701827734925438e-08
Position 592: 8.136219099855961e-09
Position 562: 3.759693266410332e-09
Position 628: 2.8632200488666294e-09
Position 250: 2.2189682053304632e-09
Position 596: 1.8500035485239043e-10
Position 254: 1.3971799338435258e-10
Position 733: 6.172799590183646e-11
Position 154: 2.7737202488884218e-11
Position 769: 1.0421955923834338e-11
Position 211: 1.1771279689165368e-13
