Gene = Bsg
index = 54
Annotated 5SS: [ 5097  6317 19099 20084 22390 23581 23754 24019 24461]
Annotated 3SS: [ 5973 18879 19177 22271 23419 23645 23817 24327 27060]
SMsplice 5SS: [  422 22390 23581 23754 24019 24461]
SMsplice 3SS: [22271 23461 23645 23817 24327 31596]
top_k =  1000
Partition function (log Z): -5.876177382314689

Sorted 5' Splice Sites (High to Low Probability):
Position 24461: 0.9988883253920401
Position 23754: 0.9957250709412323
Position 23581: 0.9766498367364124
Position 24019: 0.9645414244611508
Position 22690: 0.6994038947521346
Position 422: 0.5813026567483521
Position 1598: 0.4863897970922228
Position 22390: 0.30059288957609975
Position 28175: 0.023109526503109896
Position 38: 0.020646045595498323
Position 29933: 0.019722858258075543
Position 30435: 0.013900520882497384
Position 24787: 0.01220382472400069
Position 24038: 0.011023965921458032
Position 440: 0.009917351670910683
Position 30467: 0.008568668339562007
Position 1097: 0.008350495655125148
Position 30066: 0.007510427429286775
Position 925: 0.007437070600440558
Position 29123: 0.006877173207609042
Position 29703: 0.006547752065153074
Position 24267: 0.006359413433850649
Position 24006: 0.006315183577987652
Position 29725: 0.006284647007485737
Position 32288: 0.006133651657728571
Position 30226: 0.005409051787850759
Position 876: 0.005191871229225224
Position 444: 0.005155796275728441
Position 217: 0.004820107312766132
Position 102: 0.004529677080459564
Position 24249: 0.00425896160364748
Position 23968: 0.004114022797043559
Position 29538: 0.0038758667066601388
Position 411: 0.0037203176949006937
Position 1457: 0.003562200597206292
Position 30453: 0.0031009421666653883
Position 26179: 0.0029556186068161686
Position 399: 0.00288220171789856
Position 29181: 0.0024729579071793837
Position 24171: 0.002385676568185499
Position 29367: 0.0020071070133410016
Position 24808: 0.001892594727428102
Position 28139: 0.0018452005647382197
Position 1039: 0.0018096133856282792
Position 28111: 0.00180214222333273
Position 458: 0.0017778471877194207
Position 899: 0.0016534304775256065
Position 872: 0.0016470136047542529
Position 407: 0.001572232051356085
Position 428: 0.0015121182765136625
Position 31243: 0.001494691635999201
Position 932: 0.0014742836322838803
Position 26797: 0.001473204239052492
Position 971: 0.001431429882120858
Position 1099: 0.0013762108679027105
Position 26319: 0.0013460589834780657
Position 43: 0.0013405779186650626
Position 426: 0.0012493723234854573
Position 403: 0.0012335491199504168
Position 30639: 0.0011602034303051794
Position 401: 0.0011555493381991276
Position 1103: 0.0010689462473030009
Position 29938: 0.001007288225482538
Position 1101: 0.0009636033788987922
Position 29998: 0.0008996317714648061
Position 23758: 0.0008847982470821915
Position 448: 0.0008736751416044522
Position 23720: 0.0008019003692389396
Position 28767: 0.0007556129160912155
Position 10: 0.0007507260967635188
Position 29130: 0.0007489306123739244
Position 478: 0.0007380921733994514
Position 639: 0.0006903024531988104
Position 168: 0.0006517568153450938
Position 267: 0.0005990713999654223
Position 1079: 0.0005831589915102699
Position 12: 0.0005354069692122185
Position 25: 0.0005182340204984356
Position 14: 0.0004572493506946649
Position 16: 0.0004242293009506603
Position 29730: 0.00038236493236463125
Position 1131: 0.0003779133804025922
Position 28409: 0.00033596380025734384
Position 28950: 0.0003305293256436179
Position 27942: 0.0002865304993320652
Position 29621: 0.00027408157935055074
Position 23823: 0.00026655458693701164
Position 452: 0.00026175889843612894
Position 913: 0.0002543720606153384
Position 805: 0.00024092391382910859
Position 911: 0.00023812565981825486
Position 1053: 0.0002160697000574763
Position 27759: 0.00020577211928603047
Position 868: 0.0001847500783763579
Position 25930: 0.0001813469064726259
Position 29543: 0.00017262705085853512
Position 1007: 0.00014559844200460163
Position 1057: 0.00012857508960627414
Position 461: 0.00011616455737903504
Position 28300: 0.00011357475863628585
Position 24012: 0.00011164488990009454
Position 166: 0.00011034546229758803
Position 432: 0.00010340495149148933
Position 24075: 8.18980818373354e-05
Position 27892: 7.92705439514788e-05
Position 28048: 7.377433365680644e-05
Position 1083: 6.749407076593161e-05
Position 847: 6.651103259150863e-05
Position 20: 6.45569904988095e-05
Position 825: 6.44452952927985e-05
Position 24136: 6.346771377939476e-05
Position 880: 5.571584736041231e-05
Position 1107: 5.385409204754705e-05
Position 210: 5.213480239875901e-05
Position 224: 5.032430196476652e-05
Position 33: 4.7493407963391694e-05
Position 28144: 4.691743766019038e-05
Position 6: 4.646590811784433e-05
Position 27031: 4.416151947165577e-05
Position 962: 4.184496697083429e-05
Position 1105: 3.9711293638678165e-05
Position 27233: 3.865119201653308e-05
Position 874: 3.861679191899629e-05
Position 190: 3.7368803502524626e-05
Position 24023: 3.450692056171169e-05
Position 25993: 3.374700350138167e-05
Position 430: 3.273554719718997e-05
Position 24175: 3.2511744247591894e-05
Position 637: 3.1264764342597276e-05
Position 24439: 3.123717043515299e-05
Position 24465: 3.10670188425604e-05
Position 481: 3.0870276571796336e-05
Position 181: 2.9542698029031287e-05
Position 28289: 2.6145787639516493e-05
Position 524: 2.3670480275221315e-05
Position 27933: 2.221919225227254e-05
Position 515: 2.1270638971947833e-05
Position 26800: 1.919830609816005e-05
Position 160: 1.729169169157793e-05
Position 23997: 1.5318298390728123e-05
Position 25227: 1.4731247478886568e-05
Position 392: 1.406108269395465e-05
Position 27274: 1.3739509859653908e-05
Position 25430: 1.3462277499322277e-05
Position 1085: 1.2568117307407773e-05
Position 26278: 1.2315486535363104e-05
Position 25212: 1.1577733781444074e-05
Position 27743: 1.0925754023362274e-05
Position 192: 1.0499344671567631e-05
Position 645: 1.0253980819313629e-05
Position 23907: 7.505295166067726e-06
Position 199: 6.7076264616219374e-06
Position 125: 6.206037767617711e-06
Position 27343: 5.485557360243964e-06
Position 27174: 4.65701832316564e-06
Position 23724: 4.422164491392178e-06
Position 581: 4.074689177762524e-06
Position 24467: 2.621883298630529e-06
Position 25021: 2.580820506697437e-06
Position 25267: 2.3464542588155104e-06
Position 52: 2.2532270841050883e-06
Position 27517: 7.385584543736457e-07
Position 18: 4.170607237090225e-07
Position 26740: 4.1394236606008065e-07
Position 26268: 2.1103790723595396e-07
Position 24822: 2.0376012702415508e-07
Position 24924: 1.9562991977982682e-07
Position 24639: 1.8763913791455682e-07
Position 25056: 1.3269833027626278e-07
Position 24917: 1.304450840555069e-07
Position 25036: 7.753381638168978e-08
Position 24651: 6.694274506134993e-08
Position 24755: 5.89754654449566e-08
Position 25834: 5.1669690494252254e-08
Position 24372: 3.520555286308893e-08
Position 25373: 1.4623090233319653e-08
Position 24674: 1.2595869806195843e-08
Position 27406: 1.1945244553648435e-08
Position 26501: 9.048810692719934e-09
Position 22985: 8.95262108461216e-09
Position 25053: 8.416485994912884e-09
Position 24564: 6.933647213899667e-09
Position 25453: 6.197593647824195e-09
Position 25787: 6.1289478173772256e-09
Position 25402: 4.550803292480494e-09
Position 26220: 4.317807764500802e-09
Position 26464: 4.165645426042822e-09
Position 26112: 3.4685445815816113e-09
Position 25473: 3.3769970134565205e-09
Position 24839: 3.032615933992497e-09
Position 26193: 2.8567699071956766e-09
Position 25601: 2.782526164647622e-09
Position 25050: 1.7428781875878806e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 22271: 1.0000000000000042
Position 24327: 0.9993289389824592
Position 23645: 0.995571934113054
Position 23817: 0.7848815973675686
Position 22748: 0.6994038947521346
Position 31596: 0.36207333028549876
Position 22778: 0.2811265217927632
Position 31913: 0.19463518423810552
Position 1216: 0.11537415202292138
Position 23865: 0.10775118735873652
Position 23844: 0.09987015952794305
Position 31903: 0.08785626518314514
Position 30189: 0.07059543740411137
Position 29384: 0.05303194349559129
Position 29812: 0.0519810630437091
Position 29452: 0.0347543959391496
Position 28011: 0.02618424442897374
Position 33108: 0.024073198838156912
Position 30066: 0.01966157237350546
Position 29028: 0.018117056674924963
Position 101: 0.016787705465099
