Gene = Kebab
index = 1244
Annotated 5SS: [148 518 725]
Annotated 3SS: [205 571 933]
SMsplice 5SS: [518 725]
SMsplice 3SS: [571 933]
top_k =  1000
Partition function (log Z): -6.039301422155495

Sorted 5' Splice Sites (High to Low Probability):
Position 725: 0.9532551907785292
Position 518: 0.8462253015914777
Position 2146: 0.44465877313893415
Position 148: 0.17714967657546898
Position 1820: 0.09433782167611719
Position 1854: 0.02910656949427751
Position 1293: 0.026110218475622976
Position 265: 0.02380535114542493
Position 1998: 0.01981134439507086
Position 523: 0.019048193311747074
Position 1278: 0.017751786529040806
Position 1584: 0.01210107172135801
Position 1273: 0.012063883469213055
Position 1598: 0.011421538913980891
Position 1298: 0.009283603705406023
Position 67: 0.006370957423368196
Position 2397: 0.00568806577324329
Position 1415: 0.005549371009701617
Position 512: 0.0027611166240407866
Position 269: 0.0023294146138719677
Position 152: 0.0014897601990467625
Position 2339: 0.001040630476102415
Position 729: 0.0009470547399036422
Position 1310: 0.0004830633348146429
Position 1618: 0.0004087514748899634
Position 441: 0.0004066791591405235
Position 65: 0.0003694303060559264
Position 753: 0.00034575579091251294
Position 461: 0.00030812056719261774
Position 2020: 0.00025540086026879595
Position 1183: 0.00018796067262999476
Position 1919: 0.0001639834766666138
Position 260: 0.0001547313895125881
Position 1006: 0.00015086464925886635
Position 647: 7.276857120538783e-05
Position 1068: 6.281959866365982e-05
Position 41: 6.083136803490929e-05
Position 215: 5.8728828191455896e-05
Position 543: 5.5666377161834715e-05
Position 1114: 5.335748932786761e-05
Position 120: 4.0635804814655024e-05
Position 44: 3.475898767829188e-05
Position 2452: 3.447805332041607e-05
Position 783: 3.068673478750327e-05
Position 727: 2.9703844121790712e-05
Position 2117: 2.968995318630403e-05
Position 123: 2.1687484190621e-05
Position 1527: 1.2102055529982448e-05
Position 1525: 7.886512709563052e-06
Position 683: 5.383743458579111e-06
Position 27: 5.36660048878725e-06
Position 232: 5.076314724772463e-06
Position 351: 3.738056558348114e-06
Position 1379: 2.8862054594969644e-06
Position 619: 1.908513375835747e-06
Position 164: 1.822837927918391e-06
Position 1094: 1.65058671497981e-06
Position 6: 1.6473304271995068e-06
Position 577: 1.2439360254968994e-06
Position 571: 1.0999273731334373e-06
Position 1402: 9.268904927402549e-07
Position 170: 3.596992500841157e-07
Position 30: 1.8017672347539196e-07
Position 829: 1.5987974937419998e-07
Position 796: 6.056521484196964e-08
Position 899: 4.723586721237477e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 933: 0.6781490303801321
Position 571: 0.4939835637462742
Position 2209: 0.45527625942122607
Position 574: 0.362460996768881
Position 205: 0.16679108202582058
Position 1353: 0.14327713613478585
Position 2050: 0.08526176321829765
Position 808: 0.04338484972733673
Position 783: 0.04132186033389042
Position 1932: 0.038445016046626576
Position 829: 0.03472111663028035
Position 1356: 0.03339719847750093
Position 1978: 0.03125361338317229
Position 1664: 0.017178923265642587
Position 875: 0.015258051235147055
Position 1926: 0.010441717250211284
Position 441: 0.009026242284124675
Position 2457: 0.008474621046479575
Position 327: 0.007705923928857544
Position 213: 0.00378489474137302
Position 311: 0.0034975121096556734
Position 140: 0.003392098012251567
Position 1880: 0.0032631609198917628
Position 1696: 0.0031108281178421344
Position 1637: 0.0029916728626782265
Position 1901: 0.002750347430880705
Position 899: 0.002143576905307825
Position 465: 0.0021431000654567305
Position 2117: 0.0017366729600884268
Position 964: 0.0017014333558592123
Position 473: 0.001643454239650513
Position 2239: 0.0015086930283114222
Position 1375: 0.001498955389797046
Position 239: 0.0014446335943994186
Position 1123: 0.0014085940536397727
Position 398: 0.0012052528517221474
Position 1981: 0.001193774870167448
Position 616: 0.0010738107165468276
Position 2510: 0.0009386400833059563
Position 2429: 0.0009111988706125881
Position 1446: 0.0008846986750233577
Position 1154: 0.0006933838856676015
Position 2014: 0.0006879815775677537
Position 2191: 0.0005283656385302137
Position 123: 0.0005194647890480692
Position 1639: 0.00047383292637485637
Position 1555: 0.00036475072151063054
Position 2548: 0.0002772116690213202
Position 1057: 0.00025670519818225276
Position 2303: 0.00023625877732993982
Position 1643: 0.00023551354384136327
Position 478: 0.00022919474555045197
Position 1372: 0.00021493512327251725
Position 646: 0.00015918979019394924
Position 626: 0.00015223722579039422
Position 1003: 0.00010217667330130275
Position 285: 0.00010162801463145007
Position 1086: 9.505893295800834e-05
Position 2268: 9.499621124436632e-05
Position 1310: 8.039534155022006e-05
Position 329: 8.016201594622868e-05
Position 1514: 7.943090389741082e-05
Position 543: 6.484479121409372e-05
Position 2470: 5.860950383610366e-05
Position 2127: 5.1378135100759954e-05
Position 259: 4.598901036141034e-05
Position 1552: 3.88807628720467e-05
Position 1102: 3.8684823561146895e-05
Position 2176: 3.3149178787777013e-05
Position 689: 2.788376158690482e-05
Position 523: 2.2809220775474482e-05
Position 1618: 1.791823944737488e-05
Position 2557: 1.6452667521487895e-05
Position 377: 9.929758330629898e-06
Position 1065: 8.46105585679426e-06
Position 1071: 8.306858551624371e-06
Position 691: 5.010824481393155e-06
Position 638: 4.95799156975306e-06
Position 1615: 4.771382233596978e-06
Position 510: 3.8585540899449495e-06
Position 482: 3.3081059129535808e-06
Position 164: 2.6161268503960413e-06
Position 1763: 2.2957897326402325e-06
Position 1717: 2.1781168206632903e-06
Position 1732: 2.0410778337167836e-06
Position 660: 2.004112841500009e-06
Position 268: 1.8562871741246352e-06
Position 1709: 1.0877057790647117e-06
Position 512: 7.432543516792284e-07
Position 313: 5.76165553762204e-07
Position 653: 3.2681770186141904e-07
Position 701: 3.197454815870624e-07
Position 265: 2.868329574932348e-07
Position 65: 1.4659519983758933e-07
Position 722: 1.2037447697981534e-07
Position 711: 1.161578218741497e-07
Position 120: 1.4657438040798628e-08
Position 251: 7.421484790178268e-09
Position 407: 6.016167689854231e-09
Position 80: 4.314597464304784e-09
Position 495: 2.564130703133758e-09
Position 253: 2.7194219322301472e-15
