Gene = Zcchc7
index = 1605
Annotated 5SS: [ 124  504 3929 4191 4387]
Annotated 3SS: [ 181 1774 3990 4248 4448]
SMsplice 5SS: [ 124  504 4191 4387 4630]
SMsplice 3SS: [ 181 3990 4248 4448 4685]
top_k =  1000
Partition function (log Z): 7.627827138282559

Sorted 5' Splice Sites (High to Low Probability):
Position 4387: 0.9975106689125035
Position 124: 0.9877673680086727
Position 504: 0.9750516139756535
Position 4191: 0.9044271766000093
Position 4630: 0.6151100383187476
Position 2975: 0.38951969125095254
Position 5344: 0.3670113954575795
Position 3929: 0.2660947155359067
Position 5568: 0.1530677695798659
Position 4195: 0.0916936693769109
Position 3260: 0.08253388305440222
Position 1591: 0.0456920868633807
Position 3085: 0.03483710908312333
Position 3460: 0.021456564899851115
Position 3910: 0.019439798337118216
Position 1154: 0.019271796170346887
Position 4842: 0.017650957361818827
Position 3682: 0.01682152423263787
Position 594: 0.016417189888873425
Position 2738: 0.014429621168293208
Position 4863: 0.01425363903546128
Position 3242: 0.014239483865422956
Position 952: 0.013254055434016145
Position 6863: 0.006955782848294313
Position 1418: 0.0063608510142702124
Position 4760: 0.004793925888888222
Position 6439: 0.004379245003392192
Position 633: 0.004247397450159612
Position 5019: 0.004186596189436156
Position 528: 0.004134473061140687
Position 3454: 0.00373496649889548
Position 2767: 0.0032787683675879185
Position 3947: 0.003264046667967181
Position 965: 0.003263035958265699
Position 5007: 0.0031511935071237124
Position 3257: 0.0031432269142717046
Position 3619: 0.003089356297418196
Position 4552: 0.0030246124934410635
Position 1171: 0.0028453721521888324
Position 3239: 0.002763290648641641
Position 539: 0.0026486693227212505
Position 2113: 0.0024065752959841437
Position 1090: 0.002184419728772962
Position 5185: 0.0019651939235018627
Position 2606: 0.0016815119259283374
Position 2071: 0.0015057303306404114
Position 1611: 0.0014999320989074966
Position 2587: 0.0012419777327612035
Position 5134: 0.0011567216849600879
Position 2473: 0.0007231915593865009
Position 957: 0.0006973663884998198
Position 3180: 0.0006504155615422622
Position 1652: 0.0006368178834410711
Position 1283: 0.0006287403901880717
Position 1120: 0.000605688205752171
Position 4699: 0.0005804683199378608
Position 1603: 0.0005785270107687416
Position 5390: 0.0005359621326539175
Position 1647: 0.00048696035717794443
Position 4966: 0.0004351407024786674
Position 2479: 0.00043049942314458126
Position 2470: 0.000427149332280931
Position 2074: 0.00038353756415510077
Position 3668: 0.00038343881616329244
Position 1465: 0.00035697957152951506
Position 4618: 0.0003379286771389329
Position 4589: 0.00032338771179086704
Position 4727: 0.0003171200128016872
Position 4479: 0.00029139988340131376
Position 5278: 0.00027327857536921994
Position 1222: 0.0002670713658283916
Position 1535: 0.0002614378052981074
Position 1670: 0.0002554639432071846
Position 1832: 0.00023862173868914718
Position 1860: 0.00022211249167175147
Position 2328: 0.00021973629259214178
Position 119: 0.00021196964150438998
Position 1563: 0.00019896388158801903
Position 2824: 0.00018212015846469278
Position 2424: 0.00018071928591002995
Position 3329: 0.000161247919724416
Position 5722: 0.00015545219628994753
Position 648: 0.00015504151558579806
Position 1569: 0.0001468270476696499
Position 2009: 0.00013973948313126337
Position 1310: 0.00011193927117741478
Position 3775: 0.00011169013395167732
Position 4370: 0.00011023172019440218
Position 455: 0.00010776353608834126
Position 4125: 9.685010517160084e-05
Position 1173: 9.191979833353586e-05
Position 1218: 9.180145434028837e-05
