Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
top_k =  1000
Partition function (log Z): -0.8088834813650723

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9834105992233085
Position 112: 0.793166108482917
Position 188: 0.004966059258779906
Position 131: 0.0036156760391914703
Position 450: 0.00227182099685597
Position 788: 0.0017621478587142186
Position 248: 0.0015633248242791229
Position 198: 0.0012293195680685726
Position 524: 0.0008650000840375666
Position 357: 0.0004861198371231532
Position 443: 0.00023086369329154658
Position 536: 0.00019376766600994353
Position 45: 0.00017486557057900723
Position 517: 0.000169957772536776
Position 78: 9.407164862360188e-05
Position 373: 6.089357231929766e-05
Position 434: 5.547316940754105e-05
Position 48: 5.420155637917074e-05
Position 751: 5.010797516747011e-05
Position 300: 4.145146705890313e-05
Position 805: 3.5901577580901916e-05
Position 210: 1.9385880972651076e-05
Position 470: 1.685072738213801e-05
Position 116: 1.1782662098877476e-05
Position 216: 1.1181101241289527e-05
Position 724: 3.852596877879458e-06
Position 32: 3.7344034561120553e-06
Position 394: 9.249269014722807e-07
Position 647: 7.662355582884311e-07
Position 488: 7.194608873546777e-07
Position 324: 5.213653008169651e-07
Position 322: 4.414395736757002e-07
Position 240: 1.647712732095337e-07
Position 728: 1.1170570297468654e-07
Position 265: 9.659771286868532e-08
Position 293: 6.688758600770669e-08
Position 636: 6.573948573345514e-08
Position 221: 5.09925681809984e-08
Position 632: 1.802676004245013e-08
Position 267: 9.22416842804667e-09
Position 642: 2.6061546083202148e-09
Position 662: 1.9538957775566535e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.9983464200139623
Position 247: 0.4751651401597157
Position 240: 0.3081210921275409
Position 293: 0.004090320286077964
Position 309: 0.0035288111081614114
Position 188: 0.001886271229975239
Position 878: 0.0009696272061370214
Position 607: 0.0004781842193410327
Position 532: 0.0004717487832928793
Position 862: 0.00046285146461364694
Position 866: 0.00035815305389112485
Position 628: 0.00016461028945717772
Position 473: 0.00012467424488589609
Position 339: 8.809801529665443e-05
Position 484: 8.344847404288282e-05
Position 160: 4.589447494190746e-05
Position 162: 4.514288535595491e-05
Position 330: 3.78885333115825e-05
Position 822: 3.533872058086992e-05
Position 839: 1.9971414621084664e-05
Position 464: 1.2750685286245588e-05
Position 805: 1.1133675353449025e-05
Position 504: 3.762846870911062e-06
Position 667: 3.271423286214034e-06
Position 99: 2.3959267038914405e-06
Position 712: 1.968445321596366e-06
Position 647: 1.689672385601169e-06
Position 498: 1.675707397723506e-06
Position 673: 1.5140038740466509e-06
Position 108: 1.304805369333509e-06
Position 652: 7.858949996021237e-07
Position 78: 5.364179137186824e-07
Position 347: 5.07281630845415e-07
Position 381: 2.7324134119824756e-07
Position 679: 2.1267586829289713e-07
Position 122: 2.1014398296869255e-07
Position 751: 1.9572915827474348e-07
Position 443: 1.7304791405367273e-07
Position 116: 6.81985723779388e-08
Position 843: 5.823882103321421e-08
Position 131: 3.7675174437333415e-08
Position 378: 3.571918595107799e-08
Position 748: 3.421423421138218e-08
Position 787: 3.415058553009087e-08
Position 793: 3.334155240990559e-08
Position 136: 2.934163938567241e-08
Position 357: 2.769514094475864e-08
Position 767: 1.8024644084063325e-08
Position 772: 1.5426052226237324e-08
Position 148: 1.1093445386861313e-08
Position 403: 7.87192695620651e-09
Position 724: 5.7828712842490575e-09
Position 407: 5.688888625712102e-09
Position 366: 4.38540966451402e-09
Position 721: 2.581104012041388e-09
Position 734: 2.005104611118627e-09
Position 894: 1.1104160284441375e-09
Position 841: 1.4028029748124426e-10
Position 836: 1.3287719520490732e-10
