Gene = Naa60
index = 1309
Annotated 5SS: [ 675 1013 1255 1539 1720]
Annotated 3SS: [ 891 1089 1317 1608 1817]
SMsplice 5SS: [ 675 1013 1255 1539]
SMsplice 3SS: [ 891 1089 1317 1608]
top_k =  1000
Partition function (log Z): -3.67886756445033

Sorted 5' Splice Sites (High to Low Probability):
Position 1013: 0.8919051615073899
Position 1539: 0.8839525293415961
Position 675: 0.4684794397603252
Position 1255: 0.4550515585595323
Position 191: 0.36308768253223306
Position 375: 0.12250299114510305
Position 4: 0.07469408130738131
Position 1755: 0.06262562561926958
Position 798: 0.05313762836432611
Position 188: 0.02017077630416452
Position 1679: 0.012356290407300198
Position 1140: 0.009728592810897546
Position 1471: 0.008451774184193706
Position 2034: 0.004917519090533322
Position 1897: 0.0030283463402411386
Position 985: 0.002566035017301784
Position 381: 0.0016857078761015189
Position 1947: 0.0016665379994955335
Position 2283: 0.0012187180340015465
Position 1905: 0.0011681645718366743
Position 820: 0.0011204849055212551
Position 2109: 0.0010752296321842564
Position 685: 0.0010030255981193787
Position 1900: 0.0009713153140931904
Position 305: 0.0007125469614305013
Position 1086: 0.0006952185176107862
Position 2550: 0.0005724622442534949
Position 1017: 0.0005496904367634245
Position 1186: 0.0005214859038297158
Position 2286: 0.0005046200938933518
Position 679: 0.0004885627125369467
Position 1090: 0.00047659435093648554
Position 1026: 0.0004439578413647066
Position 500: 0.00041072859391160443
Position 23: 0.00040235186205994406
Position 1243: 0.00037546822056692936
Position 1908: 0.00035443588740916536
Position 2644: 0.0003420326941238292
Position 1208: 0.00029690943125940014
Position 2305: 0.0002799093374904958
Position 2294: 0.0002641612339455221
Position 2651: 0.00018698161596129547
Position 1581: 0.00014864248787523857
Position 927: 0.00012668341234988223
Position 308: 0.00012447953522382905
Position 1558: 0.00012128623931957217
Position 2441: 0.00011093948389548529
Position 28: 9.113361501728758e-05
Position 2348: 8.562592828738223e-05
Position 1360: 8.395750219345419e-05
Position 2657: 6.312245125225739e-05
Position 1555: 5.8452802714235375e-05
Position 2218: 5.3500923677678655e-05
Position 1080: 5.2862505231460824e-05
Position 8: 4.5554952281687056e-05
Position 2303: 4.452700005727311e-05
Position 2038: 4.290402267930179e-05
Position 1569: 4.173922396149491e-05
Position 524: 3.7880733042151695e-05
Position 992: 3.194154449809406e-05
Position 527: 3.0098674734723415e-05
Position 518: 2.830849730278205e-05
Position 950: 2.593946917697193e-05
Position 594: 2.3383475772489937e-05
Position 474: 2.0645346213805905e-05
Position 1271: 1.788991034386686e-05
Position 346: 1.5710794262029008e-05
Position 1082: 1.433980046383729e-05
Position 906: 1.3607801087254036e-05
Position 702: 1.2958097542777666e-05
Position 1216: 1.116376222351537e-05
Position 247: 1.0867798580852704e-05
Position 974: 1.0707260437782564e-05
Position 1071: 1.0583584738871232e-05
Position 772: 1.023148483152675e-05
Position 709: 6.986413544644566e-06
Position 253: 4.204466079660184e-06
Position 1561: 1.399317112101536e-06
Position 1364: 1.0686133708133408e-06
Position 918: 5.998260560176094e-07
Position 1425: 5.26365294281389e-07
Position 119: 5.1283124188895e-07
Position 1391: 2.6501497570141883e-07
Position 1846: 2.2336284442928085e-07
Position 1592: 1.1294937170356837e-07
Position 47: 1.0905342827564209e-07
Position 1583: 7.660149086169185e-08
Position 2160: 2.3507237552676874e-08
Position 588: 7.658169600069334e-09
Position 582: 2.9880410257960487e-09
Position 755: 1.7550605382623006e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1317: 0.8646525002534835
Position 1608: 0.798883504209534
Position 891: 0.6300265025597878
Position 1089: 0.42553676911851374
Position 1819: 0.2520216599080298
Position 505: 0.12051956028758917
Position 565: 0.09237012633535517
Position 276: 0.062454710528849836
Position 247: 0.05245356620067533
Position 84: 0.047345990162787774
Position 1098: 0.020001294655585398
Position 709: 0.018238234583650408
Position 906: 0.007095552624661217
Position 2164: 0.006454946376199252
Position 1323: 0.006369686874268832
Position 468: 0.005198073297429847
Position 1183: 0.005087286010059417
Position 391: 0.0043087247144584714
Position 2004: 0.003934728564816164
Position 462: 0.0039053946571574855
Position 253: 0.003789613264045028
Position 921: 0.002684675133816862
Position 918: 0.002528252938495464
Position 126: 0.0021947816788220865
Position 2179: 0.0020806476118325214
Position 1295: 0.0016774142520800518
Position 2682: 0.0015821580494794327
Position 1284: 0.0015090168330198573
Position 2433: 0.0012739659820580392
Position 2355: 0.0012626108802739728
Position 1043: 0.0011623301161287733
Position 1160: 0.0009909414952070602
Position 979: 0.0009720092003932966
Position 2701: 0.0008537578482085808
Position 2203: 0.0005457230016648772
Position 238: 0.00044786218188961084
Position 570: 0.00037876896548890256
Position 1751: 0.00030881579058906507
Position 2136: 0.0002746059937260356
Position 1251: 0.0002552543759633917
Position 1146: 0.00022736315364798663
Position 94: 0.000203621493594283
Position 2557: 0.00018990611837443628
Position 1277: 0.00018986479942621903
Position 368: 0.00013360817326322355
Position 573: 0.00012021125054474128
Position 295: 0.00011801086134771099
Position 1581: 0.00011755986472169275
Position 465: 0.00010753951499788517
Position 218: 9.073535834757432e-05
Position 1108: 8.921996310746108e-05
Position 2456: 7.876865377458449e-05
Position 984: 7.006755906189182e-05
Position 576: 6.374746858944143e-05
Position 1965: 5.963505045111111e-05
Position 483: 5.244671310890343e-05
Position 2716: 5.2327593454589665e-05
Position 299: 4.958566162658816e-05
Position 809: 4.255232405589891e-05
Position 136: 3.6413917818932514e-05
Position 1830: 3.61853780258315e-05
