Gene = barc
index = 1621
Annotated 5SS: [  280  8417  8681 11774 12029 12217]
Annotated 3SS: [ 7588  8477 11606 11841 12079 12276]
SMsplice 5SS: [  280  8681 11774 12029 12217]
SMsplice 3SS: [ 8503 11606 11841 12079 12276]
top_k =  1000
Partition function (log Z): 7.781643298412836

Sorted 5' Splice Sites (High to Low Probability):
Position 12217: 0.9962071701333605
Position 11774: 0.9926171668459521
Position 8681: 0.988764210950439
Position 12029: 0.7164742757424655
Position 280: 0.6761705941041644
Position 8417: 0.22566722380261128
Position 295: 0.20591932435548957
Position 12005: 0.15409128037534608
Position 524: 0.12160323962690572
Position 9521: 0.06979567076125619
Position 12014: 0.06204951087336908
Position 12009: 0.04260706426848423
Position 4774: 0.036292681121369665
Position 704: 0.032406028092495355
Position 4902: 0.032182892085606
Position 326: 0.02922004059384847
Position 5066: 0.023317555186855667
Position 11563: 0.022401781119229712
Position 9820: 0.0218245199233429
Position 11325: 0.020175102084670934
Position 11586: 0.019898719248010382
Position 2867: 0.017446356497147597
Position 9094: 0.015794587229689714
Position 9783: 0.015530008073378407
Position 11390: 0.014822872457260687
Position 6526: 0.0133956722320889
Position 10810: 0.01319567989774753
Position 4352: 0.011339144190274536
Position 3814: 0.011122165639763652
Position 9525: 0.010177425766692977
Position 9503: 0.00984744787705495
Position 25: 0.009515071570848549
Position 11428: 0.009207388505923682
Position 2418: 0.008813189319931037
Position 9830: 0.008185790859973924
Position 11778: 0.007028538816152854
Position 11321: 0.006939672789792077
Position 1776: 0.0033449306065939277
Position 6648: 0.003145451427456367
Position 1403: 0.0030019076823847054
Position 2473: 0.00272225018298507
Position 56: 0.002654558724800789
Position 12017: 0.0018041615442508264
Position 43: 0.0016594270200427346
Position 4389: 0.001401204481879397
Position 11979: 0.0012917561875360212
Position 4490: 0.00064467152516991
Position 8938: 0.00048784708057596763
Position 687: 0.0004102779977434601
Position 93: 0.00036973612412568197
Position 199: 0.00033877897719567174
Position 1380: 0.00032891842864293374
Position 4498: 0.00026934008907018804
Position 8: 0.00024883905436642883
Position 9055: 0.00023557691657912682
Position 1407: 0.0002223058588004636
Position 9727: 0.0002090956285896197
Position 4335: 0.00020497816103878626
Position 2079: 0.0002047320098271979
Position 3496: 0.000199558565997468
Position 225: 0.00019268211937403906
Position 69: 0.00019227875511579988
Position 9375: 0.0001831623350465652
Position 514: 0.00014931254998461457
Position 5655: 0.00014389724184354376
Position 8919: 0.00014354988029357984
Position 11986: 0.0001417506689175719
Position 4314: 0.00014061860590383894
Position 9787: 0.0001317169658660217
Position 2601: 0.00010875531071089309
Position 9834: 0.00010833464424188136
Position 2813: 9.924518896031826e-05
Position 12525: 9.545266866171155e-05
Position 779: 9.325441607255236e-05
Position 3946: 8.246889025094441e-05
Position 9560: 7.829635601828814e-05
Position 4378: 7.42218913585106e-05
Position 6513: 7.16159996715792e-05
Position 3962: 6.705059097013392e-05
Position 2119: 5.551985404939538e-05
Position 30: 5.492515934347372e-05
Position 580: 4.8092649433165556e-05
Position 11945: 4.7360208153279675e-05
Position 4328: 4.5864207264169796e-05
Position 6653: 4.4576401696156984e-05
Position 1486: 4.1293932790731706e-05
Position 12528: 4.073241127383819e-05
Position 6098: 4.02299424938527e-05
Position 5501: 3.7026837468412666e-05
Position 1676: 3.2416133454098876e-05
Position 5523: 2.8530750300655803e-05
Position 12221: 2.7608566501567093e-05
Position 12183: 2.2693453547711108e-05
Position 1390: 2.243893280327436e-05
Position 12511: 2.1371182845314934e-05
Position 4910: 2.050922296345378e-05
Position 8910: 2.025845647561538e-05
Position 1682: 2.0032613081310993e-05
Position 974: 1.8238475121466313e-05
Position 11881: 1.631448025596194e-05
Position 11962: 1.6170282669938847e-05
Position 12516: 1.6127471671478913e-05
Position 299: 1.537998592144719e-05
Position 6644: 1.5360031981744163e-05
Position 132: 1.5254988974548905e-05
Position 6746: 1.4870816372036251e-05
Position 2531: 1.4184412232627155e-05
Position 5373: 1.2074717154040027e-05
Position 2231: 1.0954028782089312e-05
Position 5694: 1.0531653932970043e-05
Position 185: 1.0073068056671396e-05
Position 12621: 9.836590877686888e-06
Position 9045: 9.05932393942624e-06
Position 4769: 8.908113227768455e-06
Position 12665: 8.853034768627228e-06
Position 2296: 8.455016443732926e-06
Position 12464: 8.257595628100357e-06
Position 1559: 7.572101202888271e-06
Position 5302: 7.347392359335778e-06
Position 240: 7.0842059619428915e-06
Position 12537: 6.978104796517146e-06
Position 1697: 5.493014328592607e-06
Position 602: 5.4054012247985184e-06
Position 12639: 5.3862590582569745e-06
Position 237: 4.86073312535027e-06
Position 12042: 4.49902829595923e-06
Position 577: 4.464024261701927e-06
Position 1351: 4.437230001953775e-06
Position 12237: 3.630655085542541e-06
Position 1701: 3.628700057499101e-06
Position 5478: 2.645129643470394e-06
Position 6343: 2.3038991705761855e-06
Position 1287: 2.0804130199031285e-06
Position 229: 1.736369747214246e-06
Position 126: 1.6979583482706727e-06
Position 527: 1.6783494058805895e-06
Position 216: 1.3787026783583619e-06
Position 12453: 1.3691462498183553e-06
Position 12651: 1.0526200289483511e-06
Position 12250: 9.454469634658461e-07
Position 263: 8.926343766255593e-07
Position 1688: 8.881613575102928e-07
Position 771: 5.734641530938295e-07
Position 12159: 5.025773337269953e-07
Position 641: 4.7534494255356266e-07
Position 12433: 4.639380759526e-07
Position 138: 4.544151447976661e-07
Position 1376: 3.1335656908464807e-07
Position 11900: 2.806277954814265e-07
Position 1075: 2.7320791527628357e-07
Position 1153: 2.684730347364382e-07
Position 450: 2.189448527732353e-07
Position 231: 2.1070241492966786e-07
Position 12093: 1.9654555211571808e-07
Position 12672: 1.5046911880382725e-07
Position 12683: 1.4094278733390562e-07
Position 151: 1.3276167559267406e-07
Position 606: 1.2319599465221258e-07
Position 1082: 1.1360530200805792e-07
Position 998: 1.0511263838767314e-07
Position 708: 7.765656363861409e-08
Position 701: 7.375560519576758e-08
Position 466: 5.078924427794353e-08
Position 648: 4.7143900317536125e-08
Position 599: 4.473819984739082e-08
Position 352: 1.9067919068936196e-08
Position 586: 1.893652046523579e-08
Position 1334: 6.246986065547089e-09
Position 1367: 5.005904078827954e-09
Position 619: 4.270221849597959e-09
Position 1374: 4.031307762843646e-09
Position 1495: 3.5457935445551547e-09
Position 632: 2.5924725895242905e-09
Position 1721: 2.206528821103547e-09
Position 370: 1.0549209456872629e-09
Position 670: 4.177992749334831e-10
Position 754: 3.8358906343609587e-10
Position 638: 2.51547589242214e-10
Position 635: 8.999265513456906e-11
Position 12386: 1.4132876517029775e-11
Position 1105: 9.095847240496011e-12
Position 12270: 6.371047595755603e-12
Position 12489: 1.1627813247134304e-12
Position 12137: 4.608425773854976e-13
Position 12293: 1.0390375723990986e-13
Position 544: 2.157790658597484e-16

