Gene = SsRbeta
index = 1524
Annotated 5SS: [ 96 667]
Annotated 3SS: [290 888]
SMsplice 5SS: [ 96 667]
SMsplice 3SS: [290 888]
top_k =  1000
Partition function (log Z): -1.1511010955490097

Sorted 5' Splice Sites (High to Low Probability):
Position 667: 0.9873844491677358
Position 96: 0.8519824052104893
Position 430: 0.007456718599685745
Position 475: 0.006204238800791116
Position 1102: 0.0015640342683770807
Position 237: 0.0013337001781624912
Position 125: 0.0012185694007431308
Position 58: 0.0010055354060417015
Position 1154: 0.0007315585356317264
Position 589: 0.00045579570544466096
Position 426: 0.0003578113897683367
Position 100: 0.00034314603891709227
Position 249: 0.0003162044250126228
Position 802: 0.00025325881333681204
Position 484: 0.0002345020103952745
Position 256: 0.00020386991656337557
Position 402: 0.00017798188704348425
Position 55: 0.00015057617751740502
Position 684: 0.00014352082023456731
Position 281: 9.410640941050877e-05
Position 216: 9.086108473243916e-05
Position 287: 6.27692830646765e-05
Position 103: 5.436720592257743e-05
Position 917: 5.383580640059041e-05
Position 331: 4.708588442977557e-05
Position 207: 4.497763797195488e-05
Position 705: 4.215815751945089e-05
Position 1172: 4.0071095125841553e-05
Position 451: 3.787837557360291e-05
Position 409: 3.185220055564329e-05
Position 820: 3.0191073723665088e-05
Position 671: 2.909074358684435e-05
Position 634: 1.354042109919995e-05
Position 166: 1.2671239078453858e-05
Position 1163: 1.226495450387919e-05
Position 657: 1.1843062552358404e-05
Position 324: 9.80841243706535e-06
Position 461: 7.74183344100905e-06
Position 586: 6.248063270245643e-06
Position 737: 5.344325787441974e-06
Position 544: 5.295691913401323e-06
Position 196: 4.970164574535906e-06
Position 333: 3.6735572519448906e-06
Position 142: 3.273944928915419e-06
Position 735: 3.2643923643615627e-06
Position 982: 3.0919058786617207e-06
Position 994: 2.907175575595738e-06
Position 945: 2.7897264418617068e-06
Position 901: 2.730076777188798e-06
Position 636: 2.2116860820881927e-06
Position 517: 2.186751859510787e-06
Position 923: 2.1860965835733093e-06
Position 703: 1.9577456087268184e-06
Position 541: 1.6060020069440661e-06
Position 315: 1.3600886108005805e-06
Position 123: 1.1006592659440771e-06
Position 9: 9.14301221119897e-07
Position 379: 8.220624204497121e-07
Position 172: 7.745143402409714e-07
Position 294: 6.907520532757247e-07
Position 371: 6.231770800139523e-07
Position 837: 4.3049169141647957e-07
Position 348: 4.170280856100199e-07
Position 129: 3.5190562031412013e-07
Position 649: 2.3627583166815458e-07
Position 520: 2.3539275183772127e-07
Position 931: 1.9093655916504111e-07
Position 1041: 1.70809281829314e-07
Position 1032: 1.3200115682696547e-07
Position 1192: 9.98578133661199e-08
Position 144: 8.019456737035407e-08
Position 1258: 7.271681594160525e-08
Position 844: 4.550623489419124e-08
Position 1266: 3.772332953553733e-08
Position 1195: 1.2523461022248456e-08
Position 365: 6.361877482339873e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 888: 0.9883343147245366
Position 290: 0.41392064619477015
Position 156: 0.2160567532533696
Position 177: 0.17856576492573867
Position 338: 0.020192768812584378
Position 390: 0.01425193673331869
Position 487: 0.006647987552432807
Position 820: 0.004855320572057976
Position 564: 0.0042341096558500034
Position 735: 0.002688955168169283
Position 1172: 0.002086324982947658
Position 507: 0.0018479598692395915
Position 458: 0.0013221722661280663
Position 851: 0.0013091668826720076
Position 1231: 0.0013059145496012927
Position 551: 0.0009202800131158456
Position 531: 0.0008905802207471438
Position 387: 0.0008096264123285712
Position 862: 0.00032597132651220116
Position 300: 0.00032333694343488574
Position 743: 0.0003186035050665494
Position 193: 0.00018438201297765776
Position 355: 0.00015899866454398534
Position 474: 0.0001516620368315491
Position 802: 0.00014847056048447363
Position 402: 0.00014223049868091587
Position 526: 9.678034428942387e-05
Position 249: 5.9676790222122265e-05
Position 417: 4.355351431628092e-05
Position 645: 2.682335300728972e-05
Position 1041: 2.4818829261570987e-05
Position 1272: 2.178783844774299e-05
Position 746: 1.3480583159942729e-05
Position 921: 6.0814161351888855e-06
Position 905: 5.3436402978251845e-06
Position 600: 3.716661914096576e-06
Position 633: 3.1021276254386306e-06
Position 1071: 2.4913336701176445e-06
Position 954: 1.16088273179468e-06
Position 945: 7.778582351387666e-07
Position 1335: 7.318817766055136e-07
Position 758: 4.998111930392007e-07
Position 593: 3.9954761167284424e-07
Position 1137: 3.516922857815336e-07
Position 1315: 3.3918588446914996e-07
Position 360: 2.682795611849381e-07
Position 1251: 2.0102837367487008e-07
Position 1330: 1.7775907076377944e-07
Position 657: 1.3159086371919387e-07
Position 1077: 1.2837182307341759e-07
Position 663: 1.2585071431369786e-07
Position 1047: 6.018172082285074e-08
Position 1121: 5.335361340860335e-08
Position 912: 5.147044098975184e-08
Position 1284: 4.7523969958496987e-08
Position 1080: 3.947264591361842e-08
Position 103: 3.53120341533942e-08
Position 1093: 2.8503740011971022e-08
Position 703: 2.3485320674711407e-08
Position 77: 4.304586655225925e-11
Position 100: 3.613080627226059e-11
Position 55: 2.2397121454897286e-11
Position 414: 4.95696454655807e-12
Position 96: 1.1084173916932535e-12
