Gene = simj
index = 1873
Annotated 5SS: [  632 21156 21523 22424 22601 22865 23859 24105]
Annotated 3SS: [20270 21224 22336 22498 22665 22925 23939 24186]
SMsplice 5SS: [  632 21156 21523 22424 22601 22865 23859 24131]
SMsplice 3SS: [20270 21224 22312 22498 22665 22925 23939 24186]
top_k =  1000
Partition function (log Z): 26.465668470953794

Sorted 5' Splice Sites (High to Low Probability):
Position 632: 0.9996045192616337
Position 23859: 0.999104273771323
Position 22601: 0.9988698565924811
Position 22865: 0.998797951360122
Position 22424: 0.9965972059699576
Position 21156: 0.993016632188908
Position 21523: 0.9630634165705484
Position 24131: 0.5094350722451516
Position 24042: 0.3649631848289885
Position 16744: 0.3404432672515696
Position 22162: 0.15697391554225504
Position 24474: 0.1560298587301416
Position 450: 0.1324228920363849
Position 25633: 0.12708510752301003
Position 242: 0.11235304672946708
Position 442: 0.08021497009726368
Position 2803: 0.07504079315747857
Position 24101: 0.05544642794873139
Position 24414: 0.05477842524850291
Position 25237: 0.04185730487384817
Position 14452: 0.041323496668862376
Position 24388: 0.032459768871141784
Position 24105: 0.018385432915167713
Position 14342: 0.016959244539969952
Position 22137: 0.015384246751271822
Position 483: 0.014781574962378499
Position 24791: 0.013280921942423697
Position 24646: 0.011270455736572904
Position 24331: 0.01114615856725305
Position 24109: 0.010442165073921776
Position 496: 0.009778407712082066
Position 246: 0.009102844527373536
Position 21550: 0.008883279763273053
Position 457: 0.007673919721607424
Position 290: 0.007264140256956916
Position 234: 0.007178828379119139
Position 5231: 0.00712154702739008
Position 21789: 0.006496488276898838
Position 25006: 0.006265699164962202
Position 21145: 0.006222776286352865
Position 14284: 0.005990982881027445
Position 2368: 0.0059102958063562945
Position 21533: 0.0058527693388210796
Position 236: 0.0053693846872384645
Position 3747: 0.004891305229182772
Position 238: 0.004881682414982185
Position 9726: 0.004729818690703917
Position 15486: 0.004524724343343171
Position 17855: 0.0040608526035080875
Position 24750: 0.0038211885771850134
Position 264: 0.003335776715861344
Position 24439: 0.003194739681235939
Position 22247: 0.0029175763945012813
Position 21538: 0.0028464070033059436
Position 25445: 0.0027827752046315863
Position 70: 0.002653060656091452
Position 8478: 0.002379816623188846
