Gene = Ilp3
index = 1226
Annotated 5SS: [246]
Annotated 3SS: [317]
SMsplice 5SS: [246]
SMsplice 3SS: [317]
top_k =  1000
Partition function (log Z): -3.9623323966920307

Sorted 5' Splice Sites (High to Low Probability):
Position 246: 0.8497499803170384
Position 250: 0.14805185748423494
Position 502: 0.006805933063290238
Position 211: 0.0013614985945725685
Position 511: 0.001260747731428748
Position 207: 0.0007607939105189581
Position 470: 0.0006682137478421999
Position 588: 0.0005858006747064447
Position 660: 0.00033246523331841775
Position 597: 8.956564122957767e-05
Position 600: 3.158105952184547e-05
Position 483: 2.5409885995858623e-05
Position 88: 2.2761608601836426e-05
Position 605: 2.2274971151804445e-05
Position 166: 2.1123273489174606e-05
Position 282: 1.5032521022194487e-05
Position 169: 4.780929833326276e-06
Position 451: 3.5744792351757424e-06
Position 376: 3.28778628733432e-06
Position 209: 2.536684067506723e-06
Position 392: 2.3075837401214925e-06
Position 428: 1.995055053237781e-06
Position 671: 1.7162603004812695e-06
Position 387: 1.3602875908402935e-06
Position 381: 1.1731154314021035e-06
Position 90: 1.0747881512326316e-06
Position 147: 1.0094864553777605e-06
Position 439: 7.514068849581245e-07
Position 454: 5.745539530190873e-07
Position 608: 3.7071516544590833e-07
Position 414: 1.0125216498174008e-07
Position 149: 6.840021665186171e-08
Position 441: 3.904914599184448e-08
Position 357: 2.2338318868675364e-08
Position 323: 1.568866566776508e-08
Position 314: 2.7159349139301757e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 317: 0.8588684658425052
Position 337: 0.13910789922915345
Position 563: 0.004409549768645201
Position 597: 0.0031785982993408086
Position 700: 0.0011782862937083827
Position 706: 0.0009521482679151432
Position 664: 0.0005403480566980643
Position 397: 0.0005138223526073364
Position 353: 0.0004639772577727251
Position 372: 0.00033697521834469545
Position 387: 6.137264558605447e-05
Position 271: 4.6898950119686205e-05
Position 748: 4.386560599359912e-05
Position 605: 3.9369172791521524e-05
Position 617: 3.125047740561545e-05
Position 154: 1.9737417336055353e-05
Position 406: 1.5413918972884192e-05
Position 580: 5.358617737691213e-06
Position 702: 4.539126851917855e-06
Position 451: 4.3893721344238915e-06
Position 772: 3.991591779142181e-06
Position 282: 3.0347238058143334e-06
Position 493: 1.064757183801113e-06
Position 381: 5.911744822351327e-07
Position 202: 5.566963785697743e-07
Position 498: 7.569957384820135e-08
Position 469: 6.473722686553897e-08
Position 249: 5.7852219623758955e-08
Position 166: 5.432720906977857e-08
Position 428: 1.6788760386940395e-08
Position 235: 1.5987166614004713e-08
Position 666: 5.595393044863884e-09
Position 439: 3.18352093986385e-09
Position 477: 1.819018164579133e-09
Position 237: 1.4692214475027577e-09
