Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
top_k =  1000
Partition function (log Z): -4.678193722112854

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.9425062585023357
Position 47: 0.5959613419228887
Position 61: 0.12128392437372366
Position 405: 0.023813843515653545
Position 638: 0.01386524453699474
Position 256: 0.009052984070931094
Position 422: 0.003064840034588174
Position 703: 0.002289054669028245
Position 678: 0.0018929261086520098
Position 228: 0.0014258699195911048
Position 219: 0.0010113342959742078
Position 706: 0.0009745330461287063
Position 311: 0.0008105770699410676
Position 672: 0.0004237121715960143
Position 713: 0.00015985510185301033
Position 766: 8.135672508751107e-05
Position 604: 2.0220676322698305e-05
Position 389: 1.1259277022663797e-05
Position 104: 1.0668597408449406e-05
Position 595: 7.710312726188287e-06
Position 29: 7.119402313316061e-06
Position 565: 6.666099287882164e-06
Position 138: 4.15255831407189e-06
Position 91: 2.0098120611215143e-06
Position 129: 1.8153950828259475e-06
Position 556: 1.403871546832533e-06
Position 778: 1.33530634261923e-06
Position 488: 1.2308477568908262e-06
Position 107: 1.0234414940570961e-06
Position 619: 9.389513818756924e-07
Position 301: 5.773513644965482e-07
Position 121: 2.7605992714154106e-07
Position 131: 2.4942327087724886e-07
Position 491: 1.6465194932862283e-07
Position 580: 1.2500503357383807e-07
Position 119: 3.732988918047791e-08
Position 812: 1.592031782536303e-08
Position 761: 1.376118389814804e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9603948586574641
Position 119: 0.6756989525374413
Position 399: 0.023132702987958408
Position 475: 0.022805096750259712
Position 294: 0.01659804362862435
Position 773: 0.004300667351893306
Position 460: 0.003793329393767213
Position 310: 0.0035164427517652293
Position 793: 0.0023164765159341934
Position 171: 0.00227933883163568
Position 481: 0.0012736963616472204
Position 778: 0.0008783398066573281
Position 832: 0.0003733140852003025
Position 556: 0.0002472908491350748
Position 499: 0.00018006613116932195
Position 589: 0.00016263295377032298
Position 333: 0.00014837190487269336
Position 260: 9.429717643135761e-05
Position 656: 7.136537125036302e-05
Position 562: 6.066156429877516e-05
Position 565: 5.795510812045146e-05
Position 514: 4.6282385135175327e-05
Position 352: 4.0633362656713317e-05
Position 604: 3.185368933472188e-05
Position 91: 2.3446509792893557e-05
Position 442: 2.1427865699853064e-05
Position 689: 2.0975372506176395e-05
Position 535: 2.0505714311123696e-05
Position 367: 1.6264180563571364e-05
Position 538: 1.407124910241625e-05
Position 508: 1.091286446846592e-05
Position 198: 9.641336282449532e-06
Position 488: 8.567816190018347e-06
Position 175: 7.47186422115164e-06
Position 364: 5.453041495586823e-06
Position 430: 5.315596892300562e-06
Position 331: 4.1450451575314915e-06
Position 527: 3.6234471610699312e-06
Position 416: 3.26469261466911e-06
Position 517: 2.90955697334926e-06
Position 601: 2.1760277531252975e-06
Position 595: 1.9606474250327216e-06
Position 177: 1.5079159608291725e-06
Position 880: 1.4873377088118528e-06
Position 151: 1.3383372087997863e-06
Position 842: 1.3262248214144046e-06
Position 411: 1.1527717234163883e-06
Position 356: 1.133703688123903e-06
Position 186: 1.1172524748479031e-06
Position 703: 1.0611381759804493e-06
Position 706: 8.942356824125925e-07
Position 383: 5.819808853966313e-07
Position 183: 2.237454639947523e-07
Position 404: 3.972454537767157e-08
Position 190: 1.0317122715985097e-09
Position 327: 7.107503952468913e-10
Position 79: 4.1839201273233323e-10
Position 181: 4.1093318944753107e-10
Position 377: 9.568621124774747e-11
Position 374: 8.721420681057354e-11
Position 371: 7.886076711792599e-12
Position 358: 1.0169902805044823e-12
