Gene = obst-E
index = 1829
Annotated 5SS: [182]
Annotated 3SS: [2773]
SMsplice 5SS: [182]
SMsplice 3SS: [2773]
top_k =  1000
Partition function (log Z): -6.418015493181299

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.4655500085351085
Position 870: 0.398281522873657
Position 1746: 0.3681888338536741
Position 308: 0.17788096470277834
Position 599: 0.1585972415347504
Position 1811: 0.13382143581473324
Position 285: 0.08071318489421701
Position 1039: 0.07769075845793273
Position 2592: 0.053614812896457816
Position 382: 0.05242601275262356
Position 633: 0.04760718662197141
Position 590: 0.04036384138910364
Position 1988: 0.03966449069269171
Position 156: 0.03323544060255415
Position 2226: 0.021831206677085983
Position 1312: 0.014631748858516373
Position 2501: 0.014445326974318651
Position 1614: 0.014135856439139644
Position 1652: 0.01340364440997499
Position 2368: 0.011164947419359052
Position 3245: 0.00948213203426438
Position 3294: 0.008951427312374003
Position 2245: 0.008829078172100402
Position 1418: 0.00663106873405111
Position 2545: 0.006608057563995917
Position 2557: 0.006595945015675771
Position 471: 0.006590312114034604
Position 2448: 0.006514398973353171
Position 1319: 0.004917089439767993
Position 1995: 0.004488133414148921
Position 400: 0.004477228185522114
Position 531: 0.004208249859725754
Position 2613: 0.003862571954901569
Position 2609: 0.0037326625492479283
Position 2554: 0.0029339494544546115
Position 2126: 0.002853173138071767
Position 2198: 0.0024643311350177727
Position 2007: 0.0024163626755172186
Position 944: 0.002282834310918775
Position 2370: 0.0021459496253463726
Position 927: 0.0020737956717300685
Position 885: 0.0017560188758528026
Position 2106: 0.0014396803705566989
Position 2041: 0.0013221010649975672
Position 648: 0.0012738829698034349
Position 1658: 0.001070398904958765
Position 2492: 0.001042774809244077
Position 1303: 0.0010371495775643692
Position 186: 0.0010270955654499
Position 697: 0.001005348547247383
Position 275: 0.0008420677176591142
Position 168: 0.0008161842987397616
Position 953: 0.0006780412630966308
Position 787: 0.0006301412645977457
Position 2483: 0.00059611403836114
Position 2467: 0.0005208075428722362
Position 2381: 0.0005099396148509498
Position 2399: 0.00048584233739157486
Position 1422: 0.0004772333228230544
Position 1329: 0.0004680053470315135
Position 312: 0.00046755633314342424
Position 3285: 0.00044614030806534253
Position 2015: 0.0004301403678458329
Position 2255: 0.00041029065341107536
Position 1092: 0.00040139662743356543
Position 828: 0.0003603441518020738
Position 2349: 0.00030125551440456013
Position 605: 0.00029196903002067886
Position 2181: 0.0002595391881900673
Position 1760: 0.00022789489541249426
Position 2046: 0.0002255065853238219
Position 71: 0.0002147137634866351
Position 2148: 0.0002146476873694664
Position 2094: 0.00020934576915189516
Position 809: 0.000125814429346515
Position 57: 9.565572254953304e-05
Position 1343: 9.03990149377878e-05
Position 1750: 8.534132582219057e-05
Position 250: 7.469988723273567e-05
Position 32: 6.038763251599684e-05
Position 3448: 6.032508619433256e-05
Position 1261: 5.255179582863708e-05
Position 662: 4.6164244905569945e-05
Position 1101: 4.502614171124106e-05
Position 196: 4.178414545795136e-05
Position 3292: 2.8992717305778437e-05
Position 506: 2.555816936341976e-05
Position 2858: 2.2227219779089593e-05
Position 837: 1.9372966115004705e-05
Position 23: 1.846134099662872e-05
Position 83: 1.6399539118351642e-05
Position 160: 1.5307992903265677e-05
Position 451: 1.4681828986765869e-05
Position 434: 1.0646324200667385e-05
Position 6: 8.995002587854716e-06
Position 888: 5.385067748688209e-06
Position 265: 4.239189280469285e-06
Position 874: 1.9036671320197137e-06
Position 906: 1.468686986195675e-06
Position 40: 1.4142404563574593e-06
Position 146: 1.0121572718936474e-06
Position 997: 6.710090515203075e-07
Position 482: 5.341261575551517e-07
Position 1072: 4.889635574600515e-07
