Gene = G6P
index = 1173
Annotated 5SS: [ 157  381  954 1123]
Annotated 3SS: [ 215  454 1003 1170]
SMsplice 5SS: [ 381  954 1123]
SMsplice 3SS: [ 454 1003 1170]
top_k =  1000
Partition function (log Z): 0.712387966505994

Sorted 5' Splice Sites (High to Low Probability):
Position 954: 0.9916544578910461
Position 381: 0.9306700646884949
Position 1123: 0.8232795093877064
Position 157: 0.44712447695798646
Position 1333: 0.18003866920684589
Position 1322: 0.011309000139325382
Position 183: 0.007425624128459974
Position 945: 0.004008754517078823
Position 385: 0.0026732585339355017
Position 941: 0.0022743830945441508
Position 800: 0.0011564939652806822
Position 1225: 0.0006599831700665336
Position 724: 0.0005746563925772398
Position 1307: 0.0003195973778595226
Position 302: 0.00030563385953249773
Position 720: 0.00029922957709398136
Position 1255: 0.00024073986487690454
Position 958: 0.00014485825974177435
Position 1277: 0.00013767827042651052
Position 1269: 0.00012919255308510124
Position 1264: 0.00011609925285972123
Position 1127: 0.00010726720558493352
Position 571: 8.116512170404779e-05
Position 1337: 8.094717478060924e-05
Position 1294: 6.642010843837425e-05
Position 695: 5.992234695546041e-05
Position 608: 4.422910222226882e-05
Position 1046: 3.286513291107742e-05
Position 896: 3.075716399948443e-05
Position 253: 2.3767589858328036e-05
Position 299: 2.3334861731367616e-05
Position 606: 1.792502599150339e-05
Position 902: 1.6743961916305827e-05
Position 1217: 1.5660979298565237e-05
Position 398: 1.2302332331026573e-05
Position 717: 9.898137026904518e-06
Position 1015: 9.293282224748758e-06
Position 825: 7.946573782618953e-06
Position 784: 6.714690280541728e-06
Position 909: 6.5155023046900155e-06
Position 1067: 6.059799094998112e-06
Position 516: 5.395883807450965e-06
Position 758: 5.142049387595377e-06
Position 42: 5.0063666407259955e-06
Position 510: 4.938636916415625e-06
Position 1229: 4.493236637510065e-06
Position 962: 4.120124665353812e-06
Position 311: 3.93491214634234e-06
Position 221: 3.6416160804962697e-06
Position 83: 2.5668774959136086e-06
Position 830: 2.4375016049378834e-06
Position 639: 2.2308567948871652e-06
Position 482: 1.9488469013734675e-06
Position 103: 1.8792791095700886e-06
Position 513: 1.7754303843029084e-06
Position 612: 1.7517661288083177e-06
Position 276: 1.1593925278561197e-06
Position 544: 8.518688201855658e-07
Position 736: 5.991325531959064e-07
Position 497: 5.507113911465083e-07
Position 1050: 5.423999459286125e-07
Position 76: 4.4498674059988837e-07
Position 325: 4.2618320996051473e-07
Position 479: 4.161491222079471e-07
Position 861: 1.4746763023672042e-07
Position 1017: 1.1544758170679721e-07
Position 900: 7.039559730376637e-08
Position 629: 6.480817578969213e-08
Position 665: 6.020654106907426e-08
Position 850: 5.4051013315169657e-08
Position 770: 3.2504215829964204e-08
Position 531: 1.188243205781968e-08
Position 728: 1.0300751387062875e-08
Position 1038: 3.8241361020913026e-10
Position 472: 6.815653647868287e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1003: 0.9616929895929531
Position 454: 0.9073313578643668
Position 1170: 0.7647979396471454
Position 215: 0.3805305174832642
Position 1381: 0.2537473720128643
Position 251: 0.06161843528395315
Position 1022: 0.018282133267825233
Position 497: 0.014611583373904797
Position 1071: 0.01232397592734885
Position 311: 0.005794837841700452
Position 221: 0.005188816820000085
Position 521: 0.004897201944741167
Position 867: 0.0036960743308202663
Position 1322: 0.0014924382617733706
Position 770: 0.001419537923499556
Position 551: 0.0011941937667216825
Position 799: 0.0009755261030178053
Position 1046: 0.0009076212048435076
Position 315: 0.000836088426331484
Position 1388: 0.0006174359733185871
Position 1264: 0.0005640340570914951
Position 818: 0.0005178369495169391
Position 1261: 0.00047063987283688726
Position 1354: 0.0004552088418826445
Position 356: 0.0004392759554532306
Position 492: 0.00038028003774826576
Position 1359: 6.802885806655007e-05
Position 230: 5.8699146000285377e-05
Position 1225: 5.241336195849953e-05
Position 544: 4.761876969043258e-05
Position 1120: 3.3020385674839164e-05
Position 830: 2.9940831834330324e-05
Position 1073: 2.6305586852648314e-05
Position 900: 2.3991665326985062e-05
Position 467: 2.2685649633315753e-05
Position 1418: 1.9490951051241793e-05
Position 784: 1.802411797245968e-05
Position 914: 1.7501217091621922e-05
Position 1302: 1.6563680000659714e-05
Position 885: 1.6094482352459754e-05
Position 1333: 1.3465059359149185e-05
Position 264: 4.505352550149587e-06
Position 388: 2.6144124783217167e-06
Position 556: 1.4216541730196912e-06
Position 1217: 8.789734228982756e-07
Position 1361: 7.436757299547297e-07
Position 736: 5.318402317598653e-07
Position 494: 3.753436760181791e-07
Position 385: 3.2941550996781377e-07
Position 1294: 1.906581065459712e-07
Position 190: 7.994508799014553e-08
Position 200: 3.493119226846897e-08
Position 151: 1.6068447304077786e-08
Position 198: 7.178980084491262e-11
Position 563: 2.8539692466388575e-11
Position 127: 3.481924062685258e-12
Position 393: 2.563802247282627e-12
Position 398: 1.5572278931456233e-14
