Gene = Gbs-70E
index = 1183
Annotated 5SS: [ 439  978 3859 8243 8621]
Annotated 3SS: [ 815 3492 8035 8307 8679]
SMsplice 5SS: [ 439  978 3859 8243 8621]
SMsplice 3SS: [ 815 3492 8035 8307 8679]
top_k =  1000
Partition function (log Z): 14.788946095831793

Sorted 5' Splice Sites (High to Low Probability):
Position 8621: 0.9998327229185099
Position 3859: 0.9781999698523405
Position 8243: 0.9720164903203816
Position 439: 0.9506084082315628
Position 978: 0.9362029987361716
Position 7535: 0.07145292804100367
Position 1130: 0.05370281409219388
Position 1976: 0.04224864009398214
Position 1689: 0.04176432664058975
Position 1991: 0.039813975661847904
Position 1234: 0.037345813895469704
Position 5712: 0.031668172465228024
Position 2402: 0.02722115080884283
Position 8247: 0.026758776035583107
Position 1292: 0.026572481574427327
Position 4044: 0.025932578812042643
Position 6473: 0.01944042564818181
Position 7298: 0.017801961697044066
Position 7489: 0.015581150568356265
Position 2237: 0.014741114809272626
Position 7737: 0.01384875136745861
Position 2356: 0.01234604063277048
Position 622: 0.011239981481020834
Position 2810: 0.010682059574759215
Position 8390: 0.00856244247449806
Position 9147: 0.008487971388859377
Position 4095: 0.007630484718743262
Position 8806: 0.0061689244108790965
Position 2295: 0.0061256563228910725
Position 7220: 0.005709146641053691
Position 7933: 0.00548436613651032
Position 8853: 0.005212893188766509
Position 1647: 0.004602904466465736
Position 3889: 0.004347317124838798
Position 3854: 0.003734917505848537
Position 5588: 0.003401427895821675
Position 3067: 0.003279465096986009
Position 1286: 0.003186702854787611
Position 7801: 0.0027699159738526257
Position 6066: 0.0026547329311744135
Position 5641: 0.00238800639740427
Position 4717: 0.002346240778697055
Position 7004: 0.0019432304079816914
Position 3370: 0.0019135362131374835
Position 446: 0.0018832237350012832
Position 992: 0.0017571200432052417
Position 296: 0.0014612034134125838
Position 9044: 0.0014415737640841443
Position 2927: 0.001418352042678846
Position 8094: 0.001368397850371824
Position 3893: 0.0012802404505471523
Position 8423: 0.001242756644858109
Position 4032: 0.0011573721412603169
Position 8907: 0.0011269932849447197
Position 6215: 0.0010508040134515457
Position 928: 0.0010407236713845607
Position 403: 0.0008689341563941936
Position 2492: 0.0008593710856738156
