Gene = Psf2
index = 1390
Annotated 5SS: [ 37 593]
Annotated 3SS: [342 650]
SMsplice 5SS: [593]
SMsplice 3SS: [650]
top_k =  1000
Partition function (log Z): -6.577471388537221

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.8577842635879123
Position 310: 0.24039326212394294
Position 37: 0.05006390262723593
Position 597: 0.04404330714727943
Position 71: 0.03379323326438757
Position 604: 0.03357474884495678
Position 283: 0.012343564314950508
Position 28: 0.009152135167918768
Position 608: 0.00750227381626828
Position 995: 0.0056504917669301675
Position 331: 0.00208120541578076
Position 57: 0.0017721498260532891
Position 986: 0.0017299514394669027
Position 912: 0.0007231608352567037
Position 871: 0.0007009189503945813
Position 130: 0.0006627685741688278
Position 1093: 0.0005644512757891854
Position 304: 0.0003442626953492676
Position 933: 0.00023901027522768486
Position 959: 0.0002383192725495185
Position 980: 0.0002079259687147945
Position 1014: 0.00018939847384901942
Position 1039: 0.00014693093320348408
Position 86: 0.00014604662197372487
Position 168: 0.0001351525408398288
Position 123: 0.0001336821060081725
Position 211: 0.00013005456152961846
Position 25: 0.00012031193128798758
Position 751: 0.00011102890462888106
Position 528: 0.00010908102640744408
Position 184: 0.0001021272099874331
Position 116: 0.00010002141304351611
Position 1096: 8.481099773536215e-05
Position 285: 6.335231734795878e-05
Position 326: 5.559155951690123e-05
Position 201: 3.830694444187577e-05
Position 518: 3.694439349412683e-05
Position 253: 3.290802585136496e-05
Position 335: 3.156037464669032e-05
Position 685: 2.6941772753550583e-05
Position 96: 2.5940108251016406e-05
Position 1115: 2.4341453141999258e-05
Position 1086: 2.0917869287373292e-05
Position 1067: 2.0889469563715974e-05
Position 780: 1.2015474242352312e-05
Position 671: 4.852145329480916e-06
Position 696: 3.783412899795483e-06
Position 314: 3.3480091098016962e-06
Position 1005: 2.7979181857258256e-06
Position 651: 2.371375217912849e-06
Position 444: 2.3374211700496956e-06
Position 485: 2.3068746876805877e-06
Position 463: 1.9659682403490257e-06
Position 1026: 1.691264234573528e-06
Position 731: 7.035291696779294e-07
Position 471: 6.58383935907394e-07
Position 107: 5.255831930255897e-07
Position 477: 3.4215734784771836e-07
Position 616: 1.2660104042535229e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 650: 0.977857910865238
Position 412: 0.19187386963235054
Position 342: 0.0346085539954107
Position 147: 0.019894661294916446
Position 1160: 0.01781460282933955
Position 394: 0.01610689144947264
Position 86: 0.01218013991479849
Position 221: 0.010294986810763499
Position 537: 0.007330991445040787
Position 116: 0.006684814302201255
Position 218: 0.002594448369671878
Position 113: 0.001978010811514672
Position 180: 0.0012585227691818295
Position 907: 0.000980476109540179
Position 156: 0.0009702324761273383
Position 688: 0.0005907447782836462
Position 869: 0.0005865198530597565
Position 459: 0.0004048536882107071
Position 696: 0.00027359765330093965
Position 1014: 0.00026196914292210386
Position 518: 0.00015783152182121624
Position 1054: 0.0001563258414484802
Position 509: 0.0001300870957871898
Position 123: 0.00011809087346328154
Position 841: 5.292035068002442e-05
Position 177: 5.0429912369632015e-05
Position 973: 4.604274164447409e-05
Position 816: 3.506618371271829e-05
Position 1074: 3.119162942071986e-05
Position 1026: 2.732491482327651e-05
Position 1115: 2.040801823190774e-05
Position 861: 1.609839034480082e-05
Position 918: 1.5710580436976844e-05
Position 741: 1.2688011437378769e-05
Position 1061: 9.91674739839529e-06
Position 941: 9.6236995991978e-06
Position 759: 7.925424541762303e-06
Position 275: 6.539831566827558e-06
Position 235: 6.537472836000094e-06
Position 572: 5.839405675611055e-06
Position 260: 5.653466994857751e-06
Position 223: 3.925892982537123e-06
Position 1067: 3.651031976624473e-06
Position 242: 2.6991774864044042e-06
Position 1077: 2.587231212147739e-06
Position 738: 2.153813910237168e-06
Position 563: 1.5761218228660177e-06
Position 837: 1.2945494489196216e-06
Position 959: 1.044860845374495e-06
Position 419: 9.059771645458668e-07
Position 149: 7.492431491499495e-07
Position 282: 4.7558967837029785e-07
Position 575: 4.5728854222106696e-07
Position 304: 2.302262483767049e-07
Position 1096: 2.0387201550972943e-07
Position 584: 2.03374736353115e-07
Position 244: 8.63225561921784e-08
Position 163: 4.2255465001919055e-08
Position 267: 1.0582733651273292e-08
