Gene = sip2
index = 1874
Annotated 5SS: [ 136  331 2180]
Annotated 3SS: [ 218  519 2243]
SMsplice 5SS: [ 136  331 2180]
SMsplice 3SS: [ 179  519 2243]
top_k =  1000
Partition function (log Z): -1.4286042084090924

Sorted 5' Splice Sites (High to Low Probability):
Position 2180: 0.9746865490503355
Position 136: 0.8014424730565695
Position 331: 0.6503770860192329
Position 2016: 0.07645041670275196
Position 690: 0.033803353406036664
Position 442: 0.01518647241587044
Position 1778: 0.013836953005159794
Position 1950: 0.011399077698285803
Position 679: 0.006241641835802695
Position 815: 0.004828065248361575
Position 430: 0.004253473012094425
Position 1797: 0.003909121043238952
Position 309: 0.003775001921165179
Position 1073: 0.003420653371445019
Position 1596: 0.003195745526400491
Position 1614: 0.0025935501999898953
Position 116: 0.0021622129746506334
Position 1916: 0.0020079016456299044
Position 464: 0.0018237694335702399
Position 890: 0.001736611270056411
Position 297: 0.0015320279245914948
Position 2495: 0.0014058591961194728
Position 1055: 0.001208442006189535
Position 1782: 0.0011332894686391733
Position 745: 0.0010682180387136951
Position 894: 0.0009867619177784629
Position 1448: 0.0007575769343098137
Position 1681: 0.0007339380446143736
Position 140: 0.0006907444876803313
Position 455: 0.000584590153243567
Position 1430: 0.00046917547924285184
Position 623: 0.0003687998013304309
Position 2477: 0.00032618624667343657
Position 656: 0.0003133822859357577
Position 375: 0.00021355163379927186
Position 313: 0.00010542007550902608
Position 873: 7.014037338684377e-05
Position 388: 4.8274282044430134e-05
Position 2280: 4.6400151547039095e-05
Position 87: 4.408349136700263e-05
Position 1470: 3.6077735611764394e-05
Position 1132: 3.461241056191754e-05
Position 362: 2.893728720663902e-05
Position 60: 2.7732431726372705e-05
Position 179: 2.7540021918682686e-05
Position 1866: 2.560235976330576e-05
Position 729: 2.4910634845149933e-05
Position 421: 2.484393060481089e-05
Position 85: 2.2695291893573154e-05
Position 1364: 1.4285719759108483e-05
Position 391: 1.2777496061011288e-05
Position 1968: 1.2413387528800799e-05
Position 1130: 1.019987515971808e-05
Position 55: 8.80151174546022e-06
Position 197: 7.133697527709931e-06
Position 364: 6.7028985024401646e-06
Position 2086: 6.692509237524729e-06
Position 632: 6.353566844887858e-06
Position 2091: 5.539500830767357e-06
Position 759: 4.999206200133831e-06
Position 1526: 4.132718061597564e-06
Position 259: 4.003703384774566e-06
Position 2445: 3.939221358216617e-06
Position 1123: 2.5615808768207434e-06
Position 1945: 2.4786400662518125e-06
Position 1685: 2.398612052555769e-06
Position 41: 2.30454632306383e-06
Position 1329: 1.9113346495606456e-06
Position 787: 1.9021973926543269e-06
Position 2218: 1.6157743179298075e-06
Position 1579: 1.5793869834770618e-06
Position 2367: 1.4824791387833781e-06
Position 1775: 1.3659011294813122e-06
Position 2378: 1.1810119736539094e-06
Position 1603: 1.151535191614144e-06
Position 2447: 1.1450311535211991e-06
Position 924: 1.055559812439268e-06
Position 810: 9.57595865376781e-07
Position 1439: 9.529282743425197e-07
Position 34: 9.199217585731643e-07
Position 1546: 6.6302157186214e-07
Position 2325: 3.8175938532670044e-07
Position 373: 1.0854596534375516e-07
Position 2426: 9.492331350334934e-08
Position 218: 9.126768423531692e-08
Position 486: 5.7772631325444665e-08
Position 2381: 4.2370061285634304e-08
Position 199: 2.606199543418497e-08
Position 208: 6.162334336617105e-09
Position 645: 2.6625469444534446e-09
Position 570: 3.155188925894345e-10
Position 505: 9.5975578953493e-11
Position 1465: 8.936786104190189e-11
Position 1064: 9.536852288800822e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2243: 0.9917084887236326
Position 519: 0.9193867348221697
Position 179: 0.4319168259373074
Position 2071: 0.07481186316640846
Position 1854: 0.04838444939163116
Position 230: 0.044270217040022285
Position 2054: 0.031057701521230677
Position 391: 0.015579637419693567
Position 2016: 0.015321888759126098
Position 218: 0.008520371083762265
Position 1876: 0.0070489583651009175
Position 1945: 0.005702927172505312
Position 1199: 0.004813220884353753
Position 1481: 0.004758712864234897
Position 787: 0.0042277047348039274
Position 532: 0.0022616409437193597
Position 774: 0.001927043800461675
Position 1218: 0.0018146726201123604
Position 2551: 0.0017907156651668949
Position 1329: 0.0015164482829021033
Position 2152: 0.0012789829642039048
Position 1942: 0.0012020365651428217
Position 1859: 0.0011680140625502818
Position 570: 0.0009779153213414508
Position 556: 0.000752083508278291
Position 1735: 0.0007057794276205548
Position 271: 0.0005039641383519584
Position 486: 0.00048473961435481
Position 1775: 0.0004569437641679377
Position 1185: 0.000382455130890645
Position 2129: 0.0003672914971244583
Position 1666: 0.000333656132510024
Position 505: 0.0003274746779617046
Position 2086: 0.00032375432973245184
Position 934: 0.0002685158938908492
Position 2176: 0.00026778924650990477
Position 1613: 0.00023807198059485758
Position 2091: 0.00022291270885919337
Position 1781: 0.0002198138967836106
Position 798: 0.00021779091221990501
Position 1765: 0.00021458418605399177
Position 2279: 0.00021223572620325692
Position 1891: 0.00019670676848101084
Position 1335: 0.00018729576607468738
Position 1699: 0.00018215733759771347
Position 362: 0.00017994451840048334
Position 1106: 0.00016338627971213815
Position 1507: 0.00016099527659620721
Position 1146: 0.00014525426553432555
Position 884: 0.00012540859618423062
Position 1637: 8.967349383919226e-05
Position 1800: 6.599465814897697e-05
Position 645: 6.040969331699317e-05
Position 1171: 5.115920972952509e-05
Position 313: 1.6810358511824442e-05
Position 410: 1.4365505635410441e-05
Position 373: 1.0705070388899592e-05
Position 434: 5.724566685364543e-06
Position 2439: 5.477268876848024e-06
Position 135: 4.106027782022975e-06
Position 132: 3.6306684344769925e-06
Position 464: 2.597039883304271e-06
Position 99: 1.2022990511613966e-06
Position 289: 1.0722775080985796e-06
Position 301: 8.419997453564085e-07
Position 2413: 8.323766591040678e-07
Position 853: 7.927083617164472e-07
Position 455: 5.511303736520814e-07
Position 469: 4.7348300878051723e-07
Position 651: 4.387810676917374e-07
Position 943: 2.8163428626445e-07
Position 105: 2.445762534329334e-07
Position 2367: 2.1840149215687191e-07
Position 1043: 1.4751460855777407e-07
Position 577: 1.376920963262194e-07
Position 442: 1.1126380158563286e-07
Position 958: 6.939988661158576e-08
Position 729: 5.1027231385745536e-08
Position 328: 2.874963603656523e-08
Position 139: 1.0895511808312955e-08
Position 689: 1.0429724674960437e-08
Position 109: 4.24718974560687e-09
Position 607: 1.655768206479987e-09
Position 723: 1.5713104622653332e-09
Position 153: 9.27640013647322e-10
Position 436: 7.44829484818418e-10
