Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  1000
Partition function (log Z): 1.3056286594001247

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9930588767453008
Position 615: 0.9009678700438147
Position 653: 0.05306763596637909
Position 1384: 0.03975394833128561
Position 619: 0.038832770732767564
Position 412: 0.024106283559954426
Position 1392: 0.01395577334747454
Position 1096: 0.002622587911353773
Position 999: 0.0018794001439685379
Position 606: 0.0012299356248436895
Position 730: 0.001197900033700108
Position 304: 0.001071258021722001
Position 648: 0.000851317126901507
Position 1327: 0.0007028060049594773
Position 1405: 0.00042658251636833167
Position 633: 0.00036750764290114664
Position 1121: 0.00022565781024111241
Position 47: 0.00015475257170246914
Position 30: 0.00014200518729405877
Position 220: 0.00010608438926759886
Position 452: 9.816690160773199e-05
Position 60: 8.942297400027979e-05
Position 1357: 7.755092778964145e-05
Position 766: 4.5593388102570225e-05
Position 905: 4.2503969351276456e-05
Position 1585: 4.154295716423786e-05
Position 946: 3.964255905681574e-05
Position 622: 3.884908347772193e-05
Position 880: 3.514734234295036e-05
Position 256: 3.0847465552283943e-05
Position 1296: 1.1250332733417447e-05
Position 973: 8.308032444146254e-06
Position 526: 8.180116867008156e-06
Position 1025: 7.650158121800363e-06
Position 1065: 4.0615245219768334e-06
Position 259: 2.571112082047252e-06
Position 1012: 1.95837713799819e-06
Position 1023: 1.7118343489680006e-06
Position 336: 1.4830847735527745e-06
Position 130: 1.2341269358715098e-06
Position 1471: 1.122846628929737e-06
Position 1724: 1.106765796443621e-06
Position 916: 8.784133317582166e-07
Position 1003: 7.869387348016817e-07
Position 511: 7.640507464885009e-07
Position 1766: 6.102716525535675e-07
Position 127: 5.905683406690018e-07
Position 1443: 5.049945758530038e-07
Position 864: 4.5788925669688543e-07
Position 1641: 4.5515402048904053e-07
Position 1741: 3.381898539797826e-07
Position 1542: 2.825214147494069e-07
Position 831: 1.2184975505643458e-07
Position 1560: 4.910116143800081e-08
Position 1621: 2.7077436448258804e-08
Position 1230: 6.831100348220219e-10
Position 783: 3.7623354598054634e-10
Position 1161: 2.2498255381330257e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9970084954904226
Position 1176: 0.9717931108068668
Position 1464: 0.04066300244333223
Position 485: 0.023472380253334573
