Gene = enc
index = 1694
Annotated 5SS: [  242 11183 13865 14080 14331 14720 14992 15949 18256 18927 20683 20845]
Annotated 3SS: [10739 13041 13922 14176 14392 14776 15591 17342 18319 18982 20744 20953]
SMsplice 5SS: [  242 11183 13865 14080 14331 14720 14992 18256 18927 20683 20845]
SMsplice 3SS: [10739 13041 13922 14176 14392 14776 17342 18319 18988 20744 20953]
top_k =  1000
Partition function (log Z): 37.919827933157116

Sorted 5' Splice Sites (High to Low Probability):
Position 18256: 0.9993823770614932
Position 14331: 0.9976957177787832
Position 242: 0.9963267295268063
Position 13865: 0.9927411975719901
Position 20683: 0.989974153986244
Position 18927: 0.9859414877270275
Position 14992: 0.9796184727092202
Position 20845: 0.9771082614862582
Position 14720: 0.9753325426511817
Position 14080: 0.9627326582577507
Position 11183: 0.8839644347024375
Position 21019: 0.4670254516105682
Position 21260: 0.3082400701544631
Position 1133: 0.23699250643782918
Position 529: 0.1886066264565336
Position 21006: 0.1828097035079122
Position 21464: 0.10478619793849919
Position 12769: 0.09920903792080771
Position 11673: 0.098175655624546
Position 15949: 0.08529895918239445
Position 22966: 0.08489362143192336
Position 18748: 0.07001279780145708
Position 8321: 0.0625508945042855
Position 21238: 0.05303101396782798
Position 2266: 0.051996039888672047
Position 13715: 0.05087130727268685
Position 691: 0.04656705272638471
Position 12225: 0.039209775534357005
Position 14468: 0.03463375798833979
Position 12292: 0.03428573145168484
Position 680: 0.034079180112183485
Position 19903: 0.03406949286170844
Position 18019: 0.03388696521744111
Position 19775: 0.03267581784878721
Position 6541: 0.032623736531482754
Position 14099: 0.03227926330769662
Position 8317: 0.03156633865157986
Position 18714: 0.03035256262642554
Position 12652: 0.026283854929509604
Position 19765: 0.024855143919057007
Position 11929: 0.023145059761133492
Position 17144: 0.022539927478671527
Position 12457: 0.019162259248702785
Position 21694: 0.01863584074586857
Position 11894: 0.01751720053068218
Position 17974: 0.016830217217508874
Position 18028: 0.015799587727847675
Position 22790: 0.01569876838328251
Position 22944: 0.015209346372892915
Position 20993: 0.01501221118205129
Position 3198: 0.013971698253639829
Position 19298: 0.013598417259197824
Position 5867: 0.012549711555636453
Position 2078: 0.011984250582446492
Position 7946: 0.011859967203876146
Position 14988: 0.011811332160608617
Position 19417: 0.0114934163094054
Position 18917: 0.010400831938991618
Position 1517: 0.009299755672703048
Position 7969: 0.00852890574962813
Position 11902: 0.008066876421490657
Position 19771: 0.0072206743885162555
Position 23227: 0.00698158043615303
Position 17287: 0.006203255822869028
Position 19295: 0.005985573915891672
Position 20658: 0.005704299266547166
Position 22517: 0.005156239357515528
Position 16845: 0.004894271189040524
Position 17126: 0.004883929055759107
Position 13400: 0.004509662454231881
Position 676: 0.004434234878306886
Position 22718: 0.003917657666191026
Position 19084: 0.0034028238641154772
Position 4216: 0.003206649747456159
Position 18848: 0.0031483950593513264
Position 12309: 0.0031384176723136207
Position 19793: 0.0028046368164506073
Position 11796: 0.0027626751381415507
Position 11461: 0.0027215877382068634
Position 6275: 0.0026352310646255246
Position 455: 0.0026167475622359336
Position 2556: 0.0026150003121975054
Position 22418: 0.0020323130396472443
Position 16057: 0.001978258812416389
