Gene = He
index = 1207
Annotated 5SS: [157]
Annotated 3SS: [335]
SMsplice 5SS: [272]
SMsplice 3SS: [335]
top_k =  1000
Partition function (log Z): -6.27444072231919

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.49232154312654236
Position 272: 0.4589238555563392
Position 245: 0.04265561981011752
Position 493: 0.007171482864182638
Position 212: 0.006080945227830268
Position 454: 0.0037015442168293502
Position 161: 0.0021674849226600936
Position 415: 0.002068020366887774
Position 249: 0.0009316548983888906
Position 481: 0.0009229325271027356
Position 676: 0.0007625144341534398
Position 172: 0.00011392756584113012
Position 49: 0.00010684752382207956
Position 568: 9.377699166831569e-05
Position 39: 8.84220510508462e-05
Position 572: 6.999963031755982e-05
Position 582: 6.710497506250335e-05
Position 28: 3.5040104220716465e-05
Position 96: 1.200709812575663e-05
Position 637: 8.097935526527965e-06
Position 110: 7.412768481859402e-06
Position 79: 6.122404518243593e-06
Position 648: 1.1748097262710182e-06
Position 125: 8.361434693795258e-07
Position 82: 7.014579069225809e-07
Position 570: 5.801415649174153e-07
Position 603: 5.258908019064667e-07
Position 331: 1.47639277881695e-07
Position 325: 4.67272476530576e-08
Position 343: 8.963115359221262e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 335: 0.9126132155150266
Position 372: 0.032170016030856466
Position 603: 0.02200964089247762
Position 402: 0.014265338350861611
Position 271: 0.013377752815461377
Position 307: 0.011590325212286513
Position 210: 0.0044724013155912085
Position 388: 0.0027225633854316453
Position 481: 0.0011791586142379502
Position 337: 0.0011316352124214673
Position 740: 0.0007507422390035304
Position 785: 0.000447822016179043
Position 415: 0.0004360925273875099
Position 521: 0.00022023018041746149
Position 568: 0.00021281812675256275
Position 249: 0.00016375657298673476
Position 543: 0.00014410758514872023
Position 110: 0.00011395486678618662
Position 550: 8.441556447232574e-05
Position 504: 6.359455120555684e-05
Position 450: 4.891572446440674e-05
Position 143: 3.42299337922669e-05
Position 654: 2.6811708858082022e-05
Position 493: 1.733206057567267e-05
Position 454: 1.2359449004687094e-05
Position 656: 4.7914551759099306e-06
Position 461: 4.630630135177255e-06
Position 509: 1.1240078972862845e-06
Position 676: 4.289810012766073e-07
Position 530: 1.536657534143209e-07
Position 665: 1.9581129981618207e-08
