Gene = jp
index = 1736
Annotated 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
Annotated 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
SMsplice 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
SMsplice 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
top_k =  1000
Partition function (log Z): 21.029753664203344

Sorted 5' Splice Sites (High to Low Probability):
Position 11117: 0.9950191200843457
Position 11467: 0.9934180291569163
Position 13163: 0.9903314644153574
Position 16547: 0.9773015752756263
Position 15034: 0.9727933380621596
Position 12948: 0.9295825203615491
Position 12751: 0.8936543323156595
Position 318: 0.3908200811567169
Position 17661: 0.3284576192338956
Position 210: 0.2666798602818873
Position 16272: 0.2169908340824125
Position 1747: 0.18972978467114338
Position 17650: 0.15191616857500495
Position 17343: 0.1377267550135751
Position 15477: 0.09654550284145137
Position 17254: 0.07868717078259237
Position 104: 0.0771571982319577
Position 12964: 0.06720551120548637
Position 18557: 0.061235955274347234
Position 13706: 0.0508000215361444
Position 10196: 0.04275965305907108
Position 4231: 0.04121623973425798
Position 736: 0.03842549745387048
Position 3452: 0.03466979951186639
Position 694: 0.03230588490916585
Position 4469: 0.026113666313419527
Position 13909: 0.022921643004427145
Position 15218: 0.02160093114718103
Position 1974: 0.019929732159519875
Position 18109: 0.017511981479999775
Position 15339: 0.0172895764343675
Position 859: 0.01708928555786457
Position 4104: 0.01549280587144314
Position 108: 0.014378001753890236
Position 4913: 0.014304732929561902
Position 549: 0.01359466059939064
Position 4098: 0.012374339009020371
Position 13305: 0.011797445546184279
Position 82: 0.011039909909461371
Position 13286: 0.010148576906659056
Position 2771: 0.00979267992885109
Position 13534: 0.009678029907145185
Position 18232: 0.009479453579320299
Position 14063: 0.008629956856841545
Position 16019: 0.00816956690870623
Position 13102: 0.008108101564021612
Position 16529: 0.007757072929461755
Position 5634: 0.007683476293921402
Position 722: 0.0072103075978964
Position 9962: 0.005730680570490202
Position 10524: 0.005720883643068349
Position 12611: 0.005512067048646569
Position 18248: 0.0047824583301796725
Position 13939: 0.004701911684879897
Position 12118: 0.004539456491052306
Position 18387: 0.004309221116034333
Position 11136: 0.004068175923351678
Position 322: 0.0038871969630950866
