Gene = Nfs1
index = 1317
Annotated 5SS: [201]
Annotated 3SS: [258]
SMsplice 5SS: [201]
SMsplice 3SS: [258]
top_k =  1000
Partition function (log Z): -7.048567605719636

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.998009001458869
Position 614: 0.012084196265550518
Position 546: 0.003000111088482027
Position 276: 0.0026070023545107252
Position 756: 0.0015809227627426828
Position 430: 0.0012554651246973814
Position 588: 0.0010147163501842914
Position 360: 0.0008761240150882996
Position 310: 0.0005041722798478151
Position 852: 0.00042532868643772176
Position 774: 0.0004094263295660531
Position 1081: 0.00019571624117964732
Position 143: 0.0001950172050659026
Position 553: 0.00018280830937255127
Position 861: 0.0001813395325822702
Position 358: 0.0001551582411411606
Position 1174: 9.779911134952025e-05
Position 471: 9.629241040125071e-05
Position 18: 6.129064787072082e-05
Position 6: 5.5908974603012843e-05
Position 562: 5.1219626920023726e-05
Position 251: 4.263558062240004e-05
Position 415: 3.434475246719468e-05
Position 1198: 2.4099613794917596e-05
Position 1470: 2.3851363880499e-05
Position 27: 2.3137507208459032e-05
Position 140: 1.996442135575546e-05
Position 1460: 1.6165551250152847e-05
Position 443: 1.543735086719594e-05
Position 947: 1.4340119808833927e-05
Position 934: 1.3188979257051524e-05
Position 450: 1.0899592457447329e-05
Position 530: 1.0163553094677228e-05
Position 1519: 9.023643209995108e-06
Position 936: 8.469113650675002e-06
Position 1273: 6.533274326885235e-06
Position 873: 6.421472384204245e-06
Position 1047: 3.6755563489277955e-06
Position 1147: 3.3592916344381436e-06
Position 245: 3.1333088041450644e-06
Position 226: 3.0980025063465112e-06
Position 104: 3.0207670821088566e-06
Position 618: 3.0059503209213494e-06
Position 1029: 2.7222316027606775e-06
Position 634: 2.3473121869647437e-06
Position 1107: 1.5824253081292951e-06
Position 660: 1.5484931455601648e-06
Position 812: 1.3642307975952124e-06
Position 80: 1.4525936680643606e-07
Position 255: 2.1706562236050192e-08
Position 822: 1.2879874415594617e-09
Position 665: 8.885721370707199e-10
Position 631: 3.46652069904252e-10
Position 899: 3.0763602530319314e-10
Position 786: 2.7949120874860007e-10
Position 741: 2.338620742895513e-10
Position 743: 2.5070510658355102e-11
Position 806: 1.774999949095822e-11
Position 555: 6.143679108914046e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 258: 0.950582196481822
Position 642: 0.018390100378404623
Position 675: 0.012141231048079607
Position 453: 0.01018772143136185
Position 302: 0.005489942456492365
Position 275: 0.004032560920299895
Position 704: 0.003884391928035203
Position 441: 0.0026904374894597917
Position 335: 0.0024771975118098536
Position 1256: 0.00224359425773595
Position 932: 0.0020043455680618105
Position 848: 0.001681379592058103
Position 602: 0.001340203565875352
Position 470: 0.0012407784732899874
Position 293: 0.0009866738694124886
Position 991: 0.0006039429959449738
Position 546: 0.0005349297151717542
Position 961: 0.0004148499400332268
Position 1354: 0.00034243543937834706
Position 578: 0.0003315009157302213
Position 1138: 0.00028464008243953
Position 1168: 0.00025005276819068436
Position 551: 0.0002317745390321398
Position 1533: 0.00016909919452913943
Position 500: 0.00013284060270083743
Position 313: 0.000132507836082425
Position 660: 8.482650831461645e-05
Position 69: 7.54964455203956e-05
Position 308: 6.838845345284166e-05
Position 1273: 3.848018826636834e-05
Position 1566: 2.6694729596364063e-05
Position 58: 2.660724315280171e-05
Position 608: 2.4486304579677877e-05
Position 458: 2.4343725150143766e-05
Position 581: 2.308823588607716e-05
Position 80: 1.854395615853697e-05
Position 503: 1.768258818281977e-05
Position 731: 1.2692466162759237e-05
Position 614: 1.1368356741164865e-05
Position 1561: 9.981350407514797e-06
Position 200: 9.73820212005134e-06
Position 49: 9.244057023964188e-06
Position 794: 6.814537170861898e-06
Position 860: 6.56575565557175e-06
Position 822: 6.197394449280868e-06
Position 1147: 5.4077955308072984e-06
Position 650: 5.327245826478955e-06
Position 1587: 5.093778216282371e-06
Position 103: 4.775813145587419e-06
Position 97: 4.520201829901495e-06
Position 713: 4.4185033775009454e-06
Position 1185: 3.216531332427705e-06
Position 967: 2.8418590850062833e-06
Position 939: 1.92833378987639e-06
Position 1397: 1.919543264638939e-06
Position 1418: 1.8297847872385033e-06
Position 269: 1.2702306200916962e-06
Position 168: 1.0949603554409317e-06
Position 134: 2.519251216592306e-07
Position 147: 2.1833416187781765e-07
Position 154: 8.793514835249455e-09
Position 205: 8.437464623744061e-09
Position 173: 6.438918660267417e-09
Position 443: 4.5218680106899355e-09
Position 226: 3.246395442701031e-09
Position 185: 3.2402955720089814e-09
Position 644: 1.2651041945540674e-09
Position 218: 5.252120713539667e-10
Position 467: 2.074885664405608e-11
Position 271: 1.1016422735745132e-14
