Gene = barr
index = 1623
Annotated 5SS: [ 185  959 2569]
Annotated 3SS: [ 353 1017 2640]
SMsplice 5SS: [ 185  542  959 2569]
SMsplice 3SS: [ 316  645 1017 2640]
top_k =  1000
Partition function (log Z): 6.036492841205491

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.999589024160515
Position 959: 0.9959512907084903
Position 185: 0.7267772444077516
Position 542: 0.6144936223328897
Position 224: 0.09592520764795005
Position 1862: 0.05550725721694403
Position 226: 0.0551613544934997
Position 2187: 0.020642866811814913
Position 1651: 0.015522108644053595
Position 1172: 0.011161755237781564
Position 1351: 0.010381693294477473
Position 235: 0.008460087148578894
Position 92: 0.007821001609715513
Position 2220: 0.005118158262318737
Position 1701: 0.0028542374456315255
Position 869: 0.002775671612097729
Position 1569: 0.0026225253244630525
Position 44: 0.0019851858537833613
Position 1193: 0.0019068230067296114
Position 1837: 0.0018251829271103857
Position 2974: 0.0018130708764969973
Position 2067: 0.0014030564970899792
Position 1897: 0.001386182774486032
Position 1705: 0.0013284506259719007
Position 2824: 0.0011286867140216734
Position 428: 0.0009513529824007155
Position 1329: 0.0008937177796348669
Position 75: 0.0008651869275544413
Position 289: 0.0007932129194628291
Position 2680: 0.0007834952150938485
Position 2029: 0.0007815399070074531
Position 195: 0.0003807716456995042
Position 2804: 0.0003255525617775991
Position 1679: 0.0002007976950933782
Position 1267: 0.00019173809910308858
Position 546: 0.0001664104172265479
Position 1792: 0.00014772460868136772
Position 2555: 0.00013506099444290137
Position 272: 0.00012494002797663024
Position 1376: 0.00011785516861392603
Position 984: 0.00011251554398638959
Position 689: 0.00011213812891958248
Position 512: 0.00011081848736992665
Position 1327: 8.995654946725211e-05
Position 1400: 8.125341765522219e-05
Position 78: 7.740414123735885e-05
Position 682: 7.025050413654798e-05
Position 2650: 6.957815863685019e-05
Position 1051: 6.842278299823326e-05
Position 548: 6.09866516892353e-05
Position 98: 5.7731808623428714e-05
Position 239: 5.6095130927424065e-05
Position 963: 5.2633850646431084e-05
Position 600: 4.188343102158496e-05
Position 2880: 2.592998433420337e-05
