Gene = tam
index = 1907
Annotated 5SS: [2038 2916]
Annotated 3SS: [2092 2974]
SMsplice 5SS: [2038 2916]
SMsplice 3SS: [2092 2974]
top_k =  1000
Partition function (log Z): -3.641501774780544

Sorted 5' Splice Sites (High to Low Probability):
Position 2916: 0.9799993311894322
Position 2038: 0.9501057624251416
Position 183: 0.3164571533205298
Position 2660: 0.2188550544153846
Position 711: 0.07754412526645381
Position 846: 0.07239387403721823
Position 1134: 0.0464447634303683
Position 2042: 0.03074761167699523
Position 2521: 0.025875397922584774
Position 34: 0.019716392383994055
Position 917: 0.017503081405800577
Position 3255: 0.017192166735761637
Position 2615: 0.0064524099917239045
Position 252: 0.006349162545936474
Position 339: 0.006158968841933568
Position 3033: 0.005873870175140063
Position 707: 0.005167963013005616
Position 642: 0.004805468228604955
Position 1318: 0.004643704221867055
Position 104: 0.0031242893445235054
Position 2176: 0.002805190070810216
Position 117: 0.002659082878052483
Position 1056: 0.0021581509289347422
Position 701: 0.0019592897755034222
Position 3216: 0.0018898425674454644
Position 644: 0.0015494592846567305
Position 1220: 0.001099165174573066
Position 944: 0.001096307272009975
Position 2324: 0.0010286251018029637
Position 20: 0.0009586056421614136
Position 2639: 0.0008081458236070489
Position 324: 0.0007735490139504578
Position 382: 0.0007508772677616702
Position 2731: 0.0007059998025444226
Position 3285: 0.000688770226624689
Position 3724: 0.0006116715955233209
Position 1075: 0.00045107317779196737
Position 948: 0.0004157752618652523
Position 1959: 0.0003823148403995456
Position 2762: 0.0003816015661954179
Position 2789: 0.0003484953530369452
Position 3604: 0.00033944553002993575
Position 1138: 0.0003290461021376113
Position 3600: 0.0003280281204666876
Position 474: 0.00029434644581389954
Position 3226: 0.00025024967154658616
Position 2920: 0.00023485180976010454
Position 147: 0.00021659613539236114
Position 353: 0.00019705181994016257
Position 3213: 0.00019467045449829182
Position 684: 0.00018090156005699353
Position 532: 0.0001759317881446609
Position 2624: 0.00015794249949273333
Position 843: 0.00014857683168272885
Position 2030: 0.00014701078832927647
Position 3397: 0.00013299355770309855
Position 2332: 0.0001313852234671934
Position 1559: 0.00011133489383906246
Position 890: 0.00010971045958522191
Position 2419: 0.00010400686690455488
Position 850: 8.954259863135192e-05
Position 2211: 8.744760838193973e-05
Position 1361: 8.65183206168589e-05
Position 648: 8.53334968233632e-05
Position 1453: 8.114088351470257e-05
Position 2335: 7.468748347054604e-05
Position 1954: 7.415299041841599e-05
Position 1631: 6.99286601838985e-05
Position 2537: 6.253902447246609e-05
Position 600: 6.252202908712263e-05
Position 246: 5.780269102735196e-05
Position 1628: 5.7052717247943454e-05
Position 210: 5.5134358554734336e-05
Position 491: 5.422172266093449e-05
Position 22: 5.081884961708258e-05
Position 2704: 5.068930771296548e-05
Position 3628: 4.4598474199177465e-05
Position 1927: 3.504372338874257e-05
Position 2237: 3.094001573772086e-05
Position 2382: 2.084957536628578e-05
Position 369: 2.0587137152781897e-05
Position 3608: 2.0315580487961682e-05
Position 3187: 1.8298875021922792e-05
Position 3459: 1.5498766700734608e-05
Position 2017: 1.4161144994315903e-05
Position 2224: 1.3408903871006724e-05
Position 2664: 1.3150969583022763e-05
Position 2116: 1.1823958903828377e-05
Position 1179: 1.0668103656474534e-05
Position 2444: 6.831504371248071e-06
Position 2066: 5.9692493580930255e-06
Position 1997: 5.01227769211091e-06
Position 2060: 4.823192781367705e-06
Position 393: 4.600044136428989e-06
Position 3139: 4.573617483334213e-06
Position 744: 4.548040166220914e-06
Position 2046: 4.416245876008274e-06
Position 3231: 3.860132801361649e-06
Position 3327: 3.592137250808985e-06
Position 2889: 2.962952668819115e-06
Position 2871: 2.5781197656034673e-06
Position 407: 2.156403686888052e-06
Position 3550: 1.8288631847692804e-06
Position 3710: 1.7310213082568731e-06
Position 3538: 7.582721346997197e-07
Position 3564: 5.940836532449861e-07
Position 165: 5.198314423320421e-07
Position 2266: 4.855163194602619e-07
Position 507: 3.259276199156474e-07
Position 1050: 2.778276420336055e-07
Position 1845: 2.057741208678439e-07
Position 24: 1.9628215425874182e-07
Position 142: 1.815504614721525e-07
Position 1415: 1.6880552017545037e-07
Position 45: 1.5668626352058503e-07
Position 636: 1.0993276237562509e-07
Position 2051: 4.821176314560333e-08
Position 2597: 4.146898685191924e-08
Position 2548: 4.081194069679854e-08
Position 402: 4.0091243614613485e-08
Position 1151: 3.7528677511783485e-08
Position 1154: 3.1098410701596666e-08
Position 2769: 2.84736624001715e-08
Position 1113: 2.6933164140673855e-08
Position 86: 2.3514451993233454e-08
Position 27: 1.8811277109244368e-08
Position 1618: 1.3121616925311854e-08
Position 2869: 1.2667189399487414e-08
Position 287: 1.1286953332015382e-08
Position 2234: 6.222307883061786e-09
Position 2844: 6.166948267204943e-09
Position 3145: 5.6267515214506105e-09
Position 1211: 4.678355956101408e-09
Position 669: 2.1127667287648904e-09
Position 2793: 2.042850290771955e-09
Position 2552: 1.6286848166393934e-09
Position 768: 1.119607491677485e-09
Position 2062: 9.288311458341504e-10
Position 1045: 7.013626777599585e-10
Position 957: 6.915309004311198e-10
Position 1262: 6.6854818257053e-10
Position 2289: 6.305717651796453e-10
Position 2810: 5.235464774834377e-10
Position 3077: 2.4085782165739004e-10
Position 60: 1.2780851968252024e-10
Position 1391: 2.0188492860081135e-12
Position 1455: 1.74294470728277e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2092: 0.9942159387580968
Position 2974: 0.9752353695031157
Position 1831: 0.46499296285847347
Position 2810: 0.16404571194654036
Position 2731: 0.03346313907989592
