Gene = Cpr23B
index = 1091
Annotated 5SS: [75]
Annotated 3SS: [145]
SMsplice 5SS: [75]
SMsplice 3SS: [145]
top_k =  1000
Partition function (log Z): -2.22415634236249

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9997481418114819
Position 231: 0.004509281140152748
Position 680: 0.0021810030220959773
Position 541: 0.000656125435433668
Position 363: 0.0006159017214774094
Position 749: 0.0004786704471593141
Position 479: 0.00038427489680511545
Position 548: 0.00030594497400096354
Position 770: 0.00023468233783760124
Position 79: 0.00023279459294913636
Position 672: 0.00023210011796290437
Position 767: 0.0001914126743323655
Position 584: 0.0001660949144526319
Position 639: 0.00012161452072714506
Position 346: 0.00010467334445455888
Position 728: 8.378045496450136e-05
Position 677: 7.904902017192268e-05
Position 518: 3.630783338134717e-05
Position 545: 2.4233071558041756e-05
Position 374: 1.8915071237207317e-05
Position 82: 7.943183195997004e-06
Position 326: 6.723212016705088e-06
Position 532: 6.019354537060803e-06
Position 482: 5.065292998095466e-06
Position 800: 2.6978632025749454e-06
Position 779: 2.34598173193975e-06
Position 903: 1.95388798023233e-06
Position 408: 1.8855387382143765e-06
Position 7: 1.5859192263028983e-06
Position 1029: 9.317690568163507e-07
Position 620: 8.410839499154725e-07
Position 240: 6.231003314003188e-07
Position 235: 4.2387520547354756e-07
Position 965: 4.225037302469499e-07
Position 372: 3.8777705240396287e-07
Position 1043: 3.6572727344295237e-07
Position 865: 3.454837513277791e-07
Position 22: 3.1130035563517757e-07
Position 193: 3.096130890741856e-07
Position 1052: 2.8542102325604533e-07
Position 821: 2.1369410357702387e-07
Position 136: 1.5286521447405196e-07
Position 927: 1.29367360730116e-07
Position 803: 1.0556264203587996e-07
Position 428: 7.823316676068355e-08
Position 869: 2.8932818169202272e-08
Position 945: 6.72661031436888e-09
Position 452: 5.394410758371255e-11
Position 557: 2.482940206318454e-11
Position 160: 1.431382626517965e-11
Position 145: 6.875637089950253e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 145: 0.9985708646757011
Position 820: 0.0059600681994835345
Position 397: 0.002406264454287393
Position 183: 0.0011347455603040318
Position 600: 0.0008496199154707896
Position 469: 0.00028568503653700404
Position 279: 0.00022084192569094991
Position 606: 0.00021271765618299983
Position 360: 0.00018810121810768025
Position 301: 0.00018066474340545612
Position 796: 0.00012326603923213726
Position 696: 8.655687415072272e-05
Position 829: 3.391199973306297e-05
Position 499: 2.6511677070890162e-05
Position 339: 2.6434924552398986e-05
Position 1103: 1.5634894650061726e-05
Position 568: 1.2984784075784071e-05
Position 496: 1.2776796801940411e-05
Position 721: 1.219440060548344e-05
Position 502: 1.1849542474486717e-05
Position 214: 1.0314543406699331e-05
Position 552: 8.884108527322578e-06
Position 574: 8.628172799331279e-06
Position 188: 8.361909327553255e-06
Position 211: 5.640301888474796e-06
Position 408: 5.0992045799322885e-06
Position 649: 4.573418555431319e-06
Position 865: 4.346112617091651e-06
Position 652: 4.220461701479982e-06
Position 990: 3.6923203753603046e-06
Position 379: 2.2613891349350746e-06
Position 466: 2.138020794973875e-06
Position 532: 2.0368350620504625e-06
Position 899: 1.7378794355620972e-06
Position 1010: 1.0040422480204086e-06
Position 657: 6.287116741645907e-07
Position 505: 2.6181754824561287e-07
Position 985: 2.533286730984517e-07
Position 529: 2.5074690028415215e-07
Position 193: 2.3991286287906915e-07
Position 902: 2.3412974910288955e-07
Position 583: 1.345790944240934e-07
Position 231: 1.2912956874011744e-07
Position 240: 1.0635499644272256e-07
Position 372: 9.26977253580071e-08
Position 220: 8.01278409125554e-08
Position 346: 7.449559978944524e-08
Position 208: 3.646332140394199e-08
Position 69: 2.5319373427943924e-08
Position 62: 2.887080943805576e-09
Position 508: 1.2316177654120682e-11
Position 478: 1.1675073928329858e-11
Position 74: 7.391997550784021e-13
Position 89: 6.888769602619682e-13
Position 250: 3.3616674537860363e-13
Position 261: 3.287003460228108e-14
Position 97: 3.880822852642752e-15
Position 79: 2.8798641858374966e-16
