Gene = Tig
index = 1561
Annotated 5SS: [ 183 1051 4625 5653 7754]
Annotated 3SS: [ 789 1358 4692 5725 7811]
SMsplice 5SS: [ 183 1051 2198 4625 5653 7754]
SMsplice 3SS: [ 789 1358 4330 4692 5725 7811]
top_k =  1000
Partition function (log Z): 11.020397058251676

Sorted 5' Splice Sites (High to Low Probability):
Position 5653: 0.9982033287030444
Position 1051: 0.9920558733198293
Position 4625: 0.9906840012637432
Position 7754: 0.8756865541722656
Position 183: 0.7623042293030267
Position 2198: 0.7404657595404984
Position 1559: 0.16656385613571514
Position 65: 0.14013143349829588
Position 7914: 0.11815633759137083
Position 7932: 0.04481744015709904
Position 2391: 0.03673969971764121
Position 703: 0.0313847936388875
Position 4241: 0.018327052364114166
Position 1288: 0.016773760151603
Position 3311: 0.012274591072304563
Position 1607: 0.010443868433770629
Position 6939: 0.009542079513704498
Position 6895: 0.009008190075775304
Position 1634: 0.006492528585007683
Position 2473: 0.006220976535314879
Position 3143: 0.005995181803029689
Position 6648: 0.00595710211143039
Position 1814: 0.005951739586485551
Position 231: 0.005691478904407896
Position 74: 0.004921240040526182
Position 6194: 0.0039379433252270685
Position 518: 0.0036194222738362733
Position 4902: 0.0032956637058345443
Position 6605: 0.0032802956718438925
Position 5791: 0.00320970053690667
Position 83: 0.0027129490618209282
Position 7877: 0.002619733330106459
Position 7157: 0.002570366344082569
Position 171: 0.002386931098904771
Position 1136: 0.0023357311886966557
Position 1188: 0.002229009941841166
Position 1304: 0.00219660035207757
Position 6527: 0.0021865350636352237
Position 4281: 0.0020997577756037824
Position 4777: 0.0020184741722096724
Position 963: 0.0020092053456893487
Position 1985: 0.0019939155274595138
Position 7911: 0.0018942388933949064
Position 6522: 0.0015170750671690497
Position 5641: 0.0014857339555852896
Position 227: 0.0014664975632401858
Position 6315: 0.0013795143512263062
Position 5816: 0.0013216730690911154
Position 1267: 0.0013056018600728072
Position 5243: 0.001261852928320269
Position 7918: 0.0012534610237418412
Position 6321: 0.0012475461516580496
Position 630: 0.0011417653494307678
Position 1238: 0.001113351567429521
Position 511: 0.0010666627512005407
Position 6199: 0.0008411721181006673
Position 4629: 0.0008379811504541365
Position 7154: 0.0008243021671367313
