Gene = Pfas
index = 1373
Annotated 5SS: [ 130 1623 3976]
Annotated 3SS: [ 523 1698 4038]
SMsplice 5SS: [ 130 1623 3976]
SMsplice 3SS: [ 523 1698 4038]
top_k =  1000
Partition function (log Z): -2.788883025777756

Sorted 5' Splice Sites (High to Low Probability):
Position 1623: 0.9920590856652938
Position 3976: 0.8776136497117143
Position 130: 0.565123603236086
Position 3066: 0.13072403821503367
Position 2720: 0.12452740262429476
Position 92: 0.11707341530757316
Position 3988: 0.10980384095344776
Position 2522: 0.09011757717418921
Position 3073: 0.07561885000726273
Position 353: 0.0507269759139926
Position 1966: 0.03709148899229563
Position 157: 0.035925289703374504
Position 1886: 0.031724564185201504
Position 378: 0.028725974038957033
Position 952: 0.023885758488114316
Position 3094: 0.014648699955613131
Position 783: 0.010410828918901644
Position 384: 0.010336250458308594
Position 878: 0.008815843943352365
Position 3144: 0.008753296344928408
Position 1430: 0.008729920416899963
Position 1083: 0.008445663991364337
Position 114: 0.008204039319403778
Position 1376: 0.008113701361200267
Position 2809: 0.005913186639562323
Position 2010: 0.005302523967226993
Position 2682: 0.0033758805198183966
Position 4372: 0.0032654568283852063
Position 357: 0.0031068940711749837
Position 4473: 0.0026692008396778525
Position 489: 0.0023341341602643004
Position 136: 0.002024326868735159
Position 4417: 0.001798794145753837
Position 142: 0.0017065724057826282
Position 375: 0.0015602470519008572
Position 2427: 0.0015326565146876493
Position 2124: 0.0013956266259464454
Position 280: 0.001277465984530829
Position 2656: 0.0012733318573312274
Position 1227: 0.0010087719381135
Position 4266: 0.0009969839166085355
Position 707: 0.0008745706104309906
Position 335: 0.000846333180753704
Position 2552: 0.0007975921859932365
Position 128: 0.0007970111065367224
Position 3429: 0.0007178959595313341
Position 4497: 0.0006892649642464856
Position 212: 0.0006628763393885076
Position 360: 0.0006615571379888114
Position 1997: 0.0006414369170834474
Position 480: 0.0006326845042472595
Position 2724: 0.0006064845372070174
Position 2504: 0.0005142675894102457
Position 409: 0.0004979466040142211
Position 40: 0.0004821335736408784
Position 1764: 0.00044035440242511223
Position 628: 0.0004251099135361458
Position 2858: 0.0004160034162738388
Position 166: 0.00039534376457121964
Position 216: 0.0003908381611095526
Position 2496: 0.00037695980402923784
Position 3942: 0.00034851230644450355
Position 493: 0.0003372976508817758
Position 2698: 0.00031358562959460124
Position 661: 0.00031055293293804487
Position 393: 0.0003042080493950657
Position 134: 0.00029917704647288015
Position 2759: 0.0002875375684645566
Position 206: 0.00026311325765419674
Position 116: 0.00024025705544044736
Position 4163: 0.00021689768629391993
Position 1260: 0.00018328201310123914
Position 367: 0.00017471961628545257
Position 2297: 0.0001715736823777485
Position 787: 0.000170847816698713
Position 2409: 0.00015571993551572548
Position 4622: 0.00014159741887619196
Position 2588: 0.000132395807126977
Position 2694: 0.0001210840624015563
Position 601: 0.00010856995869598631
Position 4386: 9.429242151909454e-05
Position 430: 9.2403287985233e-05
Position 4313: 9.078615904807669e-05
Position 427: 8.507455430570028e-05
Position 4401: 7.565124299928805e-05
Position 37: 6.733615301237429e-05
Position 2302: 5.241660989883732e-05
Position 3898: 4.905777478719417e-05
Position 716: 4.868966114373529e-05
Position 1265: 4.7764146760933774e-05
Position 810: 4.441504397625947e-05
Position 632: 4.3637885401765816e-05
Position 1890: 4.2542633936423904e-05
Position 1712: 4.088646536072002e-05
Position 2471: 3.621344294389044e-05
Position 1351: 3.446008068175063e-05
Position 4180: 2.915015918450515e-05
Position 369: 2.8987159449696995e-05
Position 1450: 2.8168993083139782e-05
Position 283: 2.7870443113124355e-05
Position 4460: 2.3769059503827723e-05
Position 1599: 2.2858183401778594e-05
Position 1645: 2.21710427478732e-05
Position 597: 1.856380066378151e-05
Position 4715: 1.4562857052031269e-05
Position 2605: 1.2534880980480475e-05
Position 868: 1.2150925417765846e-05
Position 2652: 1.196245715290562e-05
Position 292: 1.039974953094892e-05
Position 4488: 1.0353735950535465e-05
Position 778: 9.869386282204548e-06
Position 3473: 9.140574248887307e-06
Position 2309: 8.868243499327063e-06
Position 4537: 8.219862968534201e-06
Position 623: 6.779733713350097e-06
Position 626: 6.6901387712667085e-06
Position 769: 5.5741115778420995e-06
Position 513: 5.516302439460414e-06
Position 1808: 5.308345018801243e-06
Position 911: 5.239627753293802e-06
Position 4335: 4.930556465022588e-06
Position 3226: 4.177289229598211e-06
Position 4183: 4.127980031869064e-06
Position 4191: 4.060799849947904e-06
Position 2079: 3.943205540426792e-06
Position 2480: 3.40857031189754e-06
Position 3665: 3.217889465823952e-06
Position 2121: 2.57124296538321e-06
Position 4678: 2.3822959425170856e-06
Position 2406: 2.221158171278046e-06
Position 1831: 1.8022995957122715e-06
Position 1601: 1.4749869463927043e-06
Position 1821: 1.197840114789422e-06
Position 2119: 1.1922030351166177e-06
Position 1912: 9.756631233033295e-07
Position 2014: 9.314433432044589e-07
