Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  1000
Partition function (log Z): -3.7827815041652353

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9740663186569803
Position 266: 0.7886715726826494
Position 2361: 0.11680797966322805
Position 3528: 0.08229141321688654
Position 217: 0.034058631548606076
Position 1118: 0.025773159010070084
Position 2079: 0.020417101926549382
Position 48: 0.01854382167657959
Position 716: 0.012871615507238759
Position 3050: 0.011387713691757985
Position 3256: 0.01098704525170423
Position 3343: 0.009196632610572903
Position 230: 0.0055236965134066885
Position 2833: 0.005504734411845303
Position 560: 0.005481351573845889
Position 988: 0.0053140541481928455
Position 637: 0.005176800273935646
Position 558: 0.00497942809372116
Position 645: 0.004845123185524039
Position 1009: 0.004677955197217096
Position 562: 0.004153399237215642
Position 813: 0.004016849202021331
Position 564: 0.003352886135973112
Position 296: 0.00257128749256515
Position 595: 0.0025059862021660313
Position 566: 0.0025005353974649038
Position 3137: 0.002446592083606547
Position 641: 0.0024461898860606924
Position 639: 0.0020886053021515476
Position 1272: 0.0018145358049267456
Position 2294: 0.0016471335306660064
Position 1126: 0.0015580922914349472
Position 1417: 0.001438827065607582
Position 581: 0.001270610163877358
Position 1114: 0.0011694646845312282
Position 2873: 0.0010901258015911057
Position 991: 0.0010406071171265283
Position 2475: 0.0009838353899533417
Position 3323: 0.0009361876976258668
Position 886: 0.0008581350922607822
Position 1027: 0.000851736494921293
Position 3003: 0.0008297720486053942
Position 1013: 0.0006249623771252112
Position 3266: 0.000624168659577853
Position 1479: 0.0006224241226009574
Position 1170: 0.00058537235854118
Position 326: 0.0005452972056016426
Position 2533: 0.00047438969623921074
Position 1188: 0.00044858304259366895
Position 3428: 0.0004155830789912394
Position 1366: 0.00039775408261867037
Position 165: 0.00039223721456297154
Position 508: 0.0003269253474036657
Position 625: 0.0003069909722804426
Position 430: 0.0002682841111641207
Position 1914: 0.0002652323437961855
Position 903: 0.0002626155729648908
Position 3475: 0.0002014823886552692
Position 1268: 0.00018791420285116852
Position 2546: 0.00018582410705935264
