Gene = chb
index = 1645
Annotated 5SS: [193]
Annotated 3SS: [5243]
SMsplice 5SS: [  193  5352 10157]
SMsplice 3SS: [ 5243  9953 10217]
top_k =  1000
Partition function (log Z): -10.589335861074607

Sorted 5' Splice Sites (High to Low Probability):
Position 193: 0.9669088273073889
Position 5352: 0.6934995044090516
Position 10157: 0.5106901599141838
Position 4593: 0.0908230831848432
Position 10107: 0.05551482271578884
Position 4588: 0.032566385861178895
Position 9427: 0.026604484010265026
Position 5709: 0.025925921901639636
Position 4950: 0.02093669906304691
Position 933: 0.01559235199041427
Position 4931: 0.014040563892577839
Position 9842: 0.013748687737738064
Position 3676: 0.012225704726899492
Position 5090: 0.010822387793874226
Position 71: 0.010130614170736648
Position 4874: 0.008728839666863311
Position 585: 0.007033289625722222
Position 10001: 0.006256679786188049
Position 5437: 0.006053159920340495
Position 4169: 0.002270453485144172
Position 10044: 0.002229034301772904
Position 10307: 0.0021703212693184723
Position 938: 0.0016065852150173958
Position 2038: 0.0015686527174184248
Position 7680: 0.0015127370495922876
Position 3684: 0.001508742728827382
Position 4601: 0.0014992825162163062
Position 197: 0.001268303583527979
Position 3700: 0.001217281021064373
Position 689: 0.0011923853468636671
Position 1585: 0.0011680543595176424
Position 7059: 0.0010957396649545822
Position 5138: 0.000988581402855558
Position 4839: 0.0009694916966288568
Position 149: 0.0009558169333031918
Position 7321: 0.0009106957925371884
Position 3688: 0.0009001486494330975
Position 5373: 0.0008742497104935572
Position 4534: 0.0008419770541677185
Position 1678: 0.0006910898038985707
Position 1178: 0.0006660280372691227
Position 823: 0.0005847483947622432
Position 4512: 0.0005456472436211872
Position 1432: 0.0005136109812808899
Position 763: 0.0004987563643585313
Position 7720: 0.0004803987865096774
Position 1331: 0.0004162342863503749
Position 7009: 0.0003413628237622768
Position 494: 0.00032842699941547967
Position 488: 0.00032183050083384884
Position 942: 0.00029350586472804633
Position 3888: 0.0002697150998557733
Position 7624: 0.0002545744347125853
Position 827: 0.00023625041484964422
Position 4173: 0.00023303009319707087
Position 831: 0.00022153764934818476
Position 3893: 0.00019504289175103001
Position 2009: 0.0001869078414560129
Position 748: 0.0001796680611652156
Position 8740: 0.00017578665123687398
Position 3680: 0.0001699045018943077
Position 4969: 0.0001588468109887893
Position 3261: 0.00015416577025401798
Position 703: 0.00013644205628988906
Position 8436: 0.0001346459953612294
Position 3694: 0.0001147551687768348
Position 288: 0.00011358517770525111
Position 2938: 9.543311565576992e-05
Position 1655: 8.800850003938643e-05
Position 899: 8.589238873968287e-05
Position 2147: 8.255041268470412e-05
Position 6575: 8.202623780943164e-05
Position 989: 7.744867808766177e-05
Position 2050: 5.8932228390184936e-05
Position 4904: 5.478213739784521e-05
Position 3453: 4.832727950947618e-05
Position 4100: 4.557958232695032e-05
Position 6543: 3.520292805600774e-05
Position 3312: 3.484375525800413e-05
Position 6156: 3.46958519135724e-05
Position 168: 3.239543732658012e-05
Position 1060: 3.1958617050178715e-05
Position 2934: 3.1872574711306684e-05
Position 349: 3.115869724986305e-05
Position 5753: 2.9785918258112794e-05
Position 3175: 2.9290961276738665e-05
Position 4748: 2.654082917890647e-05
Position 881: 2.395244014732703e-05
Position 127: 2.2545395057209922e-05
Position 161: 2.2418419461886077e-05
Position 1338: 2.1746765911763406e-05
Position 1535: 2.0956543424948765e-05
Position 6126: 1.8931525391177045e-05
Position 2471: 1.77385119944418e-05
Position 4538: 1.6732667406150597e-05
Position 3932: 1.4543266338416258e-05
Position 657: 1.3449858450845004e-05
Position 302: 1.2697404594926053e-05
Position 1043: 1.2494005501323798e-05
Position 3228: 1.0816849107533899e-05
Position 3982: 3.9897688693748315e-06
Position 3969: 3.5678224123385806e-06
Position 6423: 2.3688662676789033e-06
Position 512: 2.596571539316514e-07
Position 599: 8.663425882258316e-08
Position 423: 5.788310451001674e-08
Position 318: 5.534405827617613e-08
Position 243: 2.005830491852878e-08
Position 183: 1.3930353160201715e-08
Position 19: 1.3712828206316684e-08
Position 548: 1.3069140315061162e-08
Position 450: 1.2374089795782354e-08
Position 125: 1.1274061631229936e-08
Position 5829: 1.0480031902227949e-08
Position 471: 9.601267966952755e-09
Position 1182: 6.310394553040465e-09
Position 874: 6.217070119371263e-09
Position 1107: 3.8151491150692225e-09
Position 1322: 2.526336841849005e-09
Position 1097: 2.3835388409357555e-09
Position 270: 4.2248498188014356e-10
Position 106: 7.316547147231052e-11
Position 572: 2.1302092138128815e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10217: 0.8033500263687258
Position 5243: 0.727421673263455
Position 9953: 0.6650093986376155
Position 4426: 0.06116529881303816
Position 4296: 0.06108442028927605
Position 4667: 0.041862593006286745
Position 9950: 0.026403886741230866
Position 9285: 0.019805597396317574
Position 8594: 0.016664566538631406
Position 4482: 0.013157106985914675
Position 3014: 0.012423480880523226
Position 10410: 0.006491216219464915
Position 9325: 0.00645559985085965
Position 7087: 0.006435248938989467
Position 270: 0.0061484656885802255
Position 10104: 0.005954746734511993
Position 5252: 0.0057724736723684476
Position 7744: 0.0054342819766382885
Position 4647: 0.0050745796557289296
Position 7124: 0.004438131646598413
Position 8144: 0.0041142063220302155
Position 4238: 0.004018204735343964
Position 10367: 0.003951041153849733
Position 10073: 0.003902842958594577
Position 9458: 0.0038555343399213466
Position 3792: 0.0036852568416129465
Position 133: 0.003353654418109691
Position 9157: 0.0031497203581413867
Position 4039: 0.002142896458767994
Position 7455: 0.0015319409578798547
Position 8150: 0.0015166416537529084
Position 771: 0.001401560971320855
Position 8789: 0.001386257848537858
Position 2850: 0.001296682221217702
Position 8645: 0.0012594463033175313
Position 10421: 0.001229599485229764
Position 10161: 0.0011915570634859027
Position 10123: 0.0009127934580015317
Position 6861: 0.0008970909612614316
Position 3247: 0.000839958461705575
Position 5201: 0.0008367248269673571
Position 4008: 0.0008310536478759725
Position 6181: 0.0007819241607805787
Position 6644: 0.0007734669054968914
