Gene = Eaf6
index = 1146
Annotated 5SS: [214 495 749]
Annotated 3SS: [280 616 834]
SMsplice 5SS: [214 495 749]
SMsplice 3SS: [280 616 834]
top_k =  1000
Partition function (log Z): 6.130981161235536

Sorted 5' Splice Sites (High to Low Probability):
Position 749: 0.9983398963775023
Position 495: 0.9935500524448106
Position 214: 0.9658720624605303
Position 499: 0.0011608899419624733
Position 1033: 0.0010788081475085623
Position 565: 0.0007072862042611281
Position 1070: 0.00046853493662061987
Position 533: 0.0003127120592793169
Position 563: 0.00010069066581324339
Position 463: 9.762329216835571e-05
Position 433: 5.5719032328072124e-05
Position 597: 3.397430295803113e-05
Position 967: 2.1197429805030986e-05
Position 83: 6.949860051970221e-06
Position 1031: 6.540388289360296e-06
Position 518: 5.742316482510301e-06
Position 898: 5.532524651154401e-06
Position 520: 4.695408795358491e-06
Position 349: 2.942825138025048e-06
Position 177: 2.935217730474933e-06
Position 531: 2.6210664374552644e-06
Position 346: 1.8722542961901196e-06
Position 988: 1.4089128799638462e-06
Position 867: 1.0188917295108249e-06
Position 801: 1.016183098833986e-06
Position 91: 6.086786949723649e-07
Position 454: 5.374243377711234e-07
Position 864: 4.6044270656519235e-07
Position 10: 4.456341160226365e-07
Position 123: 3.4602437340411535e-07
Position 40: 2.2132087011475124e-07
Position 18: 2.0445774883962713e-07
Position 879: 1.4316177755149114e-07
Position 881: 1.6700183772464034e-08
Position 583: 1.1095984936093549e-08
Position 601: 8.855986679014897e-09
Position 265: 4.187088932704023e-09
Position 809: 8.631766698077106e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 834: 0.9991921715226458
Position 280: 0.9594498555123685
Position 616: 0.8697949609081329
Position 583: 0.09514086471759622
Position 561: 0.014506606368974087
Position 545: 0.010059852866866056
Position 655: 0.003711887958050362
Position 307: 0.0030381263877994735
Position 558: 0.0017059745478692973
Position 1125: 0.0011587639688107774
Position 687: 0.000975003052026035
Position 397: 0.0006186129949101385
Position 672: 0.0005240055129707087
Position 335: 0.00041122918589976237
Position 662: 0.0003834202664552494
Position 1102: 0.0003699505279747125
Position 346: 0.00019486625932525035
Position 796: 0.0001538344666591173
Position 898: 0.00013098958856863993
Position 1111: 7.81873567717376e-05
Position 967: 6.313044367122911e-05
Position 862: 5.3746814743485314e-05
Position 301: 3.957844585318543e-05
Position 867: 2.5852216998841153e-05
Position 629: 2.2176673517047996e-05
Position 412: 1.2943381158057244e-05
Position 801: 8.48001206483426e-06
Position 151: 5.844714614627867e-06
Position 621: 3.7790788650855404e-06
Position 857: 3.0071972699416e-06
Position 597: 1.2058472937233986e-06
Position 421: 1.1747074119555305e-06
Position 944: 8.760446440751992e-07
Position 468: 8.642902913179712e-07
Position 463: 6.343445441748936e-07
Position 247: 4.555357363006084e-07
Position 95: 3.766121207478578e-07
Position 911: 3.5758483047446e-07
Position 1070: 3.137480422466856e-07
Position 726: 2.884214579317528e-07
Position 433: 2.547225561366656e-07
Position 439: 1.9176487918485105e-07
Position 975: 1.741542444921179e-07
Position 376: 1.1550024197832924e-07
Position 114: 9.545495956035739e-08
Position 322: 8.927133976774314e-08
Position 1052: 8.54825649369315e-08
Position 783: 8.521572351478073e-08
Position 739: 8.33194153774104e-08
Position 442: 4.3201435709943676e-08
Position 337: 4.131790684892517e-08
Position 123: 3.295088090624373e-08
Position 747: 3.2405058823562687e-08
Position 980: 2.6451483473636563e-08
Position 83: 2.3882591512190336e-08
Position 1001: 2.293030152064026e-08
Position 946: 1.9685903692949138e-08
Position 137: 1.22464174956017e-08
Position 368: 1.1129926770326513e-08
Position 448: 1.0747240525336004e-08
Position 1004: 9.609061014974282e-09
Position 120: 6.649041275948123e-09
Position 985: 4.690632586147031e-09
Position 499: 3.979527803061381e-09
Position 177: 1.133594786532012e-09
Position 52: 1.0576665076621323e-09
Position 71: 9.897820568494872e-10
Position 728: 6.129280003105994e-10
Position 903: 1.842151433700676e-10
Position 753: 1.566116389678732e-10
Position 195: 1.2117350143024458e-10
Position 198: 6.194637926603465e-11
Position 201: 4.8247523514541134e-11
Position 762: 1.0891458416217881e-14
Position 218: 2.5624036040523827e-16
