Gene = Muc68D
index = 1292
Annotated 5SS: [26]
Annotated 3SS: [82]
SMsplice 5SS: [26]
SMsplice 3SS: [82]
top_k =  1000
Partition function (log Z): -10.197616353451206

Sorted 5' Splice Sites (High to Low Probability):
Position 26: 0.9724536504810507
Position 797: 0.3616337528069148
Position 607: 0.03409233290509861
Position 662: 0.030664259900999385
Position 334: 0.02785409524221681
Position 1313: 0.024694370811427287
Position 1280: 0.024373769657436543
Position 989: 0.0174891216198383
Position 1295: 0.014407168321436122
Position 192: 0.012745221726004686
Position 4235: 0.01001672672147122
Position 209: 0.007801003002877889
Position 1517: 0.007232116486867448
Position 1415: 0.005769858536467638
Position 1922: 0.0057664026981229305
Position 3485: 0.004465528224513515
Position 3599: 0.0041393298037142616
Position 977: 0.004011620567080149
Position 22: 0.0032281164849634436
Position 1499: 0.0031380613402722055
Position 275: 0.003136912313874688
Position 1484: 0.0028141871331276024
Position 1703: 0.0026261674189717674
Position 410: 0.0024348456849043656
Position 1586: 0.0024240030389308183
Position 2222: 0.002190886986301247
Position 2204: 0.0021811079081447415
Position 844: 0.002153484924138059
Position 2090: 0.002148467215913158
Position 2387: 0.002091018659969415
Position 1397: 0.0020584270551818233
Position 36: 0.0019985231067195268
Position 1889: 0.001986403942586748
Position 1382: 0.001955570615523687
Position 1178: 0.0018795626959689385
Position 1787: 0.0018192366090874295
Position 1952: 0.001802694757090753
Position 2189: 0.001659327390247912
Position 1688: 0.001260811980032499
Position 3713: 0.0011910071824847211
Position 1076: 0.0011867895944979389
Position 2888: 0.001034688534450926
Position 2105: 0.0009274828949785046
Position 2402: 0.0007522166804228939
Position 1991: 0.0006811372105469677
Position 2123: 0.0006803391613736699
Position 785: 0.0006751935406495673
Position 30: 0.0006281725089596348
Position 277: 0.0006178999599083231
Position 2420: 0.0005980293853774235
Position 252: 0.0005959871494171474
Position 3188: 0.0005287133610815646
Position 2687: 0.0005269506988156866
Position 2006: 0.0005012211257585101
Position 2519: 0.0004935618286009864
Position 5: 0.0004903682479734134
Position 2486: 0.0003563932397659297
Position 414: 0.0003445902644418727
Position 2987: 0.00033067100554376656
Position 1211: 0.00023589899870973626
Position 1091: 0.0001868074977576085
Position 596: 0.00017535348843817836
Position 2288: 0.00015944088917723123
Position 1193: 0.00015417331800261427
Position 1047: 0.00013632755044354916
Position 1619: 0.0001349363817083217
Position 1240: 0.00012582266847495306
