Gene = ecd
index = 1690
Annotated 5SS: [362]
Annotated 3SS: [434]
SMsplice 5SS: [362]
SMsplice 3SS: [434]
top_k =  1000
Partition function (log Z): -10.320591608755587

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.9338980959671026
Position 232: 0.03320384576702248
Position 554: 0.017267582518488273
Position 1866: 0.011286001392329714
Position 375: 0.009224547729609879
Position 1004: 0.007359380379370791
Position 650: 0.0071095502012967
Position 292: 0.00707795740576785
Position 732: 0.006272377155085181
Position 496: 0.0046796024500141515
Position 169: 0.003711594362424199
Position 138: 0.002510898232192423
Position 2063: 0.0022035412981921427
Position 628: 0.0011376858970687023
Position 616: 0.0007615053415859984
Position 1697: 0.000629430052573105
Position 654: 0.0005083136508552048
Position 754: 0.00048737914659784077
Position 845: 0.0004776176646898405
Position 1307: 0.0004237420486362911
Position 778: 0.0002972732843812126
Position 911: 0.0002577935221840321
Position 111: 0.00020728557993039237
Position 1896: 0.00017737249954808605
Position 781: 0.000167016993359625
Position 992: 0.0001317127235502478
Position 1796: 0.0001277579905878196
Position 1024: 8.367252668854309e-05
Position 1674: 6.298908383819506e-05
Position 641: 3.429607350286265e-05
Position 1309: 1.931720855953083e-05
Position 493: 1.74856751646813e-05
Position 133: 1.7310394316834374e-05
Position 1020: 1.638993319875782e-05
Position 392: 1.4268754834819488e-05
Position 243: 1.154957610286856e-05
Position 1456: 1.0906870696319879e-05
Position 725: 1.0785838888706861e-05
Position 1775: 1.035289672660725e-05
Position 461: 9.791778518733417e-06
Position 1332: 6.967742956488017e-06
Position 657: 3.739922196570221e-06
Position 528: 3.69078484030872e-06
Position 500: 3.4832990549121456e-06
Position 115: 1.763770702289602e-06
Position 503: 1.3471345598054938e-07
Position 1178: 1.316445979481824e-07
Position 574: 7.357193093916865e-08
Position 17: 5.913529138612203e-08
Position 1008: 5.794853837991552e-08
Position 805: 3.215672321190038e-08
Position 24: 2.7742814738716507e-08
Position 279: 1.5881385709004378e-08
Position 26: 2.0349730441618095e-09
Position 264: 6.236030773150406e-10
Position 423: 7.771022924353323e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 434: 0.8676421404053116
Position 844: 0.08308447391423325
Position 1918: 0.03226952582777956
Position 1939: 0.01953707236581169
Position 2139: 0.009775416496291597
Position 291: 0.006845362905445575
Position 769: 0.005380449296628054
Position 1048: 0.0036181182033986365
Position 2104: 0.003049204269988031
Position 915: 0.0020223894405771007
Position 1045: 0.001845766887132687
Position 486: 0.0015816496922346941
Position 207: 0.0014367337236634908
Position 1388: 0.0012863789704209492
Position 1495: 0.0012677297651953036
Position 1135: 0.0012606301967464384
Position 1063: 0.0012066518629234074
Position 285: 0.0008152769195384653
Position 1750: 0.0008093833439913665
Position 520: 0.0007257997848244598
Position 1327: 0.0007148398745662233
Position 236: 0.0007035211021066153
Position 2117: 0.0006432684762021304
Position 889: 0.0006024288839686777
Position 874: 0.0004715470866932651
Position 1666: 0.0003790749563929106
Position 250: 0.00026661200972409826
Position 811: 0.00022226631961741946
Position 1682: 0.00016908540469363822
Position 637: 0.0001582298813590092
Position 1889: 0.00015725574948696628
Position 886: 0.00015015648205142504
Position 1343: 0.0001423802745894004
Position 1960: 0.00013880972759279322
Position 1564: 0.00013120964104900042
Position 693: 0.00012446186656058157
Position 279: 0.00010882387854748992
Position 667: 0.0001050575376336894
Position 1192: 8.993629450759637e-05
Position 1580: 8.542567832467981e-05
Position 676: 8.041462206088892e-05
Position 1516: 7.709732989915962e-05
Position 174: 6.580232030097605e-05
Position 864: 6.305268766789299e-05
Position 1467: 5.472823415892132e-05
Position 1174: 5.156630711026716e-05
Position 1435: 4.6807190389956046e-05
Position 2091: 4.3967876549717895e-05
Position 1114: 4.326079834421994e-05
Position 387: 4.125791538717969e-05
Position 1588: 3.9568470800798505e-05
Position 1993: 3.0216102338028304e-05
Position 802: 3.0149086081351966e-05
Position 805: 2.391335543948076e-05
Position 1723: 2.3782950661146104e-05
Position 1350: 2.299072103401304e-05
Position 690: 2.201123049275004e-05
Position 257: 1.9401967914173977e-05
Position 156: 1.8737171066691066e-05
Position 778: 1.2621429870967303e-05
Position 1936: 1.1895248112749091e-05
Position 2008: 1.0749506590012025e-05
Position 273: 9.006303866796984e-06
Position 982: 8.314104301469958e-06
Position 1696: 7.143914961261964e-06
Position 1549: 6.3636841813230176e-06
Position 243: 5.770097451732008e-06
Position 1513: 5.5199995824048555e-06
Position 894: 4.925811304213176e-06
Position 1279: 4.648589775555938e-06
Position 1198: 4.524394791381236e-06
Position 589: 4.126262800779587e-06
Position 820: 3.9546367651362195e-06
Position 1143: 3.879702718148495e-06
Position 949: 3.143201112340815e-06
Position 2221: 2.8471983497756605e-06
Position 574: 2.713936255646603e-06
Position 351: 1.7526893706826235e-07
Position 312: 1.745343566887073e-07
Position 219: 1.5337299509107474e-07
Position 180: 1.4856270190569295e-07
Position 296: 3.364224358661505e-08
Position 61: 1.8042140120546452e-08
Position 97: 1.0249144584548939e-08
Position 348: 9.38835552523635e-09
Position 493: 4.099774159176857e-09
Position 345: 3.108496646490428e-09
Position 101: 2.297389664498748e-09
Position 73: 2.2960614422616018e-09
Position 64: 1.3246328493668614e-09
Position 330: 1.196395838460854e-09
Position 315: 8.313271016211336e-10
Position 123: 7.396291070105561e-10
Position 90: 1.280349361747529e-10
Position 80: 4.473879109397666e-11
Position 126: 2.0360031266606858e-11
Position 634: 5.558119659687392e-12
Position 67: 2.406093057081229e-12
Position 111: 9.346557303266014e-13
Position 252: 5.581307549760138e-13
Position 333: 5.517518708830472e-13
Position 86: 1.1566811430576011e-13
Position 138: 9.230965128612556e-14
Position 558: 3.147139198234117e-14
