Gene = UQCR-C2
index = 1580
Annotated 5SS: [321 599 959]
Annotated 3SS: [ 464  654 1060]
SMsplice 5SS: [321 599 959]
SMsplice 3SS: [ 464  654 1060]
top_k =  1000
Partition function (log Z): 4.494050906423203

Sorted 5' Splice Sites (High to Low Probability):
Position 599: 0.9978185478404268
Position 959: 0.9888496538373495
Position 321: 0.768645910843307
Position 387: 0.05524575495310885
Position 773: 0.041152357998559846
Position 10: 0.032029901799543924
Position 197: 0.003401038748947077
Position 347: 0.00265310481072072
Position 1303: 0.0016651002835558117
Position 382: 0.0015924429740408418
Position 780: 0.000913202740152432
Position 224: 0.0008272902643417597
Position 325: 0.0007938472033228663
Position 926: 0.0004829890876949135
Position 401: 0.0004788856942886209
Position 904: 0.00032637893711500435
Position 995: 0.00030948217483882753
Position 119: 0.0002790285459972526
Position 1901: 0.00026325048874560386
Position 380: 0.0002487149054972296
Position 283: 0.00020184246086426657
Position 33: 0.0002016279031583755
Position 824: 0.00018115745917489262
Position 425: 0.00016236049502437702
Position 168: 0.000141888585203892
Position 546: 0.00013953685355673454
Position 947: 0.00010576259956014659
Position 112: 0.00010316377990636094
Position 418: 8.838959760708808e-05
Position 1607: 7.233223824483191e-05
Position 591: 6.802407965305978e-05
Position 543: 6.113868903128847e-05
Position 1826: 5.523957481006173e-05
Position 582: 5.471223274549074e-05
Position 929: 5.2638052216879515e-05
Position 525: 4.9704300294677956e-05
Position 1545: 3.727990274285633e-05
Position 1217: 2.7598386212239126e-05
Position 1308: 2.234862863435308e-05
Position 158: 1.8557088430057702e-05
Position 259: 1.6206122506875992e-05
Position 812: 1.4693472116438393e-05
Position 908: 1.3920248123957777e-05
Position 1211: 1.1731333541193315e-05
Position 603: 1.1659353590308102e-05
Position 51: 1.0589500168854679e-05
Position 1704: 9.586739600484346e-06
Position 1499: 7.216813737630613e-06
Position 1520: 6.800983265488788e-06
Position 88: 6.132147884707402e-06
Position 1751: 5.523287508212749e-06
Position 1633: 5.075888964283965e-06
Position 1138: 4.905822715960131e-06
Position 1707: 4.42194436654457e-06
Position 1341: 3.9409148251602185e-06
Position 1200: 2.3768861748343055e-06
Position 1631: 2.2875229816092165e-06
Position 1621: 2.1273303015695408e-06
Position 102: 2.0913157377014826e-06
Position 1725: 1.7562413870836008e-06
Position 519: 1.1458937994755465e-06
Position 1554: 1.1343609414035525e-06
Position 573: 1.1229702950606967e-06
Position 299: 9.46653932846307e-07
Position 1874: 8.751877205095968e-07
Position 1915: 6.233882991008334e-07
Position 1549: 5.088186449259457e-07
Position 121: 4.97035699388034e-07
Position 632: 4.913984387114999e-07
Position 1696: 4.529056038853656e-07
Position 1355: 3.4113337551103435e-07
Position 1346: 2.966644262414179e-07
Position 1079: 1.6768955666370952e-07
Position 615: 1.177848484502428e-07
Position 1208: 1.0734638311971399e-07
Position 1264: 1.0025429673662601e-07
Position 708: 8.685260938249775e-08
Position 1847: 3.3403778179905213e-08
Position 673: 3.262432646012305e-08
Position 506: 3.084446929511711e-08
Position 490: 2.983427967412984e-08
Position 513: 2.8767507933001085e-08
Position 454: 1.1238806449058641e-08
Position 495: 1.0780428007538857e-08
Position 1600: 2.409738031149171e-10
Position 1595: 1.2883816396190458e-10
Position 1562: 1.1348665205642303e-10
Position 1559: 9.799271338786934e-11
Position 1349: 6.034741016526148e-11
Position 1150: 2.921239266642074e-11
Position 1335: 2.52284664209881e-11
Position 1175: 9.555308403882668e-12
Position 1511: 1.1163624748273987e-12
Position 1045: 4.352409903286825e-13
Position 1050: 1.2344573972900307e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 654: 0.9984774670882843
Position 1060: 0.9966550097606272
Position 464: 0.835895988263034
Position 65: 0.021615629852098625
Position 836: 0.020614789114203447
Position 871: 0.007081906352565193
Position 839: 0.005691967398864133
Position 1138: 0.0023937691777786083
Position 108: 0.002003774183080539
Position 102: 0.0014605948709599922
Position 401: 0.0014526732597151203
Position 429: 0.0008849469773604272
Position 1366: 0.000798709187093281
Position 239: 0.0004986513259741119
Position 1804: 0.0004944386856714662
Position 369: 0.0004879131035711179
Position 292: 0.0004530809605846489
Position 688: 0.0004310081361731943
Position 432: 0.00038605873520825256
Position 1960: 0.0003264582697349895
Position 471: 0.0002953333905094594
Position 1798: 0.0002752886984771348
Position 524: 0.00019954361897780843
Position 262: 0.0001903120977856451
Position 1420: 0.00017167934002654
Position 1390: 9.372877616562416e-05
Position 375: 8.46635319458436e-05
Position 1087: 8.36980563164006e-05
Position 1264: 7.678161884658332e-05
Position 656: 5.690965898291649e-05
Position 772: 5.624029431227917e-05
Position 1732: 5.221176686878079e-05
