Gene = l(2)35Be
index = 1744
Annotated 5SS: [226]
Annotated 3SS: [274]
SMsplice 5SS: [226]
SMsplice 3SS: [274]
top_k =  1000
Partition function (log Z): -5.013866094741088

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.999389937126718
Position 44: 0.007530519787335391
Position 164: 0.00023446195128325997
Position 168: 0.00012942127260426645
Position 230: 9.682700288571444e-05
Position 17: 7.252021114429771e-05
Position 559: 3.9736654173151576e-05
Position 700: 3.55796921698065e-05
Position 435: 2.3061983061252406e-05
Position 328: 1.9162896867839764e-05
Position 52: 1.5626732373617863e-05
Position 447: 4.6132630837275195e-06
Position 361: 4.545637206829459e-06
Position 741: 1.97257452757869e-06
Position 304: 1.9604696193112424e-06
Position 510: 1.4514523875508585e-06
Position 713: 1.3844081924764004e-06
Position 297: 8.801571447563396e-07
Position 421: 8.439110295566581e-07
Position 710: 7.079749173236553e-07
Position 126: 6.718748783282288e-07
Position 253: 6.272405777292148e-07
Position 150: 5.946516946146929e-07
Position 725: 1.3267850629206437e-07
Position 637: 1.1372598297537588e-07
Position 546: 9.590446742138723e-08
Position 612: 1.606837486475158e-08
Position 620: 7.642450761594571e-09
Position 610: 3.3962337694625026e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.606902733380086
Position 278: 0.3716962711484576
Position 355: 0.011741968328603655
Position 125: 0.007590563613366508
Position 323: 0.004027935194383557
Position 546: 0.0021287579522540714
Position 447: 0.0017280785834793355
Position 820: 0.0005751016268977627
Position 327: 0.000343876990308746
Position 312: 0.00022463530279090348
Position 435: 0.00019893434776931275
Position 510: 0.000167621630831659
Position 585: 9.064342387484089e-05
Position 797: 3.8259626938269705e-05
Position 372: 3.61701613698359e-05
Position 477: 3.4466614660415466e-05
Position 663: 3.2969867990584236e-05
Position 134: 1.029296463762498e-05
Position 672: 9.048648858012974e-06
Position 150: 7.205163495318472e-06
Position 582: 6.585349898092454e-06
Position 245: 4.9928610292764115e-06
Position 403: 4.197464020181002e-06
Position 675: 2.1317894606009575e-06
Position 741: 1.5200837895939766e-06
Position 253: 1.3236308275359498e-06
Position 131: 8.289896007033287e-07
Position 781: 1.3994896352046244e-07
Position 247: 8.528297861301955e-08
Position 725: 7.495411805762335e-08
Position 687: 2.4378210253894042e-08
Position 207: 1.1508929450240543e-08
Position 233: 8.874523189072393e-09
Position 215: 7.68402179229989e-09
Position 226: 5.269169650253422e-09
Position 230: 4.514043115476452e-09
Position 754: 1.1740033464898364e-09
Position 172: 1.1453079366464814e-11
Position 209: 1.7986389290369167e-12
