Gene = BicD
index = 50
Annotated 5SS: [ 1119  9026  9228 10184 10478 10787 11048]
Annotated 3SS: [ 8659  9089  9332 10259 10531 10872 11371]
SMsplice 5SS: [ 1119  9026  9228 10184 10478 10787 11048]
SMsplice 3SS: [ 8659  9089  9332 10259 10531 10872 11371]
top_k =  1000
Partition function (log Z): 17.233467548376765

Sorted 5' Splice Sites (High to Low Probability):
Position 9228: 0.998901363802717
Position 10787: 0.9979057223202856
Position 1119: 0.997549992691936
Position 10478: 0.9942139821622896
Position 9026: 0.9865394884227787
Position 11048: 0.8784366552200711
Position 10188: 0.7114779762863824
Position 634: 0.33906696213727866
Position 12259: 0.2406669824780621
Position 12263: 0.2274652152279196
Position 9469: 0.1875599716796211
Position 12088: 0.12395722801664974
Position 11747: 0.10273022708283819
Position 11322: 0.07995433316912914
Position 390: 0.07373652125298401
Position 2381: 0.07358115355478338
Position 6684: 0.047913875460453274
Position 9616: 0.046589605016825644
Position 2220: 0.045012416639713906
Position 8567: 0.04171896225935117
Position 501: 0.038426966776029525
Position 11470: 0.031709549829685435
Position 585: 0.023640108259870774
Position 4836: 0.019651681941375915
Position 11509: 0.016986029499120373
Position 9951: 0.016415922098402216
Position 9836: 0.01501222577705437
Position 6680: 0.01275404986046326
Position 11185: 0.01132709119883682
Position 7125: 0.011302891200023597
Position 394: 0.011049154910109108
Position 396: 0.010938392799689755
Position 11091: 0.010507945380398084
Position 12648: 0.010504060177290286
Position 9388: 0.008976294165563852
Position 6705: 0.008940029910740385
Position 370: 0.007623434241474945
Position 12044: 0.00724055162417487
Position 3459: 0.007189922729077415
Position 2678: 0.0065380255933034604
Position 11990: 0.005531917941428645
Position 2203: 0.005241996853424698
Position 2322: 0.005053344347946078
Position 50: 0.005037280204929581
Position 11276: 0.0046987873958581425
Position 11072: 0.004457394537127187
Position 10377: 0.003907371453567569
Position 211: 0.003747258757738494
Position 4242: 0.0034891978565847748
Position 392: 0.0034432254608377177
Position 2682: 0.0033945680398800677
Position 6992: 0.0031853950027921915
Position 7042: 0.002780496701301915
Position 2650: 0.0027493713333848484
Position 2397: 0.0025633093333446108
Position 6014: 0.002315000882488912
Position 12092: 0.0020580182652773474
Position 6671: 0.00200863507812148
Position 374: 0.0018006704485602988
Position 683: 0.0017587837133243138
Position 9824: 0.0017119872074064216
Position 5939: 0.0015880446772604025
Position 11052: 0.001540457971525484
Position 696: 0.0014600270300878973
Position 11273: 0.001412629466782854
Position 11609: 0.0011968283375791437
Position 3393: 0.0011714031804029796
Position 10695: 0.0011642475040110369
Position 11659: 0.0011555428654441092
Position 9547: 0.001130622328192027
Position 8946: 0.0011050312624105222
Position 5250: 0.0010837311501568205
Position 6987: 0.0009932547144954151
Position 3344: 0.0009579753180087681
Position 270: 0.0009471905120414424
Position 6011: 0.0009119914940268478
Position 9047: 0.0008956657886132595
Position 7497: 0.0008162737407353296
Position 9002: 0.0007722231113530239
Position 2448: 0.0007696768514138594
Position 426: 0.000704709790645601
Position 457: 0.0006964944651811191
Position 5083: 0.0006868090125791017
Position 11094: 0.0006854498498027388
Position 629: 0.0006853998235061156
Position 822: 0.0006275577560023345
Position 640: 0.0005808900625608159
Position 12216: 0.0005189140934410883
Position 382: 0.0004892741753480599
Position 400: 0.00047918497788867163
Position 10742: 0.00047228227621836424
Position 12675: 0.0004593151284918311
Position 9784: 0.00045847973493059796
Position 10791: 0.00043963613322456374
Position 10390: 0.0004276796805830399
Position 10152: 0.0003838634476345141
Position 9848: 0.0003749177147800407
Position 12057: 0.0003490389761928419
Position 398: 0.00034265513184402954
Position 10072: 0.0003394893592649849
Position 11663: 0.00031893944577121884
Position 11502: 0.0002837362937786596
Position 12986: 0.00027588153026519385
Position 196: 0.00025419568558868275
Position 272: 0.00025232822612976846
Position 638: 0.0002442419924462788
Position 12948: 0.0002418522178944682
Position 11062: 0.00023753768711655315
Position 9496: 0.00023030491901996958
Position 301: 0.00022592730507123342
Position 11065: 0.00021638879747544498
Position 11880: 0.00021280473036917449
Position 1792: 0.0002123445065843276
Position 11737: 0.0001975698897204065
Position 6349: 0.00019386607038127622
Position 11672: 0.00018941725613146138
Position 9103: 0.00017516052118616432
Position 11546: 0.0001627918170494149
Position 1653: 0.0001480299452859786
Position 11667: 0.00014111465493878782
Position 10054: 0.00013478548600440158
Position 11526: 0.00013238197411487442
Position 10907: 0.00012790692331402816
Position 645: 0.00011690312100539573
Position 8911: 0.00011265180761660618
Position 2410: 0.0001115577525999567
Position 10602: 0.00011069378515883655
Position 368: 0.00010542161269159137
Position 6732: 0.00010474098813339751
Position 11691: 0.00010080427674380655
Position 10805: 9.673330850995263e-05
Position 9992: 9.456944405825148e-05
Position 10407: 8.878322211798296e-05
Position 10232: 8.764710027728818e-05
Position 10669: 8.571137422264267e-05
Position 10469: 8.40036857117649e-05
Position 9159: 7.71526795243617e-05
Position 10109: 7.123768254756597e-05
Position 632: 6.980957912794568e-05
Position 1414: 6.550073753534046e-05
Position 13445: 6.387970647111155e-05
Position 827: 6.257094161988935e-05
Position 9762: 5.562673959643672e-05
Position 11821: 5.175646245842485e-05
Position 624: 4.970226671562756e-05
Position 70: 4.7072659674827824e-05
Position 9671: 4.247549417660194e-05
Position 10150: 4.228593347933118e-05
Position 6712: 4.17876755665263e-05
Position 161: 4.101573025622978e-05
Position 10080: 3.94380610895837e-05
Position 443: 3.533641377497809e-05
Position 10128: 3.5086604960524596e-05
Position 9340: 3.484722109701141e-05
Position 10920: 3.251827158767795e-05
Position 10482: 3.2069951307932854e-05
Position 10543: 3.154938130502543e-05
Position 10350: 3.0815498067146414e-05
Position 9288: 3.0048466823072678e-05
Position 277: 2.6341239758628574e-05
Position 2351: 2.1770107354522122e-05
Position 10485: 1.797784850436968e-05
Position 1645: 1.7489561720224495e-05
Position 351: 1.727452017311829e-05
Position 8822: 1.6460391913547457e-05
Position 10014: 1.5044901277192196e-05
Position 1423: 1.4999949222123468e-05
Position 10119: 1.4579304177141317e-05
Position 10639: 1.438812583868223e-05
Position 9661: 1.426959493218306e-05
Position 11931: 1.4252390084257639e-05
Position 10819: 1.4237431494147861e-05
Position 1510: 1.3835250587671506e-05
Position 10647: 1.361966723043284e-05
Position 505: 1.3493703768794075e-05
Position 10606: 1.2912809054575462e-05
Position 1761: 1.2494311394001719e-05
Position 1700: 1.1499603470689364e-05
Position 335: 1.1308541842188533e-05
Position 954: 1.090192741311746e-05
Position 9398: 9.861482047068102e-06
Position 1744: 8.598428918991781e-06
Position 1763: 7.943390820983854e-06
Position 1428: 7.045118619268383e-06
Position 9138: 6.848159101657601e-06
Position 748: 6.602779190206576e-06
Position 1704: 6.330610981513794e-06
Position 10423: 6.225025416415563e-06
Position 3265: 5.90788550737161e-06
Position 557: 5.832658984699213e-06
Position 10717: 5.764047447636399e-06
Position 11638: 5.629750561490031e-06
Position 193: 5.518101361525291e-06
Position 25: 5.239082847738116e-06
Position 10394: 4.826924946950574e-06
Position 1123: 4.480836789234137e-06
Position 10595: 4.437859335260197e-06
Position 1766: 4.316615320056744e-06
Position 9: 4.208374203178009e-06
Position 1696: 4.1921220528565706e-06
Position 1497: 4.048267443310186e-06
Position 1562: 3.838230201893504e-06
Position 10381: 3.6659639505242973e-06
Position 328: 3.508374730122144e-06
Position 9599: 3.316057012541582e-06
Position 10689: 3.144378297369937e-06
Position 10582: 2.8855694772441637e-06
Position 289: 2.2150226701884892e-06
Position 9334: 2.0728116004182056e-06
Position 10587: 1.7855566845467065e-06
Position 2987: 1.6139990662151694e-06
Position 2475: 1.389172250458846e-06
Position 1527: 1.1217798550227431e-06
Position 1058: 1.110540456110048e-06
Position 1502: 1.0858466204594999e-06
Position 1541: 9.985018047567247e-07
Position 1260: 9.28964338273855e-07
Position 2355: 8.828324139702094e-07
Position 10333: 7.580830310506984e-07
Position 146: 6.338382902244986e-07
Position 11696: 5.685182311471526e-07
Position 12126: 4.788142561383083e-07
Position 1172: 3.6495947811219424e-07
Position 2975: 3.3742513928859706e-07
Position 1492: 2.888136072266792e-07
Position 11199: 2.6363892754397607e-07
Position 1984: 2.1318617905843373e-07
Position 10731: 2.035938589441682e-07
Position 1164: 1.0358733802284044e-07
Position 9090: 8.641184676381722e-08
Position 11213: 4.606381584503711e-08
Position 10982: 4.0919638362378227e-08
Position 13086: 4.0392614007996645e-08
Position 9051: 3.06267398354208e-08
Position 9698: 4.470608037213508e-09
Position 11426: 3.970791054082665e-09
Position 478: 2.0504500037481668e-09
Position 10911: 1.7435431536653522e-09
Position 1373: 8.347695881327279e-10
Position 1013: 7.8209100917111e-10
Position 1505: 6.69630914143501e-10
Position 1144: 1.2767142489151873e-10
Position 10363: 1.0859934777112284e-10
Position 1040: 2.3912356949293365e-11
Position 984: 1.3799928420509999e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10531: 0.9969560579129166
Position 9089: 0.9928644739119309
Position 10872: 0.9899952118845261
