Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  1000
Partition function (log Z): -0.08401779383430767

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9870236297811393
Position 170: 0.9737146755508822
Position 625: 0.011993333531771714
Position 190: 0.004125924488515091
Position 843: 0.002161755800526761
Position 184: 0.0018705480677704655
Position 459: 0.0007697664539318518
Position 618: 0.0007420507138574304
Position 16: 0.0005287068654006927
Position 831: 0.00033416650441881043
Position 593: 0.00017992647408693758
Position 476: 0.00012712739241330917
Position 402: 8.692106672293785e-05
Position 494: 6.150199305638733e-05
Position 117: 5.852434792316495e-05
Position 33: 4.2842336325953064e-05
Position 269: 1.208228032232542e-05
Position 419: 1.1027304707303676e-05
Position 5: 1.0770662369117303e-05
Position 417: 8.474350735014688e-06
Position 814: 7.68078864457818e-06
Position 450: 6.7400238307201534e-06
Position 156: 4.076105135151806e-06
Position 799: 4.061468434102271e-06
Position 766: 3.427045643279609e-06
Position 544: 2.6871948564498624e-06
Position 393: 2.2077568736254563e-06
Position 315: 2.092478036722901e-06
Position 369: 1.3251690527297447e-06
Position 89: 1.2428952725807578e-06
Position 777: 1.1079645407292686e-06
Position 66: 6.101096699775599e-07
Position 520: 5.651696183826458e-07
Position 84: 3.4476731199240087e-07
Position 852: 3.038137656818787e-07
Position 223: 2.7077731639337295e-07
Position 289: 1.9720874449763342e-07
Position 739: 1.8346150585028765e-07
Position 523: 8.230555017013528e-08
Position 262: 4.8067455501321174e-08
Position 107: 2.5022872636055795e-08
Position 694: 1.0608282896831603e-08
Position 267: 9.573403148469151e-09
Position 252: 9.459961118844449e-09
Position 249: 8.847371935331274e-09
Position 283: 6.921472806894668e-09
Position 679: 5.490600943427051e-09
Position 275: 2.9798204043116544e-09
Position 238: 2.4455749020349803e-09
Position 702: 2.0558118461809134e-10
Position 273: 1.621833753599425e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.9384347250499241
Position 241: 0.8819750745129648
Position 245: 0.09591524737113644
Position 728: 0.04213709841451773
Position 738: 0.01271114005680714
Position 518: 0.0072969356595054035
Position 891: 0.002167281058561912
Position 642: 0.00084427325170692
Position 711: 0.000694026725263933
Position 84: 0.0005767328857611184
Position 886: 0.00044469504010928324
Position 580: 0.0003164280603955598
Position 597: 0.00010792651743862738
Position 299: 9.68512821127397e-05
Position 897: 3.7262923885747355e-05
Position 324: 3.555010727838037e-05
Position 377: 2.992938138944053e-05
Position 747: 2.865071161047253e-05
Position 450: 1.7023245638905073e-05
Position 344: 1.699457570193658e-05
Position 347: 6.632248435044275e-06
Position 505: 3.1806090193055425e-06
Position 428: 3.0023129226144492e-06
Position 98: 1.5954191670744434e-06
Position 417: 1.459471116355151e-06
Position 133: 9.054147822694209e-07
Position 402: 5.791428958458591e-07
Position 339: 4.29217718472703e-07
Position 777: 3.8803999130946554e-07
Position 852: 2.9383982599451996e-07
Position 855: 2.0864763057545395e-07
Position 822: 1.8780572591680098e-07
Position 196: 1.5844857165971563e-07
Position 410: 6.509365997653353e-08
Position 47: 3.860862677416017e-08
Position 121: 3.202046720578624e-08
Position 174: 1.8149462742083184e-08
Position 156: 1.79558541182345e-08
Position 482: 9.305253100020273e-09
Position 467: 8.326316862807787e-09
Position 152: 8.226824601244839e-09
Position 365: 6.512171940653945e-09
Position 458: 5.696041991966563e-09
Position 847: 5.038087351146367e-09
Position 863: 4.1089416086963344e-09
Position 804: 2.3583386131446683e-09
Position 170: 2.226275101792688e-09
Position 356: 1.1023700983011975e-09
Position 393: 7.7057259598736e-11
