Gene = Taf12L
index = 1543
Annotated 5SS: [209]
Annotated 3SS: [268]
SMsplice 5SS: [209]
SMsplice 3SS: [268]
top_k =  1000
Partition function (log Z): -5.612240439300227

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9936305463019554
Position 339: 0.005781223252574681
Position 213: 0.0029284165096976358
Position 170: 0.002808831529729067
Position 550: 0.0010581473527390107
Position 518: 0.0008241069212522149
Position 184: 0.0003106224785363663
Position 398: 7.275599593083871e-05
Position 428: 2.5774751106278503e-05
Position 564: 2.3770880338220573e-05
Position 448: 2.2430566097431068e-05
Position 574: 2.2350417796641726e-05
Position 24: 1.7989688095920466e-05
Position 466: 1.6811408937301104e-05
Position 412: 1.1684665604632607e-05
Position 496: 1.130833441200759e-05
Position 250: 9.990701635745193e-06
Position 478: 7.712019888138338e-06
Position 534: 4.2388607281905045e-06
Position 403: 2.360109265036596e-06
Position 434: 2.284061219182948e-06
Position 123: 1.5352848489560118e-06
Position 374: 1.4539053853944045e-06
Position 149: 1.3183476239984244e-06
Position 40: 8.648930381206713e-07
Position 188: 4.462680036072164e-07
Position 76: 2.479098921980163e-07
Position 299: 1.1619186820170819e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 268: 0.9754586127128543
Position 304: 0.02199760598643393
Position 398: 0.00592630559837383
Position 629: 0.0020234460010167014
Position 280: 0.0007630499584422792
Position 578: 0.00056997988995006
Position 232: 0.0005245456910987136
Position 403: 0.00015048271940825038
Position 582: 4.985755264259924e-05
Position 338: 4.7180040510546576e-05
Position 460: 2.2412703815973734e-05
Position 506: 1.749412444604774e-05
Position 357: 1.0767988513660601e-05
Position 521: 9.167563049752471e-06
Position 66: 8.510315476092691e-06
Position 105: 5.39673012637234e-06
Position 362: 4.939979870701399e-06
Position 412: 3.0075323393661983e-06
Position 88: 2.642700961337175e-06
Position 432: 1.2110119330684635e-06
Position 421: 9.137685603072952e-07
Position 448: 8.207456856080852e-07
Position 590: 7.853930561068651e-07
Position 123: 1.5639800348289852e-07
Position 132: 2.583913805974158e-08
Position 137: 1.0209462601509931e-08
Position 466: 6.4909368334154925e-09
Position 184: 1.5935647357526933e-09
Position 157: 9.947797755200793e-10
Position 114: 5.342240021877726e-10
Position 144: 5.212102400002566e-10
Position 423: 2.4968334448177623e-10
Position 160: 5.791882379880023e-11
Position 201: 7.70443479504504e-12
Position 154: 1.7627461147733396e-12
Position 178: 1.0335591258610316e-12
Position 90: 1.0425494566425685e-13
Position 164: 7.49758469653179e-14
Position 168: 3.294860693778953e-14
Position 180: 5.987820259171287e-18
