Gene = Uxt
index = 1591
Annotated 5SS: [117]
Annotated 3SS: [167]
SMsplice 5SS: [117]
SMsplice 3SS: [167]
top_k =  1000
Partition function (log Z): -8.977836412696963

Sorted 5' Splice Sites (High to Low Probability):
Position 117: 0.9388970515639392
Position 285: 0.04887994791525486
Position 76: 0.02132756643475681
Position 17: 0.018005168222270412
Position 526: 0.0033520567054772196
Position 481: 0.002565409797105772
Position 151: 0.0017014450734164825
Position 650: 0.0010628013091723493
Position 660: 0.0008860979227617427
Position 252: 0.0004981059747274112
Position 418: 0.00047579830468020526
Position 121: 0.00044774153758010655
Position 370: 0.0003692408421159128
Position 264: 0.0002526171864866126
Position 136: 0.00012479106243275413
Position 654: 9.33532542486883e-05
Position 220: 6.708328760062179e-05
Position 412: 4.264479770191947e-05
Position 352: 3.861590829956148e-05
Position 642: 3.500522926904361e-05
Position 430: 2.3294602530753644e-05
Position 663: 2.3260139487415343e-05
Position 779: 1.8578882871671418e-05
Position 739: 1.380682407335455e-05
Position 289: 8.297670946063611e-06
Position 432: 6.706663487640096e-06
Position 857: 4.703142865976572e-06
Position 388: 4.528738622627185e-06
Position 699: 4.356255337826037e-06
Position 149: 4.0220286709760266e-06
Position 207: 3.2233838262248085e-09
Position 508: 4.2741331936473313e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 167: 0.8262937906511262
Position 171: 0.1322615435137711
Position 594: 0.02064423632333902
Position 334: 0.0177163137651419
Position 381: 0.012247624320735258
Position 365: 0.00531428851730103
Position 97: 0.0053013244534582185
Position 145: 0.00365003982960152
Position 727: 0.00314348729392413
Position 454: 0.0026381636584791976
Position 352: 0.0014215347173756555
Position 755: 0.001231203175553461
Position 76: 0.0011983814266179344
Position 626: 0.0007431532660371228
Position 769: 0.0007387278024509561
Position 802: 0.0006338392299940254
Position 739: 0.0006278246487944114
Position 486: 0.0005745928642757882
Position 562: 0.0005604541827405276
Position 136: 0.00032881244848301054
Position 100: 0.0002837435378393965
Position 899: 0.00024709336852713897
Position 404: 0.00024318306468397002
Position 183: 0.00012996154790838422
Position 149: 0.0001136222730598041
Position 663: 9.805162573441913e-05
Position 682: 7.991785673619837e-05
Position 498: 7.89091325739702e-05
Position 629: 7.164691882971523e-05
Position 264: 6.942961097711714e-05
Position 699: 6.761480108856212e-05
Position 426: 5.200829356880489e-05
Position 312: 4.9154307014275314e-05
Position 808: 4.8298374210941725e-05
Position 239: 4.3069056795532535e-05
Position 805: 4.259430056306805e-05
Position 928: 3.3639018509264164e-05
Position 660: 3.349132976627721e-05
Position 107: 2.4564675985841766e-05
Position 944: 2.392509936557368e-05
Position 219: 2.3312006137262763e-05
Position 857: 1.679094824678407e-05
Position 207: 1.2096017448968471e-05
Position 294: 1.1756946266631184e-05
Position 575: 1.0339723585387363e-05
Position 252: 1.0113660991190237e-05
Position 229: 9.869734879534578e-06
Position 536: 9.462145775308896e-06
Position 609: 9.360206791905299e-06
Position 771: 7.280274550031566e-06
Position 919: 4.241581868079557e-06
Position 231: 2.8943373552030084e-06
Position 692: 1.7177024467094526e-06
Position 524: 1.4891499882764888e-06
Position 112: 6.94679020828691e-08
Position 155: 2.3423618263082427e-08
Position 204: 2.181472808419259e-08
Position 121: 4.574370013888977e-09
Position 300: 2.4968522105066984e-09
Position 241: 3.202306586095738e-10
Position 273: 6.903015106203861e-11
Position 117: 3.120059548188844e-11
Position 285: 4.894675857662982e-12
Position 243: 4.70312573779738e-12
Position 276: 2.1896826366958087e-12
