Gene = HP4
index = 1205
Annotated 5SS: [393]
Annotated 3SS: [466]
SMsplice 5SS: [393]
SMsplice 3SS: [466]
top_k =  1000
Partition function (log Z): -4.110863883520542

Sorted 5' Splice Sites (High to Low Probability):
Position 393: 0.9648061779541707
Position 61: 0.13509750684122043
Position 397: 0.02483646041272623
Position 404: 0.004472708759041282
Position 47: 0.00412727432975899
Position 209: 0.0034585937262354067
Position 305: 0.002372388886946837
Position 224: 0.0014313966477366214
Position 585: 0.000474568823074109
Position 197: 0.00043534797839273607
Position 613: 0.00035378645662484333
Position 11: 0.0001980998666388312
Position 576: 0.00018423227200449875
Position 4: 0.00015162662852223537
Position 23: 9.908122661257562e-05
Position 244: 4.0057850378792116e-05
Position 217: 2.9480300606594977e-05
Position 247: 2.2035260729303848e-05
Position 202: 1.0851917474014867e-05
Position 486: 5.196230370971877e-06
Position 309: 4.7802699491748606e-06
Position 185: 3.4466145298978005e-06
Position 277: 2.359455396675635e-06
Position 363: 2.338919456023329e-06
Position 112: 2.2735032056014247e-06
Position 591: 2.1230564736253725e-06
Position 329: 1.6601077626367477e-06
Position 350: 1.4543029193653138e-06
Position 566: 1.0689933394236587e-06
Position 219: 6.251038233441967e-07
Position 167: 4.4633547993857283e-07
Position 137: 2.9834974995383285e-07
Position 311: 2.860078553985871e-07
Position 470: 1.3227558322105708e-07
Position 454: 5.159448375290867e-08
Position 267: 1.8045612586716082e-08
Position 507: 1.7183018460087454e-08
Position 504: 1.0191918563036222e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 466: 0.997875031267769
Position 172: 0.09779789251169903
Position 121: 0.03651145285705523
Position 142: 0.004861713410187611
Position 289: 0.00210352420720381
Position 314: 0.0006824759500877029
Position 363: 0.0006053692871117544
Position 470: 0.0005804936179853097
Position 680: 0.0005272485459069853
Position 650: 0.0004077250499823732
Position 504: 0.0003533689249065544
Position 663: 9.872294098384127e-05
Position 521: 9.673592046993003e-05
Position 295: 4.0943843138554184e-05
Position 440: 3.4709324042429346e-05
Position 539: 1.75463743956561e-05
Position 196: 1.5102753198325357e-05
Position 339: 6.170474747592677e-06
Position 610: 4.3679954520795385e-06
Position 79: 1.640216163691756e-06
Position 208: 1.3339100127192887e-06
Position 476: 1.3237615501237619e-06
Position 583: 9.962254265157018e-07
Position 297: 8.008199307781349e-07
Position 523: 7.805558077400383e-07
Position 244: 6.431153142733571e-07
Position 428: 5.740423604269713e-07
Position 566: 4.431597501927974e-07
Position 576: 3.435602843096102e-07
Position 60: 2.040991059542193e-07
Position 217: 1.3563432468718176e-07
Position 396: 8.63552265821292e-08
Position 597: 7.604564715445649e-08
Position 483: 6.482734869854345e-08
Position 412: 4.861239206168127e-08
Position 190: 4.553819232637059e-08
Position 334: 3.9342699856338786e-08
Position 81: 3.640636647477786e-08
Position 202: 2.869172469953836e-08
Position 235: 1.0378168929979303e-08
Position 486: 9.99785311114052e-09
Position 391: 8.390977322633585e-10
Position 56: 7.40412731171303e-10
Position 393: 3.463252243039093e-10
Position 343: 1.7405535382988975e-10
Position 183: 2.795688245225646e-11
