Gene = Ge-1
index = 1185
Annotated 5SS: [ 595  872 1535 1847 3481 3827 4124 4353 4936]
Annotated 3SS: [ 662 1133 1592 1903 3588 3882 4186 4412 5010]
SMsplice 5SS: [ 231  595  872 1535 1847 3481 3827 4124 4353 4936]
SMsplice 3SS: [ 313  662 1133 1592 1903 3588 3882 4186 4412 5010]
top_k =  1000
Partition function (log Z): 31.47373935368289

Sorted 5' Splice Sites (High to Low Probability):
Position 1847: 0.9993881745275711
Position 872: 0.9938351844783955
Position 3481: 0.9935717720610127
Position 4124: 0.9888058254036322
Position 4353: 0.9869457289067922
Position 4936: 0.982682061241877
Position 3827: 0.9814983697381906
Position 595: 0.9697865768421506
Position 231: 0.7070097856579106
Position 1535: 0.41240373731558305
Position 1508: 0.1798365767592566
Position 1257: 0.09096921616473032
Position 4616: 0.0878168183790269
Position 3923: 0.062400054957966924
Position 1283: 0.047368894850294475
Position 2877: 0.04721084335416352
Position 2663: 0.024826583551601614
Position 2703: 0.022601446595418545
Position 3934: 0.021552713590358735
Position 2517: 0.016336666461444882
Position 2099: 0.013232760252667574
Position 1226: 0.011808449956754844
Position 1263: 0.011222654384061214
Position 1539: 0.010671846114339379
Position 4958: 0.010247351795487254
Position 85: 0.009308043215159585
Position 3319: 0.007237312731082041
Position 2913: 0.007198221113928418
Position 4109: 0.0064434259234962266
Position 4357: 0.00625894340291394
Position 2244: 0.004125215745110601
Position 599: 0.0038945180603538005
Position 4128: 0.003245205146067268
Position 372: 0.0028520445563524465
Position 858: 0.0027890019292093828
Position 4871: 0.0026032025084034285
Position 1352: 0.0025444526460314558
Position 2008: 0.0023515301508298544
Position 590: 0.0021520175670676814
Position 876: 0.002075078021757583
Position 430: 0.002059399698979455
Position 235: 0.0019343976513694315
Position 1038: 0.0015705944640385093
Position 1384: 0.0015135241134854067
Position 1191: 0.0015026648570345739
Position 4337: 0.0012646306995621663
Position 2103: 0.001210384198769818
Position 4517: 0.0009772128302342287
Position 608: 0.0009390993329485548
Position 1998: 0.0008910841531273733
Position 1294: 0.0008901426241723452
Position 1477: 0.0008631489522974954
Position 3279: 0.0008347662855379775
Position 191: 0.0008038908388128753
Position 5331: 0.0007653346397741925
Position 1172: 0.0006731970868247476
Position 3866: 0.0006417489918524252
Position 2254: 0.0006392329235189814
Position 2357: 0.0006300099796442707
Position 2056: 0.0005178882729020532
Position 5271: 0.0004874396337664842
Position 4583: 0.0004536150395018762
Position 2690: 0.00042735409272134077
Position 5179: 0.0004238783897293791
Position 237: 0.0003881579310872561
Position 2218: 0.0003586900780086477
