Gene = Shc
index = 1501
Annotated 5SS: [315]
Annotated 3SS: [376]
SMsplice 5SS: [315]
SMsplice 3SS: [376]
top_k =  1000
Partition function (log Z): -4.540122675942809

Sorted 5' Splice Sites (High to Low Probability):
Position 315: 0.9951809632550528
Position 543: 0.007062186626975637
Position 319: 0.004368032996817241
Position 864: 0.002364547557083291
Position 1190: 0.002249571475218548
Position 1445: 0.0010075876870066429
Position 739: 0.0008135694637069238
Position 989: 0.0005905394816144307
Position 766: 0.0005113809017888469
Position 498: 0.00040572503886851546
Position 243: 0.0002789598784062129
Position 1161: 0.00025631440583170705
Position 696: 0.00023988347113140684
Position 589: 0.0002023357361814797
Position 220: 0.00017373333664362476
Position 1368: 0.00015490639115513246
Position 1092: 0.00014608300823002018
Position 30: 0.00013622321209824247
Position 1558: 0.00013333720728701327
Position 18: 0.00012858104984391397
Position 299: 0.00011266831044756402
Position 803: 0.00010485261734581078
Position 713: 8.180132939080941e-05
Position 306: 7.317768817823005e-05
Position 795: 6.162795843967777e-05
Position 528: 2.9005866204611417e-05
Position 238: 1.7484460229970393e-05
Position 652: 1.5263005468554784e-05
Position 1500: 1.2121996218859452e-05
Position 1360: 1.0696909342137533e-05
Position 1194: 1.0627811253196918e-05
Position 1397: 9.293645264118605e-06
Position 1531: 7.408690647247268e-06
Position 840: 7.018674844764255e-06
Position 575: 6.60415877930595e-06
Position 1257: 5.806950375359358e-06
Position 1552: 5.569512862080322e-06
Position 581: 5.4807100749220375e-06
Position 1132: 4.5932873956640084e-06
Position 1035: 4.009035999790136e-06
Position 416: 3.5571142030324835e-06
Position 262: 2.7114295166597763e-06
Position 409: 2.2646194845494464e-06
Position 1353: 1.8713638930977838e-06
Position 224: 1.5895856689326975e-06
Position 895: 1.3170154465470515e-06
Position 1097: 1.30220127488028e-06
Position 508: 1.0014327688615832e-06
Position 1058: 8.726779455001433e-07
Position 1523: 7.032502824409161e-07
Position 1556: 6.288164409758012e-07
Position 208: 5.629125721139665e-07
Position 1254: 3.22214535148725e-07
Position 1094: 2.3350166322427168e-07
Position 256: 7.035293408245353e-08
Position 167: 3.099427833894618e-08
Position 355: 3.2984838529602932e-09
Position 1047: 2.982375669818122e-09
Position 226: 1.1761507484413814e-09
Position 380: 1.0356084132635098e-09
Position 515: 1.019367237793617e-09
Position 393: 4.302543628692503e-10
Position 345: 1.5408727675314628e-10
Position 657: 1.0042295579144629e-10
Position 1056: 1.937862144926522e-11
Position 359: 5.916421975459846e-12
Position 336: 5.458041416557043e-12
Position 350: 5.163637047521168e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9913022102624348
Position 1086: 0.0043095132133262135
Position 1624: 0.0030098123205726307
Position 781: 0.0029763428466039296
Position 624: 0.002951174170814595
Position 1285: 0.00225986694628738
Position 1534: 0.002018118623583845
Position 827: 0.0015148590516607808
Position 1250: 0.0014726721299234686
Position 920: 0.0006543826252695947
Position 863: 0.000407266426044704
Position 463: 0.00034777989304576217
Position 1023: 0.00032555298713471626
Position 742: 0.00029943777189577955
Position 1291: 0.00024024832394178432
Position 1117: 0.00023337118214153922
Position 306: 0.0002294235709219795
Position 977: 0.00020786237920465925
Position 739: 0.00020351352680596062
Position 1142: 0.00019795081591417486
Position 860: 0.0001836121738019732
Position 1650: 0.00017106250688845264
Position 840: 0.00016803641345590484
Position 940: 0.00016029659287989994
Position 121: 0.000125169332429339
Position 64: 0.00012291566421442722
Position 1014: 0.00010940208354483645
Position 1209: 0.0001022119934590042
Position 1145: 8.406425465435774e-05
Position 523: 6.120009306989311e-05
Position 629: 4.908746269094087e-05
Position 1175: 4.690762593054123e-05
Position 917: 4.65561776085932e-05
Position 1349: 4.1961079226377954e-05
Position 1375: 4.165161199479385e-05
Position 710: 4.118499784157098e-05
Position 1091: 3.989989328701393e-05
Position 1511: 3.6035834262424296e-05
Position 1269: 2.6401793979776504e-05
Position 416: 2.1778847625201104e-05
Position 837: 1.941410059040748e-05
Position 1498: 1.7244991162646498e-05
Position 428: 1.6325604853850366e-05
Position 294: 1.2365430799059448e-05
Position 993: 1.1437851006432689e-05
Position 470: 1.130025991739402e-05
Position 696: 1.043052620897982e-05
Position 791: 1.0106106726445316e-05
Position 869: 8.36533278112756e-06
Position 310: 5.716297632247231e-06
Position 803: 5.17961343010715e-06
Position 141: 4.254774117362827e-06
Position 89: 4.086756622627998e-06
Position 549: 3.742971183890418e-06
Position 83: 3.2873029156293954e-06
Position 71: 2.8181547648090628e-06
Position 393: 2.7243092918770677e-06
Position 788: 2.338805467929625e-06
Position 1382: 2.0061317046490656e-06
Position 1385: 1.8831968434987393e-06
Position 401: 1.7082725163176895e-06
Position 1450: 1.6210051930841564e-06
Position 505: 1.3598845851180232e-06
Position 112: 1.2639218468292863e-06
Position 682: 1.2414256981965664e-06
