Gene = Pburs
index = 1361
Annotated 5SS: [268]
Annotated 3SS: [325]
SMsplice 5SS: [268]
SMsplice 3SS: [325]
top_k =  1000
Partition function (log Z): -4.137252203344707

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9837916136152234
Position 229: 0.012181306744794862
Position 492: 0.007443238697931146
Position 241: 0.0025620844354517485
Position 466: 0.001460873155811937
Position 258: 0.0008516734125724618
Position 224: 0.0004330208549067068
Position 477: 0.0003435903358219115
Position 3: 0.0002809611698935855
Position 272: 9.249564376117634e-05
Position 7: 8.16628906361186e-05
Position 460: 3.3693899073638385e-05
Position 216: 2.1815839187721894e-05
Position 196: 1.0690166562062217e-05
Position 365: 9.24598123884354e-06
Position 310: 7.521373760646572e-06
Position 294: 7.154785235591007e-06
Position 120: 3.3462349820892196e-06
Position 441: 3.1178819508642305e-06
Position 405: 2.5803298376898696e-06
Position 532: 1.87072948821848e-06
Position 538: 1.5011874792526144e-06
Position 147: 1.229111482088243e-06
Position 546: 1.027464660396711e-06
Position 190: 5.18758952194773e-07
Position 19: 1.0244682863373764e-07
Position 52: 7.361492338763935e-08
Position 37: 2.5128125804018968e-08
Position 328: 1.2559192249046077e-08
Position 317: 5.274845245903705e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 325: 0.9603821788406849
Position 328: 0.025940497771786634
Position 292: 0.010078554275629231
Position 544: 0.0063546338281671305
Position 538: 0.0035179997410802254
Position 364: 0.0015663373002747134
Position 358: 0.0007563319062509088
Position 348: 0.0005023566070812439
Position 83: 0.00027397819856442263
Position 298: 7.40318568358806e-05
Position 591: 7.085952020638962e-05
Position 68: 5.873665365206631e-05
Position 52: 2.0454463865728378e-05
Position 309: 1.197807231752946e-05
Position 429: 6.000994691271516e-06
Position 294: 5.326812331263512e-06
Position 577: 2.2990276164784e-06
Position 144: 1.4792934548584774e-06
Position 88: 1.1521946635658006e-06
Position 141: 8.359792497547387e-07
Position 120: 6.57189826706792e-07
Position 272: 5.371197533745956e-07
Position 171: 5.018842047494233e-07
Position 126: 1.446638909638135e-07
Position 224: 5.866708694624025e-08
Position 211: 5.147506201447293e-08
Position 173: 3.996858039724631e-08
Position 460: 1.1251204068368114e-08
Position 228: 1.0823682924804417e-08
Position 147: 9.061466315801453e-09
Position 546: 1.6794237903728106e-09
Position 102: 6.39977135765847e-10
Position 466: 6.154920158576522e-10
Position 268: 5.656108954641255e-10
Position 156: 2.2683479539006075e-11
Position 451: 6.46714197791207e-12
Position 111: 4.433348035705385e-12
