Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  1000
Partition function (log Z): 2.824910327370359

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.9982864332649414
Position 321: 0.9593664934970182
Position 303: 0.03814081371020319
Position 10: 0.001193119261918797
Position 126: 0.0011776785841277064
Position 710: 0.0005556953032856698
Position 349: 0.0003596928519415695
Position 8: 0.00030867656516724105
Position 537: 0.00023234011546974421
Position 344: 0.00020254454123218817
Position 686: 0.00018670831861024862
Position 817: 0.00014665327727320164
Position 823: 0.00013865566712671352
Position 689: 6.286908278277545e-05
Position 548: 6.162269528437062e-05
Position 759: 4.3198770907438656e-05
Position 258: 2.6289481163525458e-05
Position 311: 2.2026426961894495e-05
Position 629: 2.047188987429156e-05
Position 14: 1.7571522327513295e-05
Position 640: 1.4261138938298444e-05
Position 146: 1.1252101086105959e-05
Position 269: 1.0532228367505831e-05
Position 649: 9.381559493679013e-06
Position 634: 7.400132750561161e-06
Position 325: 5.1757280080777045e-06
Position 70: 5.036742785309949e-06
Position 45: 3.817958571718781e-06
Position 130: 2.1477081450693995e-06
Position 109: 1.6841630847351482e-06
Position 75: 1.1011610107981187e-06
Position 100: 9.676068822573375e-07
Position 619: 5.743267843881564e-07
Position 668: 4.0407002295475184e-07
Position 473: 3.9613033617777855e-07
Position 313: 3.9210305116849357e-07
Position 665: 3.624369385906241e-07
Position 495: 1.5898565856688175e-07
Position 173: 1.110495788317031e-07
Position 168: 7.908834322712631e-08
Position 58: 3.593632032052332e-08
Position 391: 8.087169997910839e-09
Position 358: 7.860050883536737e-09
Position 435: 5.440249944409402e-09
Position 260: 2.0350229528424655e-09
Position 582: 2.0297015577328146e-09
Position 364: 6.711861346204287e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.9978279744084856
Position 399: 0.996819942494948
Position 70: 0.0012117314363706399
Position 407: 0.0010648528763745225
Position 205: 0.0009744793185001412
Position 774: 0.0006784374814442191
Position 802: 0.0006546174167077622
Position 873: 0.0004854512070167512
Position 93: 0.00024162708444399442
Position 444: 0.00017109791242689147
Position 410: 0.00016206936689347915
Position 606: 0.00010128521055222797
Position 464: 6.311996504363552e-05
Position 168: 3.8215053292451756e-05
Position 75: 2.8901914247172434e-05
Position 461: 2.8889977126460545e-05
Position 130: 2.355695223717109e-05
Position 847: 2.0902222854607344e-05
Position 736: 9.197309169230189e-06
Position 619: 5.645295426999424e-06
Position 487: 4.481245215572421e-06
Position 701: 4.346771684859567e-06
Position 542: 1.4262159068242023e-06
Position 109: 1.2863622732614028e-06
Position 689: 7.57850364468381e-07
Position 640: 1.7656012248780522e-07
Position 426: 1.0854565789360357e-07
Position 649: 8.057982730480101e-08
Position 447: 6.064425177297626e-08
Position 307: 5.9584405215979465e-08
Position 627: 4.214538779415645e-08
Position 686: 1.135668154737829e-08
Position 325: 9.611520528564662e-09
Position 629: 3.3186366650416406e-09
Position 548: 3.0720509776959415e-09
Position 473: 2.0113059230984066e-09
Position 466: 6.487844331397196e-10
Position 565: 5.669080950590723e-10
Position 98: 4.685818297637709e-10
Position 217: 1.7176684604816863e-10
Position 100: 1.7457183225371152e-12
