Gene = Cpr64Ad
index = 1097
Annotated 5SS: [86]
Annotated 3SS: [160]
SMsplice 5SS: [86]
SMsplice 3SS: [160]
top_k =  1000
Partition function (log Z): -3.5784423833844943

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.9666440445108627
Position 6: 0.06925727867510714
Position 92: 0.0018264793521256706
Position 108: 0.0013406345303062935
Position 96: 0.0008175857541230459
Position 651: 0.0005823669984206336
Position 659: 0.00016287275299117857
Position 35: 0.00015405017973135765
Position 10: 0.00013906868560987189
Position 618: 9.194810251827959e-05
Position 905: 6.927910650501532e-05
Position 957: 5.453483461451715e-05
Position 90: 3.787167279677385e-05
Position 645: 3.692298854525033e-05
Position 121: 3.1679199409612676e-05
Position 350: 1.9730670577977365e-05
Position 693: 1.3066631259739708e-05
Position 580: 1.2797234962677244e-05
Position 512: 1.1856486911372295e-05
Position 923: 8.662565701309087e-06
Position 116: 7.072091927432541e-06
Position 240: 6.196694344908695e-06
Position 914: 6.074842536461883e-06
Position 209: 5.429451299208995e-06
Position 586: 5.344012004648354e-06
Position 204: 4.404795743253922e-06
Position 298: 3.999467454703005e-06
Position 663: 3.587467624956076e-06
Position 431: 2.9401683669359926e-06
Position 536: 2.750180611689293e-06
Position 699: 2.7226094265257623e-06
Position 373: 2.6458525706011143e-06
Position 563: 2.160932511340906e-06
Position 479: 2.150392255022623e-06
Position 890: 1.7842945727355278e-06
Position 14: 1.2099368370012915e-06
Position 371: 1.1507650455127463e-06
Position 735: 1.0747541683933331e-06
Position 161: 1.0158308143499852e-06
Position 488: 8.097932994140604e-07
Position 702: 6.985650236647833e-07
Position 707: 4.641354449501447e-07
Position 911: 4.4513118747834606e-07
Position 749: 3.9809891924629097e-07
Position 656: 3.4134514905662505e-07
Position 422: 1.3242004679388036e-07
Position 978: 3.9179826667487064e-08
Position 827: 3.319477973659023e-08
Position 761: 2.7634003005950773e-08
Position 455: 2.65280112979306e-08
Position 746: 1.8500971690965944e-08
Position 782: 1.6854537269171274e-08
Position 791: 1.6127281840371268e-08
Position 806: 5.098468571459657e-09
Position 881: 3.86515164662487e-09
Position 599: 1.5417304363906357e-11
Position 170: 2.4333983742404943e-12
Position 164: 1.8585950050793423e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9982088862841223
Position 63: 0.041030594462282036
Position 711: 0.000712933429927281
Position 170: 0.000493234752772098
Position 746: 0.0002494501797573995
Position 580: 0.00016461448478937894
Position 1022: 0.00014756246361521266
Position 120: 0.0001138644845548719
Position 199: 8.332452423926105e-05
Position 90: 6.819977894352772e-05
Position 422: 3.941598337643932e-05
Position 479: 1.9307508591572313e-05
Position 604: 1.1744931332816792e-05
Position 754: 5.2816390356039885e-06
Position 512: 3.844651192815666e-06
Position 536: 3.790167515074974e-06
Position 782: 3.6713562639723434e-06
Position 791: 3.122462106939361e-06
Position 628: 2.498628318781697e-06
Position 818: 2.1534816292471896e-06
Position 851: 2.1070730951543985e-06
Position 491: 1.7666340809842433e-06
Position 586: 1.6505232189583274e-06
Position 431: 1.21468230337734e-06
Position 945: 1.1196295295516153e-06
Position 757: 9.528205473750491e-07
Position 379: 8.297244424302916e-07
Position 634: 5.085548540269259e-07
Position 455: 4.5561128631783016e-07
Position 827: 3.7596702322739293e-07
Position 125: 3.5630796215230437e-07
Position 685: 2.812837140857717e-07
Position 488: 1.899116091538801e-07
Position 802: 1.630429556740567e-07
Position 559: 1.536638588517235e-07
Position 893: 1.3818962846682926e-07
Position 637: 7.243747693406437e-08
Position 862: 6.17253921382916e-08
Position 128: 1.6140444241352668e-08
Position 890: 1.2385545085969802e-08
